#                                                                                                        --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name                                                 accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#                                         ------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
VITVvi_vCabSauv08_v1.1_Haplotig000206F_002.ver1.0.g241850.t01 -          LRR_4                PF12799.13  9.7e-123  397.1 211.8   2.6e-05   24.0   1.0  35.2  29   4   8  38  38  36  31 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000125F.ver1.0.g515100.t02      -          LRR_4                PF12799.13   1.4e-53  177.3 147.6   6.5e-06   25.9   0.5  22.2  11   3  13  28  28  27  19 | TM
VITVvi_vCabSauv08_v1.1_Primary000264F.ver1.0.g583080.t01      -          LRR_4                PF12799.13     2e-53  176.9 104.4   1.4e-05   24.8   1.1  18.1  11   4   9  21  21  18  17 | TM
VITVvi_vCabSauv08_v1.1_Primary000095F.ver1.0.g483770.t01      -          LRR_4                PF12799.13   2.3e-53  176.7 231.0   0.00032   20.5   2.9  38.4  27   6  11  42  42  27  14 | TM
VITVvi_vCabSauv08_v1.1_Haplotig000051F_007.ver1.0.g159710.t01 -          LRR_4                PF12799.13     4e-53  175.9 102.5   3.4e-05   23.6   2.1  17.0  11   5   7  19  19  16  13 | TM
VITVvi_vCabSauv08_v1.1_Primary000026F.ver1.0.g376070.t01      -          LRR_4                PF12799.13   1.3e-52  174.3 113.0   6.2e-06   26.0   3.6  16.3   8   4  12  21  21  17  16 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000125F.ver1.0.g515200.t01      -          LRR_4                PF12799.13   1.5e-52  174.1 112.3   0.00049   19.9   2.6  18.3  12   3   3  19  19  18  15 | SP+TM
VITVvi_vCabSauv08_v1.1_Haplotig000107F_010.ver1.0.g208780.t01 -          LRR_4                PF12799.13   1.6e-52  174.0 115.2   3.3e-06   26.8   1.2  18.5  10   3   9  21  21  20  17 | TM
VITVvi_vCabSauv08_v1.1_Primary000120F.ver1.0.g510320.t01      -          LRR_4                PF12799.13   3.3e-52  173.0 105.7   5.9e-05   22.9   0.7  18.5  14   2   8  22  22  19  17 | TM
VITVvi_vCabSauv08_v1.1_Primary000218F.ver1.0.g570350.t01      -          LRR_4                PF12799.13   3.7e-52  172.8 117.6   1.1e-06   28.4   0.8  19.0  14   2   7  22  22  19  17 | TM
VITVvi_vCabSauv08_v1.1_Primary000151F.ver1.0.g534980.t01      -          LRR_4                PF12799.13   6.5e-52  172.1 118.1   1.8e-05   24.5   3.1  19.6  13   4   7  21  21  18  15 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000125F.ver1.0.g515100.t01      -          LRR_4                PF12799.13   8.1e-52  171.7 146.9     8e-06   25.6   0.5  22.1  11   3  15  29  29  27  13 | TM
VITVvi_vCabSauv08_v1.1_Primary000264F.ver1.0.g583030.t01      -          LRR_4                PF12799.13   1.4e-51  171.0  99.2   3.3e-06   26.9   2.0  16.0  11   3   3  17  17  14  13 | SP+TM
VITVvi_vCabSauv08_v1.1_Haplotig000107F_010.ver1.0.g208870.t01 -          LRR_4                PF12799.13   4.6e-51  169.4 130.2   2.9e-05   23.8   1.9  18.3   7   3   6  19  19  18  14 | SP+TM
VITVvi_vCabSauv08_v1.1_Haplotig000020F_003.ver1.0.g101900.t01 -          LRR_4                PF12799.13     9e-51  168.4 242.7   8.1e-05   22.4   0.4  36.0  25  11  15  42  42  29  14 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000031F.ver1.0.g394030.t01      -          LRR_4                PF12799.13     1e-50  168.2 132.1   1.7e-05   24.6   4.8  16.6  10   5   5  17  17  15  13 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000302F.ver1.0.g590910.t01      -          LRR_4                PF12799.13   1.7e-50  167.6 115.9   1.7e-05   24.6   2.0  18.9  13   3   6  20  20  17  15 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000051F.ver1.0.g425980.t01      -          LRR_4                PF12799.13   1.9e-50  167.4  92.6   1.1e-05   25.2   1.7  17.1  14   3   3  17  17  16  14 | TM
VITVvi_vCabSauv08_v1.1_Primary000051F.ver1.0.g426070.t01      -          LRR_4                PF12799.13   2.1e-50  167.3 101.8   5.6e-05   22.9   3.4  18.0  13   4   6  20  20  17  14 | SP+TM
VITVvi_vCabSauv08_v1.1_Haplotig000014F_032.ver1.0.g088190.t01 -          LRR_4                PF12799.13   4.3e-50  166.3 226.9    0.0004   20.2   2.9  36.0  27   8   9  41  41  25  17 | TM
VITVvi_vCabSauv08_v1.1_Primary000125F.ver1.0.g515660.t01      -          LRR_4                PF12799.13     6e-50  165.8 157.9     8e-05   22.4   1.0  27.7  15   6  15  32  32  22  13 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000037F.ver1.0.g403350.t01      -          LRR_4                PF12799.13     1e-49  165.1  85.5   2.8e-05   23.9   3.2  16.0  11   4   7  18  18  15  13 | TM
VITVvi_vCabSauv08_v1.1_Haplotig000206F_002.ver1.0.g241860.t01 -          LRR_4                PF12799.13   1.1e-49  165.0  58.7   7.4e-06   25.7   1.0  12.8  10   2   4  14  14  13  12 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000034F.ver1.0.g398600.t01      -          LRR_4                PF12799.13   1.2e-49  164.8 158.6    0.0032   17.3   5.0  23.2  10   5  15  28  28  25  23 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000180F.ver1.0.g553150.t01      -          LRR_4                PF12799.13   1.5e-49  164.5 116.0     1e-06   28.5   1.0  18.4   8   5  17  25  25  18  15 | SP
VITVvi_vCabSauv08_v1.1_Haplotig000151F_004.ver1.0.g231630.t01 -          LRR_4                PF12799.13   1.5e-49  164.5 100.6   0.00017   21.4   0.0  18.4  12   5   5  19  19  17  12 | TM
VITVvi_vCabSauv08_v1.1_Primary000125F.ver1.0.g515090.t01      -          LRR_4                PF12799.13   4.2e-49  163.1  97.0   6.9e-06   25.8   0.1  16.3  13   3   2  17  17  16  14 | TM
VITVvi_vCabSauv08_v1.1_Primary000264F.ver1.0.g583010.t01      -          LRR_4                PF12799.13   6.1e-49  162.6  92.3   2.1e-05   24.3   2.2  16.2  13   2   4  18  18  16  13 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000264F.ver1.0.g583000.t01      -          LRR_4                PF12799.13   7.8e-49  162.3  97.1   6.2e-06   26.0   0.6  16.3   8   3   8  19  19  16  16 | TM
VITVvi_vCabSauv08_v1.1_Primary000136F.ver1.0.g524290.t02      -          LRR_4                PF12799.13     1e-48  161.9 138.2   1.2e-05   25.0   1.5  20.9  12   3   9  23  23  18  14 | SP
VITVvi_vCabSauv08_v1.1_Primary000288F.ver1.0.g587970.t01      -          LRR_4                PF12799.13   1.3e-48  161.5 130.4   1.6e-05   24.6   1.3  15.8  10   4   4  16  16  15  13 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000151F.ver1.0.g534820.t01      -          LRR_4                PF12799.13   1.5e-48  161.4 122.0   0.00037   20.3   3.8  20.7  11   6   8  21  21  17  12 | SP+TM
VITVvi_vCabSauv08_v1.1_Haplotig000394F_001.ver1.0.g249870.t01 -          LRR_4                PF12799.13   1.8e-48  161.1 124.5     1e-05   25.3   1.3  18.6  11   4  11  22  22  20  15 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000376F.ver1.0.g602580.t01      -          LRR_4                PF12799.13   2.6e-48  160.6 113.8   2.4e-06   27.3   0.5  17.5  13   3   4  18  18  15  13 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000316F.ver1.0.g593360.t01      -          LRR_4                PF12799.13   6.4e-48  159.4 139.8   2.3e-05   24.2   1.0  20.6  11   4  15  27  27  24  16 | SP
VITVvi_vCabSauv08_v1.1_Haplotig000316F_001.ver1.0.g247410.t01 -          LRR_4                PF12799.13   6.8e-48  159.3 139.6   2.3e-05   24.1   1.0  20.6  11   4  15  27  27  24  16 | SP
VITVvi_vCabSauv08_v1.1_Primary000075F.ver1.0.g455720.t01      -          LRR_4                PF12799.13   8.8e-48  158.9 108.0   1.4e-05   24.8   1.1  17.7  14   3   1  17  17  13  11 | TM
VITVvi_vCabSauv08_v1.1_Primary000052F.ver1.0.g427540.t01      -          LRR_4                PF12799.13   1.1e-47  158.7 118.2   2.8e-06   27.1   0.7  16.9  12   3   5  18  18  15  13 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000376F.ver1.0.g602610.t01      -          LRR_4                PF12799.13   1.5e-47  158.2 116.4   3.5e-05   23.6   1.2  18.2  10   4   8  21  21  17  14 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000302F.ver1.0.g590950.t01      -          LRR_4                PF12799.13   1.5e-47  158.2 130.9   1.1e-05   25.1   2.6  19.4  13   5   6  20  20  19  12 | SP
VITVvi_vCabSauv08_v1.1_Primary000302F.ver1.0.g590950.t02      -          LRR_4                PF12799.13   1.6e-47  158.1 135.7   1.2e-05   25.1   2.6  19.5  11   5   7  21  21  20  12 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000057F.ver1.0.g435770.t01      -          LRR_4                PF12799.13   3.1e-47  157.2 108.1   1.4e-05   24.8   1.1  17.7  15   3   1  18  18  13  11 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000010F.ver1.0.g329120.t01      -          LRR_4                PF12799.13   4.1e-47  156.8 106.8   1.2e-06   28.3   2.9  16.6   7   4  11  20  20  18  14 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000052F.ver1.0.g427400.t01      -          LRR_4                PF12799.13   6.2e-47  156.2 112.8   5.6e-05   22.9   1.1  18.6  16   3   4  21  21  16  12 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000025F.ver1.0.g373940.t01      -          LRR_4                PF12799.13   8.1e-47  155.9 201.3   1.9e-05   24.4   5.0  22.5  13   7  12  26  26  25  15 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000000F.ver1.0.g259770.t01      -          LRR_4                PF12799.13   9.7e-47  155.6  67.5   1.1e-07   31.5   4.5  12.8  11   1   0  12  12  10   8 | SP+TM
VITVvi_vCabSauv08_v1.1_Haplotig000000F_021.ver1.0.g000770.t01 -          LRR_4                PF12799.13   9.9e-47  155.6  67.5   1.1e-07   31.5   4.5  12.8  11   1   0  12  12  10   8 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000010F.ver1.0.g329080.t01      -          LRR_4                PF12799.13   1.3e-46  155.2 101.1     2e-06   27.6   2.5  16.4  11   5   8  19  19  16  14 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000218F.ver1.0.g570420.t01      -          LRR_4                PF12799.13   1.6e-46  155.0 120.7   1.1e-06   28.3   1.2  19.2  10   4   7  21  21  18  13 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000178F.ver1.0.g552810.t01      -          LRR_4                PF12799.13   1.8e-46  154.8 107.0   3.5e-07   29.9   0.5  18.0  13   3   3  18  18  13  12 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000118F.ver1.0.g509090.t01      -          LRR_4                PF12799.13     2e-46  154.6 126.4   1.3e-05   24.9   2.2  15.7   7   4   8  18  18  17  16 | SP+TM
VITVvi_vCabSauv08_v1.1_Haplotig000095F_006.ver1.0.g198690.t01 -          LRR_4                PF12799.13     3e-46  154.0 215.6   7.6e-05   22.5   3.7  34.9  23   7  14  38  38  23  13 | TM
VITVvi_vCabSauv08_v1.1_Haplotig000051F_016.ver1.0.g160340.t01 -          LRR_4                PF12799.13   3.8e-46  153.8  91.5   2.7e-05   23.9   2.5  17.0  13   3   4  18  18  15  12 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000105F.ver1.0.g495900.t01      -          LRR_4                PF12799.13   4.6e-46  153.5 100.9   2.1e-07   30.6   0.6  18.5  12   4   4  19  19  16  10 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000052F.ver1.0.g427510.t01      -          LRR_4                PF12799.13   5.6e-46  153.2 113.1   1.5e-05   24.7   2.2  18.9  15   4   3  20  20  14  11 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000078F.ver1.0.g459830.t01      -          LRR_4                PF12799.13   7.7e-46  152.8 182.7   9.8e-06   25.3   4.8  20.2  10   3  11  23  23  22  19 | SP+TM
VITVvi_vCabSauv08_v1.1_Haplotig000118F_002.ver1.0.g215710.t01 -          LRR_4                PF12799.13   7.9e-46  152.7 127.6   9.8e-06   25.3   2.3  15.7   6   4   8  17  17  16  15 | SP+TM
VITVvi_vCabSauv08_v1.1_Haplotig000118F_002.ver1.0.g215710.t02 -          LRR_4                PF12799.13   7.9e-46  152.7 127.6   9.8e-06   25.3   2.3  15.7   6   4   8  17  17  16  15 | SP+TM
VITVvi_vCabSauv08_v1.1_Haplotig000118F_002.ver1.0.g215710.t03 -          LRR_4                PF12799.13   7.9e-46  152.7 127.6   9.8e-06   25.3   2.3  15.7   6   4   8  17  17  16  15 | SP+TM
VITVvi_vCabSauv08_v1.1_Haplotig000118F_002.ver1.0.g215710.t05 -          LRR_4                PF12799.13   7.9e-46  152.7 127.6   9.8e-06   25.3   2.3  15.7   6   4   8  17  17  16  15 | SP+TM
VITVvi_vCabSauv08_v1.1_Haplotig000118F_002.ver1.0.g215710.t06 -          LRR_4                PF12799.13   7.9e-46  152.7 127.6   9.8e-06   25.3   2.3  15.7   6   4   8  17  17  16  15 | SP+TM
VITVvi_vCabSauv08_v1.1_Haplotig000118F_002.ver1.0.g215710.t07 -          LRR_4                PF12799.13   7.9e-46  152.7 127.6   9.8e-06   25.3   2.3  15.7   6   4   8  17  17  16  15 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000151F.ver1.0.g534950.t01      -          LRR_4                PF12799.13   8.9e-46  152.6 130.7   0.00013   21.8   2.5  19.6  12   4  10  23  23  18  14 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000052F.ver1.0.g427620.t01      -          LRR_4                PF12799.13   1.1e-45  152.3 100.4   0.00012   21.9   0.8  16.6  11   3   5  17  17  16  12 | SP+TM
VITVvi_vCabSauv08_v1.1_Haplotig000151F_004.ver1.0.g231600.t01 -          LRR_4                PF12799.13   1.5e-45  151.9 125.9     0.001   18.9   2.1  20.8  10   6  12  23  23  20  14 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000178F.ver1.0.g552690.t01      -          LRR_4                PF12799.13   1.7e-45  151.6 113.1   5.5e-07   29.3   0.7  18.1  11   4   6  20  20  18  12 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000021F.ver1.0.g358650.t01      -          LRR_4                PF12799.13   1.7e-45  151.6 116.7   1.1e-05   25.2   0.9  17.8   9   4  14  23  23  20  15 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000049F.ver1.0.g424770.t01      -          LRR_4                PF12799.13   1.8e-45  151.6 115.0   0.00012   21.9   1.6  17.4  10   3  13  23  23  20  17 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000218F.ver1.0.g570310.t01      -          LRR_4                PF12799.13   3.2e-45  150.8 100.3   0.00011   22.0   1.3  16.3  12   2   4  17  17  15  14 | TM
VITVvi_vCabSauv08_v1.1_Primary000156F.ver1.0.g538690.t01      -          LRR_4                PF12799.13   3.4e-45  150.7 109.6   4.2e-05   23.3   1.1  13.8  12   1   0  13  13  12  10 | SP+TM
VITVvi_vCabSauv08_v1.1_Haplotig000118F_002.ver1.0.g215710.t04 -          LRR_4                PF12799.13   3.6e-45  150.6 128.0   1.1e-05   25.2   2.4  15.6   6   4   9  18  18  17  16 | SP+TM
VITVvi_vCabSauv08_v1.1_Haplotig000051F_016.ver1.0.g160380.t01 -          LRR_4                PF12799.13     4e-45  150.5 115.1   6.6e-05   22.7   1.3  17.9   6   3  14  23  23  21  17 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000052F.ver1.0.g427430.t01      -          LRR_4                PF12799.13   4.2e-45  150.4 116.3   9.5e-05   22.2   1.6  18.1  12   5  11  23  23  19  16 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000051F.ver1.0.g426110.t01      -          LRR_4                PF12799.13   5.3e-45  150.1 112.2   2.2e-05   24.2   2.7  16.9   6   3  13  22  22  20  15 | SP+TM
