#                                                                                                        --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name                                                 accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#                                         ------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
VITVvi_vCabSauv08_v1.1_Primary000009F.ver1.0.g321910.t01      -          LRR_6                PF13516.12   2.1e-17   61.4  43.4      0.35   10.7   0.1  17.9  18   0   0  18  18   5   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000000F.ver1.0.g259770.t01      -          LRR_6                PF13516.12   8.7e-14   50.1  62.4      0.26   11.2   2.0  15.7  16   0   0  16  16  10   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Haplotig000000F_021.ver1.0.g000770.t01 -          LRR_6                PF13516.12   8.9e-14   50.1  62.4      0.26   11.2   2.0  15.7  16   0   0  16  16  10   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000025F.ver1.0.g373120.t01      -          LRR_6                PF13516.12   1.4e-13   49.5  34.6      0.34   10.8   0.3  13.8  14   0   0  14  14   5   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Haplotig000004F_076.ver1.0.g047680.t01 -          LRR_6                PF13516.12   1.4e-13   49.4  64.3       1.9    8.5   0.1  19.9  22   0   0  22  22   7   0 | SP+TM
VITVvi_vCabSauv08_v1.1_Haplotig000025F_001.ver1.0.g117490.t01 -          LRR_6                PF13516.12   1.5e-13   49.3  33.3      0.34   10.8   0.3  13.7  14   0   0  14  14   5   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Haplotig000004F_100.ver1.0.g053440.t01 -          LRR_6                PF13516.12   1.6e-13   49.3  64.0       1.9    8.5   0.1  19.9  22   0   0  22  22   6   0 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000016F.ver1.0.g345150.t01      -          LRR_6                PF13516.12   2.8e-13   48.5 103.9      0.42   10.5   1.2  25.3  27   0   0  27  27  11   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000316F.ver1.0.g593450.t01      -          LRR_6                PF13516.12   3.3e-13   48.3  44.9     0.027   14.2   0.1  11.2  12   0   0  12  12   6   3 | SP
VITVvi_vCabSauv08_v1.1_Haplotig000020F_003.ver1.0.g101970.t01 -          LRR_6                PF13516.12   4.7e-13   47.8  79.3   0.00056   19.5   0.8  20.2  23   0   0  23  23   8   3 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000020F.ver1.0.g355980.t01      -          LRR_6                PF13516.12   5.4e-13   47.6  79.6    0.0028   17.3   0.2  20.1  23   0   0  23  23   8   4 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000020F.ver1.0.g355850.t01      -          LRR_6                PF13516.12   6.3e-13   47.4  42.5    0.0002   20.8   0.3  12.6  13   0   0  13  13   4   1 | TM
VITVvi_vCabSauv08_v1.1_Primary000041F.ver1.0.g412270.t02      -          LRR_6                PF13516.12     8e-13   47.1  65.8     0.093   12.5   0.4  17.1  19   0   0  19  19   7   2 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000264F.ver1.0.g583050.t01      -          LRR_6                PF13516.12   1.1e-12   46.6  95.3       2.3    8.2   0.1  28.6  31   0   0  31  31   3   0 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000125F.ver1.0.g514980.t01      -          LRR_6                PF13516.12   1.2e-12   46.5 107.7      0.28   11.0   0.1  25.8  26   3   3  29  29   7   2 | SP
VITVvi_vCabSauv08_v1.1_Primary000125F.ver1.0.g514980.t02      -          LRR_6                PF13516.12   1.2e-12   46.5 107.7      0.28   11.0   0.1  25.8  26   3   3  29  29   7   2 | SP
VITVvi_vCabSauv08_v1.1_Primary000125F.ver1.0.g514980.t03      -          LRR_6                PF13516.12   1.2e-12   46.5 107.7      0.28   11.0   0.1  25.8  26   3   3  29  29   7   2 | SP
VITVvi_vCabSauv08_v1.1_Primary000125F.ver1.0.g514980.t04      -          LRR_6                PF13516.12   1.2e-12   46.5 107.7      0.28   11.0   0.1  25.8  26   3   3  29  29   7   2 | SP
VITVvi_vCabSauv08_v1.1_Primary000026F.ver1.0.g376080.t02      -          LRR_6                PF13516.12   1.6e-12   46.2  52.8     0.042   13.6   0.1  12.3  13   0   0  13  13   6   4 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000052F.ver1.0.g427430.t01      -          LRR_6                PF13516.12   1.8e-12   46.0  90.2      0.76    9.7   0.1  22.7  24   0   0  24  24   8   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Haplotig000105F_014.ver1.0.g207280.t01 -          LRR_6                PF13516.12   3.2e-12   45.2  92.7      0.15   11.9   0.1  22.3  24   0   0  24  24   7   2 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000143F.ver1.0.g529540.t01      -          LRR_6                PF13516.12   3.9e-12   44.9  55.4      0.27   11.1   0.1  18.5  20   0   0  20  20   4   1 | TM
VITVvi_vCabSauv08_v1.1_Primary000156F.ver1.0.g538680.t01      -          LRR_6                PF13516.12     4e-12   44.9  29.2     0.054   13.3   0.6  10.0  10   0   0  10  10   6   2 | TM
VITVvi_vCabSauv08_v1.1_Haplotig000020F_003.ver1.0.g102170.t01 -          LRR_6                PF13516.12   4.4e-12   44.8  81.8      0.01   15.5   0.6  19.8  23   0   0  23  23   8   5 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000022F.ver1.0.g362830.t01      -          LRR_6                PF13516.12   4.6e-12   44.7  40.4      0.13   12.1   0.0  14.4  16   0   0  16  16   4   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Haplotig000095F_006.ver1.0.g198440.t01 -          LRR_6                PF13516.12   4.6e-12   44.7  72.3      0.25   11.2   0.1  20.1  23   0   0  23  23   8   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Haplotig000041F_013.ver1.0.g146590.t02 -          LRR_6                PF13516.12   5.1e-12   44.6  67.9      0.45   10.4   0.4  17.2  19   0   0  19  19   7   2 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000026F.ver1.0.g376080.t01      -          LRR_6                PF13516.12   5.4e-12   44.5  57.1     0.036   13.8   0.1  12.4  14   0   0  14  14   6   4 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000052F.ver1.0.g427710.t01      -          LRR_6                PF13516.12   1.6e-11   43.0  98.6      0.94    9.4   0.4  26.8  29   0   0  29  29   6   0 | SP+TM
VITVvi_vCabSauv08_v1.1_Haplotig000098F_001.ver1.0.g200960.t01 -          LRR_6                PF13516.12   1.8e-11   42.8 115.4      0.11   12.2   0.1  29.3  33   0   0  33  33   8   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000016F.ver1.0.g345150.t02      -          LRR_6                PF13516.12   1.9e-11   42.8  74.0       0.3   10.9   1.2  18.8  20   0   0  20  20   9   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000178F.ver1.0.g552750.t01      -          LRR_6                PF13516.12   2.6e-11   42.4 103.3      0.23   11.3   0.2  25.5  27   0   0  27  27   6   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000065F.ver1.0.g446300.t02      -          LRR_6                PF13516.12   4.2e-11   41.7  48.3         1    9.2   0.3  15.5  17   0   0  17  17   5   0 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000302F.ver1.0.g590910.t01      -          LRR_6                PF13516.12   4.2e-11   41.7 125.7       0.2   11.5   0.3  28.2  31   0   0  31  31   8   2 | SP+TM
VITVvi_vCabSauv08_v1.1_Haplotig000065F_003.ver1.0.g175540.t02 -          LRR_6                PF13516.12   4.7e-11   41.6  47.5         1    9.2   0.3  15.5  17   0   0  17  17   5   0 | SP+TM
VITVvi_vCabSauv08_v1.1_Haplotig000125F_007.ver1.0.g219700.t01 -          LRR_6                PF13516.12   5.1e-11   41.4  45.4      0.19   11.6   0.5  10.1  10   0   0  10  10   8   3 | SP
VITVvi_vCabSauv08_v1.1_Primary000302F.ver1.0.g590950.t01      -          LRR_6                PF13516.12   6.9e-11   41.0 129.6      0.19   11.5   0.3  29.0  30   0   0  30  30   7   2 | SP
VITVvi_vCabSauv08_v1.1_Primary000052F.ver1.0.g428690.t01      -          LRR_6                PF13516.12     8e-11   40.8  80.9      0.33   10.8   0.0  20.5  23   0   0  23  23   6   1 | TM
VITVvi_vCabSauv08_v1.1_Primary000049F.ver1.0.g424750.t01      -          LRR_6                PF13516.12   8.9e-11   40.7  95.8      0.42   10.5   0.3  22.5  25   0   0  25  25  10   2 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000180F.ver1.0.g553150.t01      -          LRR_6                PF13516.12   9.1e-11   40.7 105.6      0.13   12.1   0.1  24.3  30   0   0  30  30   8   2 | SP
VITVvi_vCabSauv08_v1.1_Primary000041F.ver1.0.g412270.t01      -          LRR_6                PF13516.12   9.1e-11   40.7  67.6      0.11   12.2   0.4  16.9  19   0   0  19  19   6   2 | SP+TM
VITVvi_vCabSauv08_v1.1_Haplotig000049F_003.ver1.0.g158100.t01 -          LRR_6                PF13516.12     1e-10   40.5  95.8      0.42   10.5   0.3  22.4  25   0   0  25  25  10   2 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000048F.ver1.0.g422220.t01      -          LRR_6                PF13516.12   1.2e-10   40.3   2.0       3.3    7.7   0.1   7.3   7   0   0   7   7   4   0 | SP
VITVvi_vCabSauv08_v1.1_Haplotig000019F_052.ver1.0.g101830.t01 -          LRR_6                PF13516.12   1.3e-10   40.2  51.3       2.9    7.9   0.1  15.8  16   0   0  16  16   5   0 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000019F.ver1.0.g353510.t01      -          LRR_6                PF13516.12   1.3e-10   40.2  51.3       2.9    7.9   0.1  15.8  16   0   0  16  16   5   0 | SP+TM
VITVvi_vCabSauv08_v1.1_Haplotig000098F_001.ver1.0.g200860.t01 -          LRR_6                PF13516.12   1.3e-10   40.2  73.6       1.3    9.0   0.0  18.8  20   0   0  20  20   7   0 | SP
VITVvi_vCabSauv08_v1.1_Haplotig000048F_006.ver1.0.g156710.t01 -          LRR_6                PF13516.12   1.4e-10   40.1   2.0       3.6    7.6   0.1   7.3   7   0   0   7   7   4   0 | SP
VITVvi_vCabSauv08_v1.1_Primary000098F.ver1.0.g486680.t01      -          LRR_6                PF13516.12   1.4e-10   40.1  58.1     0.067   13.0   0.3  14.4  15   0   0  15  15   5   1 | SP
VITVvi_vCabSauv08_v1.1_Primary000065F.ver1.0.g446300.t01      -          LRR_6                PF13516.12   1.5e-10   40.0  48.5       1.1    9.1   0.3  15.4  17   0   0  17  17   5   0 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000178F.ver1.0.g552820.t01      -          LRR_6                PF13516.12   1.6e-10   39.9  72.7      0.36   10.7   0.2  23.1  26   0   0  26  26   3   1 | TM
VITVvi_vCabSauv08_v1.1_Haplotig000065F_003.ver1.0.g175540.t01 -          LRR_6                PF13516.12   1.7e-10   39.8  47.7       1.1    9.1   0.3  15.5  17   0   0  17  17   5   0 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000043F.ver1.0.g416000.t01      -          LRR_6                PF13516.12     2e-10   39.6  39.5      0.11   12.3   0.1  13.5  14   0   0  14  14   4   2 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000052F.ver1.0.g427420.t01      -          LRR_6                PF13516.12   2.8e-10   39.2  73.6       4.8    7.2   0.0  21.4  22   0   0  22  22   5   0 | SP+TM
VITVvi_vCabSauv08_v1.1_Haplotig000151F_004.ver1.0.g231630.t01 -          LRR_6                PF13516.12   2.8e-10   39.2 114.0       0.6   10.0   0.9  26.9  29   0   0  29  29   7   1 | TM
VITVvi_vCabSauv08_v1.1_Primary000284F.ver1.0.g587260.t01      -          LRR_6                PF13516.12   2.9e-10   39.1  68.6      0.96    9.4   0.0  19.9  22   0   0  22  22   7   0 | SP
VITVvi_vCabSauv08_v1.1_Primary000151F.ver1.0.g534980.t01      -          LRR_6                PF13516.12   3.1e-10   39.0 126.1       0.2   11.5   0.3  28.3  32   0   0  32  32   8   2 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000020F.ver1.0.g355780.t01      -          LRR_6                PF13516.12   3.4e-10   38.9  92.9    0.0014   18.2   1.0  22.4  24   0   0  24  24   6   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Haplotig000020F_003.ver1.0.g101930.t01 -          LRR_6                PF13516.12   5.4e-10   38.3  84.2   0.00026   20.5   0.8  20.6  24   0   0  24  24   7   2 | TM
VITVvi_vCabSauv08_v1.1_Haplotig000041F_013.ver1.0.g146590.t01 -          LRR_6                PF13516.12     6e-10   38.1  69.7      0.56   10.1   0.4  17.0  19   0   0  19  19   6   2 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000151F.ver1.0.g534950.t01      -          LRR_6                PF13516.12   6.3e-10   38.0 132.0     0.075   12.8   0.3  28.2  31   0   0  31  31   7   3 | SP+TM
VITVvi_vCabSauv08_v1.1_Haplotig000008F_029.ver1.0.g071230.t01 -          LRR_6                PF13516.12   6.7e-10   38.0  12.5      0.14   12.0   0.3   7.2   8   0   0   8   8   4   2 | SP
VITVvi_vCabSauv08_v1.1_Primary000008F.ver1.0.g316890.t01      -          LRR_6                PF13516.12   6.7e-10   38.0  12.5      0.14   12.0   0.3   7.2   8   0   0   8   8   4   2 | SP
VITVvi_vCabSauv08_v1.1_Primary000052F.ver1.0.g427480.t01      -          LRR_6                PF13516.12   6.8e-10   37.9  76.9       3.4    7.6   0.1  20.0  22   0   0  22  22   5   0 | TM
VITVvi_vCabSauv08_v1.1_Haplotig000019F_052.ver1.0.g101830.t03 -          LRR_6                PF13516.12   6.9e-10   37.9  47.6       3.6    7.6   0.0  14.9  15   0   0  15  15   5   0 | TM
VITVvi_vCabSauv08_v1.1_Primary000019F.ver1.0.g353510.t03      -          LRR_6                PF13516.12   6.9e-10   37.9  47.6       3.6    7.6   0.0  14.9  15   0   0  15  15   5   0 | TM
VITVvi_vCabSauv08_v1.1_Haplotig000072F_002.ver1.0.g180370.t01 -          LRR_6                PF13516.12   7.5e-10   37.8  23.0     0.082   12.7   0.7   8.0   7   0   0   7   7   3   2 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000072F.ver1.0.g453910.t01      -          LRR_6                PF13516.12   7.5e-10   37.8  23.0     0.082   12.7   0.7   8.0   7   0   0   7   7   3   2 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000052F.ver1.0.g427400.t01      -          LRR_6                PF13516.12   1.1e-09   37.3 103.7      0.58   10.0   0.2  24.9  27   0   0  27  27   9   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000078F.ver1.0.g459710.t01      -          LRR_6                PF13516.12   1.2e-09   37.1  45.1      0.24   11.2   0.3  13.8  15   0   0  15  15   4   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Haplotig000049F_003.ver1.0.g158130.t01 -          LRR_6                PF13516.12   1.3e-09   37.1 288.5       1.2    9.1   0.3  56.1  62   0   0  62  62  15   0 | TM
VITVvi_vCabSauv08_v1.1_Primary000025F.ver1.0.g373870.t01      -          LRR_6                PF13516.12   1.3e-09   37.0  45.1      0.24   11.2   0.3  13.8  15   0   0  15  15   4   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000178F.ver1.0.g552800.t01      -          LRR_6                PF13516.12   1.7e-09   36.7  41.4      0.06   13.1   0.0  14.0  15   0   0  15  15   4   1 | TM
VITVvi_vCabSauv08_v1.1_Primary000105F.ver1.0.g495840.t01      -          LRR_6                PF13516.12   1.8e-09   36.6  90.3       0.2   11.5   0.0  25.4  29   0   0  29  29   5   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Haplotig000123F_005.ver1.0.g216990.t02 -          LRR_6                PF13516.12   1.8e-09   36.6  32.1      0.34   10.8   0.2  12.0  13   0   0  13  13   4   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Haplotig000014F_032.ver1.0.g088140.t01 -          LRR_6                PF13516.12   1.9e-09   36.6  60.9         1    9.2   0.2  20.4  24   0   0  24  24   5   0 | TM
VITVvi_vCabSauv08_v1.1_Haplotig000102F_003.ver1.0.g204930.t01 -          LRR_6                PF13516.12   1.9e-09   36.5  14.2      0.36   10.7   0.1   7.7   7   0   0   7   7   4   1 | SP
VITVvi_vCabSauv08_v1.1_Primary000020F.ver1.0.g355770.t01      -          LRR_6                PF13516.12   2.4e-09   36.2  80.8   0.00084   18.9   0.1  19.8  23   1   1  24  24   6   3 | SP
VITVvi_vCabSauv08_v1.1_Haplotig000000F_029.ver1.0.g005680.t03 -          LRR_6                PF13516.12   2.4e-09   36.2   0.1   1.1e-05   24.7   0.0   3.4   3   0   0   3   3   1   1 | TM
VITVvi_vCabSauv08_v1.1_Primary000023F.ver1.0.g365590.t01      -          LRR_6                PF13516.12   2.7e-09   36.1  28.8       1.4    8.9   0.0  12.1  13   0   0  13  13   3   0 | TM
VITVvi_vCabSauv08_v1.1_Haplotig000024F_009.ver1.0.g114070.t01 -          LRR_6                PF13516.12   3.3e-09   35.8   6.3      0.23   11.3   0.0   7.8   7   0   0   7   7   2   2 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000007F.ver1.0.g312700.t01      -          LRR_6                PF13516.12   3.7e-09   35.6   8.0     0.098   12.5   0.1   8.0   9   0   0   9   9   3   1 | SP
VITVvi_vCabSauv08_v1.1_Haplotig000125F_004.ver1.0.g219070.t01 -          LRR_6                PF13516.12   4.1e-09   35.5  79.8      0.93    9.4   0.0  22.5  24   0   0  24  24   5   0 | SP+TM
VITVvi_vCabSauv08_v1.1_Haplotig000020F_003.ver1.0.g102010.t01 -          LRR_6                PF13516.12   4.2e-09   35.5  86.9    0.0014   18.2   1.0  20.8  24   0   0  24  24   6   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Haplotig000052F_004.ver1.0.g160930.t01 -          LRR_6                PF13516.12   4.2e-09   35.5  50.6        10    6.1   0.1  20.1  24   0   0  24  24   4   0 | TM
VITVvi_vCabSauv08_v1.1_Primary000335F.ver1.0.g597120.t01      -          LRR_6                PF13516.12     5e-09   35.2  40.1      0.12   12.2   0.1  13.2  14   0   0  14  14   4   2 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000376F.ver1.0.g602610.t01      -          LRR_6                PF13516.12   5.4e-09   35.1  95.0         1    9.2   0.3  23.5  26   0   0  26  26   8   0 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000095F.ver1.0.g483590.t01      -          LRR_6                PF13516.12   5.7e-09   35.1  66.7         1    9.3   0.0  20.2  23   0   0  23  23   5   0 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000123F.ver1.0.g513550.t01      -          LRR_6                PF13516.12   6.7e-09   34.8  30.0      0.25   11.2   0.2  10.1  10   0   0  10  10   4   1 | TM
VITVvi_vCabSauv08_v1.1_Haplotig000098F_001.ver1.0.g200890.t01 -          LRR_6                PF13516.12   6.8e-09   34.8  91.2      0.14   11.9   0.1  22.1  24   0   0  24  24   7   2 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000308F.ver1.0.g592590.t01      -          LRR_6                PF13516.12   7.5e-09   34.7  38.7      0.06   13.1   0.6  11.0  12   0   0  12  12   5   1 | TM
VITVvi_vCabSauv08_v1.1_Primary000020F.ver1.0.g355840.t01      -          LRR_6                PF13516.12   8.4e-09   34.5  69.8      0.27   11.1   0.0  20.3  22   0   0  22  22   5   2 | SP
VITVvi_vCabSauv08_v1.1_Haplotig000095F_006.ver1.0.g198490.t01 -          LRR_6                PF13516.12   8.9e-09   34.4  65.8         1    9.3   0.0  20.1  23   0   0  23  23   5   0 | SP+TM
VITVvi_vCabSauv08_v1.1_Haplotig000125F_007.ver1.0.g219720.t01 -          LRR_6                PF13516.12   9.9e-09   34.3 108.4       0.6   10.0   0.1  25.4  26   3   3  29  29   6   1 | TM
VITVvi_vCabSauv08_v1.1_Haplotig000123F_005.ver1.0.g217000.t01 -          LRR_6                PF13516.12   1.1e-08   34.2  34.0      0.33   10.8   0.2  12.0  13   0   0  13  13   4   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000080F.ver1.0.g462260.t01      -          LRR_6                PF13516.12   1.1e-08   34.2  41.9     0.043   13.6   0.4  13.4  15   0   0  15  15   4   1 | SP
VITVvi_vCabSauv08_v1.1_Primary000081F.ver1.0.g463680.t01      -          LRR_6                PF13516.12   1.1e-08   34.1  43.1       4.3    7.3   0.1  15.2  16   0   0  16  16   4   0 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000178F.ver1.0.g552830.t01      -          LRR_6                PF13516.12   1.2e-08   34.1  74.8      0.36   10.7   0.1  18.8  21   0   0  21  21   8   1 | TM
VITVvi_vCabSauv08_v1.1_Haplotig000095F_006.ver1.0.g198690.t01 -          LRR_6                PF13516.12   1.4e-08   33.9 162.2       2.5    8.1   0.3  41.8  47   0   0  47  47   7   0 | TM
VITVvi_vCabSauv08_v1.1_Primary000020F.ver1.0.g355800.t01      -          LRR_6                PF13516.12   1.5e-08   33.8  81.8    0.0011   18.5   0.1  19.2  22   0   0  22  22   4   3 | SP+TM
VITVvi_vCabSauv08_v1.1_Haplotig000007F_034.ver1.0.g065770.t01 -          LRR_6                PF13516.12   1.5e-08   33.8   8.3      0.11   12.2   0.1   7.9   9   0   0   9   9   3   1 | TM
VITVvi_vCabSauv08_v1.1_Primary000107F.ver1.0.g497870.t01      -          LRR_6                PF13516.12   1.5e-08   33.7 114.7      0.28   11.0   0.3  29.0  34   0   0  34  34   6   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000102F.ver1.0.g492160.t01      -          LRR_6                PF13516.12   1.6e-08   33.7  18.8      0.36   10.7   0.1   7.8   7   0   0   7   7   4   1 | SP
VITVvi_vCabSauv08_v1.1_Primary000001F.ver1.0.g267190.t01      -          LRR_6                PF13516.12   1.9e-08   33.4   9.9     0.044   13.5   0.0   7.1   7   1   0   7   7   2   2 | SP
VITVvi_vCabSauv08_v1.1_Haplotig000095F_006.ver1.0.g198480.t01 -          LRR_6                PF13516.12     2e-08   33.4  41.5       1.5    8.7   0.1  12.3  13   0   0  13  13   5   0 | TM
VITVvi_vCabSauv08_v1.1_Primary000169F.ver1.0.g547410.t01      -          LRR_6                PF13516.12   2.1e-08   33.3  85.2       1.8    8.5   0.1  21.8  24   0   0  24  24   6   0 | TM
VITVvi_vCabSauv08_v1.1_Primary000125F.ver1.0.g515200.t01      -          LRR_6                PF13516.12   2.2e-08   33.2 127.5       0.4   10.5   0.1  28.8  32   0   0  32  32   9   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000302F.ver1.0.g590950.t02      -          LRR_6                PF13516.12   2.3e-08   33.2 133.4       0.2   11.5   0.3  28.9  30   0   0  30  30   6   2 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000214F.ver1.0.g568600.t01      -          LRR_6                PF13516.12   2.4e-08   33.1  55.5      0.54   10.1   0.1  15.3  16   0   0  16  16   5   1 | TM
VITVvi_vCabSauv08_v1.1_Primary000284F.ver1.0.g587340.t01      -          LRR_6                PF13516.12   2.4e-08   33.1  54.3       2.1    8.3   0.1  16.1  17   0   0  17  17   5   0 | TM
VITVvi_vCabSauv08_v1.1_Primary000044F.ver1.0.g416060.t02      -          LRR_6                PF13516.12   2.7e-08   33.0  53.0       4.6    7.2   0.1  16.8  18   0   0  18  18   5   0 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000125F.ver1.0.g515670.t01      -          LRR_6                PF13516.12   2.7e-08   33.0  83.3      0.93    9.4   0.0  22.5  24   0   0  24  24   6   0 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000000F.ver1.0.g265510.t01      -          LRR_6                PF13516.12   2.7e-08   32.9  45.9       1.7    8.6   0.3  14.5  16   0   0  16  16   6   0 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000000F.ver1.0.g265510.t02      -          LRR_6                PF13516.12   2.7e-08   32.9  45.9       1.7    8.6   0.3  14.5  16   0   0  16  16   6   0 | SP+TM
VITVvi_vCabSauv08_v1.1_Haplotig000019F_052.ver1.0.g101830.t02 -          LRR_6                PF13516.12   3.1e-08   32.7  69.8       3.4    7.6   0.1  18.5  20   0   0  20  20   7   0 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000019F.ver1.0.g353510.t02      -          LRR_6                PF13516.12   3.1e-08   32.7  69.8       3.4    7.6   0.1  18.5  20   0   0  20  20   7   0 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000051F.ver1.0.g426180.t01      -          LRR_6                PF13516.12   3.1e-08   32.7  96.6      0.17   11.7   0.1  24.0  27   0   0  27  27   6   3 | TM
VITVvi_vCabSauv08_v1.1_Haplotig000010F_029.ver1.0.g080300.t01 -          LRR_6                PF13516.12   3.2e-08   32.7  90.3      0.68    9.8   0.1  20.8  23   0   0  23  23   9   1 | TM
VITVvi_vCabSauv08_v1.1_Primary000031F.ver1.0.g393350.t01      -          LRR_6                PF13516.12   3.3e-08   32.6  86.3         2    8.3   0.1  22.6  25   0   0  25  25   6   0 | TM
