Receptor                                                                                            Best Model     pLDDT     pTM
Solanum_microdontum_gigantophyllum_OQ999448_PERU                                                    model_5        88.4      0.571
Solanum_pampasense_OQ999458_PERU                                                                    model_3        90.9      0.653
Solanum_pennellii_XP_015068909.1_CORE                                                               model_3        87.5      0.609
Solanum_raphanifolium_OQ999456_PERU                                                                 model_5        90.8      0.664
Solanum_tuberosum_Ajanhuiri_Group_OQ999461_PERU                                                     model_5        90.8      0.655
Solanum_tuberosum_OQ999435_PERU                                                                     model_5        90.9      0.661
Solanum_tuberosum_Phureja_Group1_OQ999452_PERU                                                      model_5        91.0      0.661
Solanum_tuberosum_Phureja_Group2_OQ999454_PERU                                                      model_5        91.3      0.661
Solanum_tuberosum_Phureja_Group3_OQ999453_PERU                                                      model_3        88.8      0.502
Trachelospermum_jasminoides_UTN00804.1_FLS2                                                         model_3        86.8      0.642
Vigna_radiata_Vradi08g18340_INR-like_1_INR-like                                                     model_3        88.8      0.797
Vigna_radiata_Vradi08g18340_INR_INR                                                                 model_4        88.5      0.798
Vigna_radiata_XP_014499491.1_FLS2                                                                   model_3        85.3      0.753
Vigna_unguiculata_Vigun07g039700_INR-like                                                           model_3        89.9      0.803
Vigna_unguiculata_Vigun07g219600_INR                                                                model_3        88.9      0.818
Vigna_unguiculata_Vigun07g219700_INR-like                                                           model_3        88.1      0.793
Vitis_riparia_PQ283347_FLS2                                                                         model_3        88.0      0.640
Vitis_riparia_PQ283348_FLS2                                                                         model_3        87.9      0.636
Vitis_riparia_PQ283348_VrFLS2                                                                       model_5        87.9      0.653
Zanthoxylum_bungeanum_ON556664.1_FLS2                                                               model_5        86.4      0.638
