#                                                                                                        --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name                                                 accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#                                         ------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
VITVvi_vCabSauv08_v1.1_Haplotig000123F_011.ver1.0.g217250.t01 -          Pkinase              PF00069.31  2.4e-195  642.7  10.3   1.8e-49  164.5   0.2   6.2   4   2   2   6   6   6   6 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000085F.ver1.0.g471490.t01      -          Pkinase              PF00069.31  3.1e-113  373.5   0.5   1.6e-46  154.8   0.0   6.5   5   2   0   5   5   5   5 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000030F.ver1.0.g391150.t01      -          Pkinase              PF00069.31  7.8e-108  355.8   0.0   7.8e-38  126.4   0.0   4.8   3   2   0   3   3   3   3 | TM
VITVvi_vCabSauv08_v1.1_Primary000030F.ver1.0.g391180.t01      -          Pkinase              PF00069.31  7.9e-108  355.8   0.0   1.1e-36  122.6   0.0   4.4   4   0   0   4   4   4   4 | TM
VITVvi_vCabSauv08_v1.1_Primary000203F.ver1.0.g564600.t01      -          Pkinase              PF00069.31  4.8e-101  333.6   0.0   1.9e-45  151.3   0.0   4.0   3   1   1   4   4   3   3 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000096F.ver1.0.g485570.t01      -          Pkinase              PF00069.31  5.6e-100  330.1   0.0   5.9e-50  166.1   0.0   2.2   2   0   0   2   2   2   2 | TM
VITVvi_vCabSauv08_v1.1_Primary000107F.ver1.0.g497950.t01      -          Pkinase              PF00069.31   6.9e-98  323.2   8.7   1.2e-45  152.0   0.1   4.4   4   0   0   4   4   4   4 | TM
VITVvi_vCabSauv08_v1.1_Primary000030F.ver1.0.g391160.t01      -          Pkinase              PF00069.31   4.1e-97  320.7   0.1   1.4e-44  148.4   0.0   4.7   3   2   1   4   4   3   3 | TM
VITVvi_vCabSauv08_v1.1_Primary000024F.ver1.0.g371190.t02      -          Pkinase              PF00069.31   7.5e-96  316.5   0.0   1.5e-47  158.2   0.0   2.4   2   0   0   2   2   2   2 | TM
VITVvi_vCabSauv08_v1.1_Primary000024F.ver1.0.g371190.t01      -          Pkinase              PF00069.31   8.2e-96  316.4   0.0   1.6e-47  158.1   0.0   2.5   2   0   0   2   2   2   2 | TM
VITVvi_vCabSauv08_v1.1_Primary000396F.ver1.0.g604690.t01      -          Pkinase              PF00069.31   2.2e-95  315.0   0.0   3.8e-48  160.2   0.0   2.8   3   0   0   3   3   2   2 | TM
VITVvi_vCabSauv08_v1.1_Primary000224F.ver1.0.g572420.t01      -          Pkinase              PF00069.31   2.3e-95  314.9   0.1   6.6e-45  149.6   0.0   3.3   3   0   0   3   3   3   3 | TM
VITVvi_vCabSauv08_v1.1_Haplotig000032F_005.ver1.0.g133000.t02 -          Pkinase              PF00069.31   8.5e-95  313.1   0.0   2.3e-47  157.6   0.0   2.3   2   0   0   2   2   2   2 | TM
VITVvi_vCabSauv08_v1.1_Primary000032F.ver1.0.g394720.t02      -          Pkinase              PF00069.31   8.5e-95  313.1   0.0   2.3e-47  157.6   0.0   2.3   2   0   0   2   2   2   2 | TM
VITVvi_vCabSauv08_v1.1_Haplotig000032F_005.ver1.0.g133000.t01 -          Pkinase              PF00069.31   1.8e-94  312.0   0.0   3.3e-47  157.1   0.0   2.2   2   0   0   2   2   2   2 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000032F.ver1.0.g394720.t01      -          Pkinase              PF00069.31   1.8e-94  312.0   0.0   3.3e-47  157.1   0.0   2.2   2   0   0   2   2   2   2 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000030F.ver1.0.g391050.t01      -          Pkinase              PF00069.31   4.9e-94  310.6   0.1   2.7e-49  163.9   0.0   2.4   2   0   0   2   2   2   2 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000030F.ver1.0.g391240.t01      -          Pkinase              PF00069.31   1.1e-90  299.6   0.0   1.3e-44  148.6   0.0   2.3   2   0   0   2   2   2   2 | TM
VITVvi_vCabSauv08_v1.1_Primary000203F.ver1.0.g564690.t01      -          Pkinase              PF00069.31   2.6e-90  298.4   0.0   1.5e-46  155.0   0.0   2.2   2   0   0   2   2   2   2 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000026F.ver1.0.g375810.t01      -          Pkinase              PF00069.31     7e-90  297.0   0.1     2e-45  151.2   0.0   2.2   2   0   0   2   2   2   2 | SP+TM
VITVvi_vCabSauv08_v1.1_Haplotig000051F_010.ver1.0.g160080.t01 -          Pkinase              PF00069.31   1.3e-89  296.1   0.1   1.4e-46  155.0   0.0   2.2   2   0   0   2   2   2   2 | TM
VITVvi_vCabSauv08_v1.1_Haplotig000024F_019.ver1.0.g115360.t01 -          Pkinase              PF00069.31   3.1e-89  294.8   0.0   1.7e-47  158.1   0.0   2.2   2   0   0   2   2   2   2 | TM
VITVvi_vCabSauv08_v1.1_Haplotig000024F_019.ver1.0.g115360.t02 -          Pkinase              PF00069.31   3.1e-89  294.8   0.0   1.7e-47  158.1   0.0   2.2   2   0   0   2   2   2   2 | TM
VITVvi_vCabSauv08_v1.1_Haplotig000085F_005.ver1.0.g189150.t01 -          Pkinase              PF00069.31   2.6e-83  275.4   0.0   2.9e-46  154.0   0.0   2.2   2   0   0   2   2   2   2 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000048F.ver1.0.g422490.t01      -          Pkinase              PF00069.31     9e-81  267.1   0.0   7.4e-40  133.0   0.0   2.3   2   0   0   2   2   2   2 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000028F.ver1.0.g386640.t01      -          Pkinase              PF00069.31   1.6e-80  266.3   0.0   4.7e-44  146.7   0.0   3.2   2   1   1   3   3   3   3 | TM
VITVvi_vCabSauv08_v1.1_Primary000206F.ver1.0.g566400.t01      -          Pkinase              PF00069.31   2.2e-79  262.6   0.0   1.5e-46  154.9   0.0   3.2   3   0   0   3   3   3   3 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000051F.ver1.0.g426180.t01      -          Pkinase              PF00069.31   4.5e-76  251.7   1.3   2.6e-46  154.1   0.0   2.2   2   0   0   2   2   2   2 | TM
VITVvi_vCabSauv08_v1.1_Haplotig000130F_007.ver1.0.g224180.t01 -          Pkinase              PF00069.31   1.5e-75  250.0   0.1   1.3e-46  155.2   0.0   3.2   2   1   1   3   3   3   3 | SP+TM
VITVvi_vCabSauv08_v1.1_Haplotig000107F_010.ver1.0.g208780.t01 -          Pkinase              PF00069.31   6.7e-72  238.0   6.7   1.5e-45  151.6   0.1   2.8   3   0   0   3   3   2   2 | TM
VITVvi_vCabSauv08_v1.1_Haplotig000028F_020.ver1.0.g125390.t01 -          Pkinase              PF00069.31   8.5e-69  227.9   0.0   5.4e-43  143.3   0.0   2.2   2   0   0   2   2   2   2 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000107F.ver1.0.g497940.t01      -          Pkinase              PF00069.31   1.2e-65  217.6   0.6     8e-45  149.3   0.0   2.9   2   1   1   3   3   2   2 | SP+TM
VITVvi_vCabSauv08_v1.1_Haplotig000044F_015.ver1.0.g152700.t01 -          Pkinase              PF00069.31   1.4e-62  207.5   0.0   7.3e-33  110.1   0.0   2.2   2   0   0   2   2   2   2 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000052F.ver1.0.g428390.t01      -          Pkinase              PF00069.31     2e-53  177.4   0.1   1.5e-32  109.0   0.2   3.1   2   1   0   2   2   2   2 | TM
VITVvi_vCabSauv08_v1.1_Primary000079F.ver1.0.g460690.t01      -          Pkinase              PF00069.31   2.9e-53  176.9   0.0   1.9e-41  138.2   0.0   2.2   1   1   1   2   2   2   2 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000123F.ver1.0.g512930.t01      -          Pkinase              PF00069.31   4.9e-52  172.9   0.1   7.3e-52  172.3   0.1   1.2   1   0   0   1   1   1   1 | TM
VITVvi_vCabSauv08_v1.1_Primary000123F.ver1.0.g513480.t02      -          Pkinase              PF00069.31   2.4e-51  170.6   0.2   3.5e-51  170.1   0.2   1.2   1   0   0   1   1   1   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000123F.ver1.0.g513480.t01      -          Pkinase              PF00069.31   2.6e-51  170.5   0.2   3.8e-51  170.0   0.2   1.2   1   0   0   1   1   1   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000003F.ver1.0.g289140.t01      -          Pkinase              PF00069.31   6.9e-51  169.1   0.0   1.1e-50  168.5   0.0   1.2   1   0   0   1   1   1   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Haplotig000123F_011.ver1.0.g217200.t01 -          Pkinase              PF00069.31   8.8e-51  168.8   0.1   1.2e-50  168.3   0.1   1.2   1   0   0   1   1   1   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000123F.ver1.0.g513460.t01      -          Pkinase              PF00069.31   2.6e-50  167.3   0.1   3.7e-50  166.8   0.1   1.2   1   0   0   1   1   1   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000006F.ver1.0.g302520.t01      -          Pkinase              PF00069.31   4.1e-50  166.6   0.0   5.9e-50  166.1   0.0   1.1   1   0   0   1   1   1   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000006F.ver1.0.g302520.t02      -          Pkinase              PF00069.31   4.1e-50  166.6   0.0   5.9e-50  166.1   0.0   1.1   1   0   0   1   1   1   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Haplotig000006F_034.ver1.0.g062220.t01 -          Pkinase              PF00069.31   4.1e-50  166.6   0.0   5.9e-50  166.1   0.0   1.1   1   0   0   1   1   1   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Haplotig000006F_034.ver1.0.g062220.t02 -          Pkinase              PF00069.31   4.1e-50  166.6   0.0   5.9e-50  166.1   0.0   1.1   1   0   0   1   1   1   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000123F.ver1.0.g512920.t01      -          Pkinase              PF00069.31     5e-50  166.3   0.0   7.3e-50  165.8   0.0   1.2   1   0   0   1   1   1   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000046F.ver1.0.g417610.t01      -          Pkinase              PF00069.31   6.7e-50  165.9   0.0   9.9e-50  165.4   0.0   1.2   1   0   0   1   1   1   1 | TM
VITVvi_vCabSauv08_v1.1_Primary000164F.ver1.0.g544140.t02      -          Pkinase              PF00069.31   8.7e-50  165.5   0.0   1.3e-49  164.9   0.0   1.2   1   0   0   1   1   1   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000025F.ver1.0.g373940.t01      -          Pkinase              PF00069.31   9.6e-50  165.4   0.0   1.6e-49  164.6   0.0   1.3   1   0   0   1   1   1   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Haplotig000164F_005.ver1.0.g236130.t01 -          Pkinase              PF00069.31   1.1e-49  165.2   0.0   1.7e-49  164.6   0.0   1.3   1   0   0   1   1   1   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Haplotig000024F_019.ver1.0.g115440.t01 -          Pkinase              PF00069.31   1.1e-49  165.2   0.0     2e-49  164.3   0.0   1.4   1   0   0   1   1   1   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000096F.ver1.0.g485610.t01      -          Pkinase              PF00069.31   1.7e-49  164.6   0.0   2.7e-49  163.9   0.0   1.2   1   0   0   1   1   1   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Haplotig000118F_002.ver1.0.g215710.t01 -          Pkinase              PF00069.31   2.4e-49  164.1   0.0   3.7e-49  163.5   0.0   1.2   1   0   0   1   1   1   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Haplotig000118F_002.ver1.0.g215710.t02 -          Pkinase              PF00069.31   2.4e-49  164.1   0.0   3.7e-49  163.5   0.0   1.2   1   0   0   1   1   1   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Haplotig000118F_002.ver1.0.g215710.t03 -          Pkinase              PF00069.31   2.4e-49  164.1   0.0   3.7e-49  163.5   0.0   1.2   1   0   0   1   1   1   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Haplotig000118F_002.ver1.0.g215710.t05 -          Pkinase              PF00069.31   2.4e-49  164.1   0.0   3.7e-49  163.5   0.0   1.2   1   0   0   1   1   1   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Haplotig000118F_002.ver1.0.g215710.t06 -          Pkinase              PF00069.31   2.4e-49  164.1   0.0   3.7e-49  163.5   0.0   1.2   1   0   0   1   1   1   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Haplotig000118F_002.ver1.0.g215710.t07 -          Pkinase              PF00069.31   2.4e-49  164.1   0.0   3.7e-49  163.5   0.0   1.2   1   0   0   1   1   1   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000152F.ver1.0.g535600.t01      -          Pkinase              PF00069.31   2.6e-49  164.0   0.0     4e-49  163.4   0.0   1.2   1   0   0   1   1   1   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Haplotig000118F_002.ver1.0.g215710.t04 -          Pkinase              PF00069.31   2.7e-49  163.9   0.0   4.2e-49  163.3   0.0   1.2   1   0   0   1   1   1   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000165F.ver1.0.g544760.t01      -          Pkinase              PF00069.31   2.8e-49  163.9   0.0   3.7e-49  163.5   0.0   1.2   1   0   0   1   1   1   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000165F.ver1.0.g544760.t02      -          Pkinase              PF00069.31   2.8e-49  163.9   0.0   3.7e-49  163.5   0.0   1.2   1   0   0   1   1   1   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000165F.ver1.0.g544760.t04      -          Pkinase              PF00069.31   2.8e-49  163.9   0.0   3.7e-49  163.5   0.0   1.2   1   0   0   1   1   1   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000165F.ver1.0.g544760.t07      -          Pkinase              PF00069.31   2.8e-49  163.9   0.0   3.7e-49  163.5   0.0   1.2   1   0   0   1   1   1   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000204F.ver1.0.g565190.t01      -          Pkinase              PF00069.31   2.8e-49  163.9   0.0   3.7e-49  163.5   0.0   1.2   1   0   0   1   1   1   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Haplotig000024F_008.ver1.0.g114040.t01 -          Pkinase              PF00069.31   4.4e-49  163.2   0.0     1e-48  162.0   0.0   1.5   2   0   0   2   2   1   1 | TM
VITVvi_vCabSauv08_v1.1_Primary000123F.ver1.0.g513560.t01      -          Pkinase              PF00069.31   5.3e-49  163.0   0.1   8.4e-49  162.3   0.1   1.2   1   0   0   1   1   1   1 | TM
VITVvi_vCabSauv08_v1.1_Primary000078F.ver1.0.g459780.t01      -          Pkinase              PF00069.31   5.6e-49  162.9   0.0   7.8e-49  162.4   0.0   1.2   1   0   0   1   1   1   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Haplotig000121F_006.ver1.0.g216620.t01 -          Pkinase              PF00069.31   5.6e-49  162.9   0.0   7.9e-49  162.4   0.0   1.2   1   0   0   1   1   1   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000288F.ver1.0.g588010.t01      -          Pkinase              PF00069.31   5.7e-49  162.9   0.0     1e-48  162.0   0.0   1.4   1   0   0   1   1   1   1 | TM
VITVvi_vCabSauv08_v1.1_Haplotig000000F_021.ver1.0.g001010.t01 -          Pkinase              PF00069.31   5.8e-49  162.8   0.0   8.3e-49  162.3   0.0   1.2   1   0   0   1   1   1   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000000F.ver1.0.g260020.t01      -          Pkinase              PF00069.31   5.9e-49  162.8   0.0   8.3e-49  162.3   0.0   1.1   1   0   0   1   1   1   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Haplotig000206F_002.ver1.0.g241860.t01 -          Pkinase              PF00069.31   8.8e-49  162.2   0.0   1.3e-48  161.7   0.0   1.2   1   0   0   1   1   1   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000156F.ver1.0.g538680.t01      -          Pkinase              PF00069.31     1e-48  162.0   0.0   1.4e-48  161.6   0.0   1.2   1   0   0   1   1   1   1 | TM
VITVvi_vCabSauv08_v1.1_Haplotig000022F_013.ver1.0.g108920.t01 -          Pkinase              PF00069.31   1.6e-48  161.4   0.0   2.8e-48  160.6   0.0   1.3   1   0   0   1   1   1   1 | TM
VITVvi_vCabSauv08_v1.1_Primary000308F.ver1.0.g592610.t01      -          Pkinase              PF00069.31   2.1e-48  161.0   0.0   2.8e-48  160.6   0.0   1.2   1   0   0   1   1   1   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Haplotig000096F_007.ver1.0.g199510.t01 -          Pkinase              PF00069.31   2.1e-48  161.0   0.0   3.4e-48  160.3   0.0   1.2   1   0   0   1   1   1   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000085F.ver1.0.g471520.t01      -          Pkinase              PF00069.31   2.2e-48  160.9   0.0   3.2e-48  160.4   0.0   1.2   1   0   0   1   1   1   1 | TM
VITVvi_vCabSauv08_v1.1_Primary000090F.ver1.0.g478130.t01      -          Pkinase              PF00069.31   2.3e-48  160.9   0.0   3.3e-48  160.4   0.0   1.2   1   0   0   1   1   1   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Haplotig000090F_008.ver1.0.g194800.t01 -          Pkinase              PF00069.31   2.3e-48  160.9   0.0   3.3e-48  160.4   0.0   1.2   1   0   0   1   1   1   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000308F.ver1.0.g592590.t01      -          Pkinase              PF00069.31   2.6e-48  160.7   0.0   3.4e-48  160.3   0.0   1.2   1   0   0   1   1   1   1 | TM
VITVvi_vCabSauv08_v1.1_Haplotig000247F_002.ver1.0.g244760.t01 -          Pkinase              PF00069.31   2.6e-48  160.7   0.0   3.5e-48  160.3   0.0   1.1   1   0   0   1   1   1   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000078F.ver1.0.g459800.t01      -          Pkinase              PF00069.31   2.9e-48  160.6   0.0   4.3e-48  160.0   0.0   1.2   1   0   0   1   1   1   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Haplotig000024F_019.ver1.0.g115350.t01 -          Pkinase              PF00069.31   2.9e-48  160.5   0.0   6.6e-48  159.4   0.0   1.6   2   0   0   2   2   1   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000288F.ver1.0.g587970.t01      -          Pkinase              PF00069.31     3e-48  160.5   0.0   4.6e-48  159.9   0.0   1.2   1   0   0   1   1   1   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000247F.ver1.0.g578410.t01      -          Pkinase              PF00069.31   3.4e-48  160.3   0.0   4.5e-48  159.9   0.0   1.1   1   0   0   1   1   1   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000024F.ver1.0.g371200.t02      -          Pkinase              PF00069.31   3.8e-48  160.2   0.0   5.7e-48  159.6   0.0   1.2   1   0   0   1   1   1   1 | TM
VITVvi_vCabSauv08_v1.1_Primary000589F.ver1.0.g618160.t01      -          Pkinase              PF00069.31   3.9e-48  160.1   0.0   5.7e-48  159.6   0.0   1.2   1   0   0   1   1   1   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000024F.ver1.0.g371200.t01      -          Pkinase              PF00069.31   3.9e-48  160.1   0.0     6e-48  159.5   0.0   1.2   1   0   0   1   1   1   1 | TM
VITVvi_vCabSauv08_v1.1_Primary000010F.ver1.0.g326130.t01      -          Pkinase              PF00069.31   4.5e-48  159.9   0.0   6.3e-48  159.4   0.0   1.2   1   0   0   1   1   1   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000107F.ver1.0.g498370.t02      -          Pkinase              PF00069.31   4.5e-48  159.9   0.0   6.6e-48  159.4   0.0   1.2   1   0   0   1   1   1   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000308F.ver1.0.g592580.t01      -          Pkinase              PF00069.31   4.9e-48  159.8   0.0   7.5e-48  159.2   0.0   1.3   1   0   0   1   1   1   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000407F.ver1.0.g605790.t01      -          Pkinase              PF00069.31   5.3e-48  159.7   0.0   8.2e-48  159.1   0.0   1.2   1   0   0   1   1   1   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000024F.ver1.0.g371230.t01      -          Pkinase              PF00069.31   5.3e-48  159.7   0.0   1.1e-47  158.7   0.0   1.5   2   0   0   2   2   1   1 | TM
VITVvi_vCabSauv08_v1.1_Primary000022F.ver1.0.g364060.t02      -          Pkinase              PF00069.31   5.5e-48  159.6   0.0   8.8e-48  159.0   0.0   1.3   1   0   0   1   1   1   1 | TM
VITVvi_vCabSauv08_v1.1_Haplotig000010F_003.ver1.0.g077100.t01 -          Pkinase              PF00069.31   5.6e-48  159.6   0.0     8e-48  159.1   0.0   1.2   1   0   0   1   1   1   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Haplotig000024F_008.ver1.0.g114060.t04 -          Pkinase              PF00069.31   5.7e-48  159.6   0.0   8.2e-48  159.1   0.0   1.2   1   0   0   1   1   1   1 | TM
VITVvi_vCabSauv08_v1.1_Haplotig000024F_008.ver1.0.g114060.t02 -          Pkinase              PF00069.31   5.8e-48  159.6   0.0   1.1e-47  158.6   0.0   1.4   1   0   0   1   1   1   1 | TM
VITVvi_vCabSauv08_v1.1_Primary000156F.ver1.0.g538690.t01      -          Pkinase              PF00069.31   6.3e-48  159.4   0.0   9.6e-48  158.8   0.0   1.2   1   0   0   1   1   1   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000396F.ver1.0.g604700.t02      -          Pkinase              PF00069.31   6.3e-48  159.4   0.0   9.9e-48  158.8   0.0   1.3   1   0   0   1   1   1   1 | TM
VITVvi_vCabSauv08_v1.1_Primary000308F.ver1.0.g592550.t01      -          Pkinase              PF00069.31   6.5e-48  159.4   0.0   9.9e-48  158.8   0.0   1.2   1   0   0   1   1   1   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Haplotig000024F_008.ver1.0.g114060.t01 -          Pkinase              PF00069.31   7.1e-48  159.3   0.0     1e-47  158.7   0.0   1.2   1   0   0   1   1   1   1 | TM
VITVvi_vCabSauv08_v1.1_Primary000024F.ver1.0.g371210.t01      -          Pkinase              PF00069.31   7.3e-48  159.2   0.0   1.1e-47  158.7   0.0   1.2   1   0   0   1   1   1   1 | TM
VITVvi_vCabSauv08_v1.1_Haplotig000024F_008.ver1.0.g114060.t03 -          Pkinase              PF00069.31   7.4e-48  159.2   0.0   1.1e-47  158.7   0.0   1.2   1   0   0   1   1   1   1 | TM
VITVvi_vCabSauv08_v1.1_Primary000396F.ver1.0.g604700.t01      -          Pkinase              PF00069.31   8.3e-48  159.0   0.0   1.4e-47  158.3   0.0   1.3   1   0   0   1   1   1   1 | TM
VITVvi_vCabSauv08_v1.1_Primary000123F.ver1.0.g513550.t01      -          Pkinase              PF00069.31   8.8e-48  159.0   0.0   1.2e-47  158.5   0.0   1.2   1   0   0   1   1   1   1 | TM
VITVvi_vCabSauv08_v1.1_Primary000022F.ver1.0.g364060.t01      -          Pkinase              PF00069.31   8.8e-48  159.0   0.0   1.4e-47  158.3   0.0   1.3   1   0   0   1   1   1   1 | TM
VITVvi_vCabSauv08_v1.1_Primary000024F.ver1.0.g371420.t01      -          Pkinase              PF00069.31   8.9e-48  158.9   0.0   1.3e-47  158.4   0.0   1.2   1   0   0   1   1   1   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000107F.ver1.0.g498370.t01      -          Pkinase              PF00069.31   1.1e-47  158.6   0.1   1.6e-47  158.1   0.1   1.2   1   0   0   1   1   1   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Haplotig000025F_005.ver1.0.g118030.t01 -          Pkinase              PF00069.31   1.3e-47  158.5   0.0     2e-47  157.8   0.0   1.3   1   0   0   1   1   1   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Haplotig000125F_007.ver1.0.g219810.t01 -          Pkinase              PF00069.31   1.3e-47  158.4   0.0     2e-47  157.8   0.0   1.2   1   0   0   1   1   1   1 | TM
VITVvi_vCabSauv08_v1.1_Primary000025F.ver1.0.g373950.t01      -          Pkinase              PF00069.31   1.3e-47  158.4   0.0   2.1e-47  157.8   0.0   1.2   1   0   0   1   1   1   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Haplotig000022F_016.ver1.0.g109660.t01 -          Pkinase              PF00069.31   1.4e-47  158.3   0.0   1.9e-47  157.9   0.0   1.2   1   0   0   1   1   1   1 | TM
VITVvi_vCabSauv08_v1.1_Haplotig000055F_030.ver1.0.g166810.t01 -          Pkinase              PF00069.31   1.4e-47  158.3   0.0   2.1e-47  157.7   0.0   1.2   1   0   0   1   1   1   1 | SP+TM
