Protein.Key	LRR.Repeat.Number
VITVvi_vCabSauv08_v1.1_Haplotig000153F_001.ver1.0.g232640.t01___TM	12
VITVvi_vCabSauv08_v1.1_Primary000019F.ver1.0.g352910.t01___SP_TM	12
VITVvi_vCabSauv08_v1.1_Primary000026F.ver1.0.g379190.t01___SP_TM	12
VITVvi_vCabSauv08_v1.1_Primary000052F.ver1.0.g428420.t01___TM	12
VITVvi_vCabSauv08_v1.1_Primary000153F.ver1.0.g537100.t01___TM	12
VITVvi_vCabSauv08_v1.1_Haplotig000044F_005.ver1.0.g151670.t01___TM	13
VITVvi_vCabSauv08_v1.1_Haplotig000084F_001.ver1.0.g188110.t01___SP_TM	13
VITVvi_vCabSauv08_v1.1_Haplotig000084F_001.ver1.0.g188110.t02___SP_TM	13
VITVvi_vCabSauv08_v1.1_Haplotig000153F_001.ver1.0.g232640.t02___SP_TM	13
VITVvi_vCabSauv08_v1.1_Primary000084F.ver1.0.g468390.t01___SP_TM	13
VITVvi_vCabSauv08_v1.1_Primary000153F.ver1.0.g537100.t02___SP_TM	13
VITVvi_vCabSauv08_v1.1_Primary000163F.ver1.0.g543490.t01___TM	13
VITVvi_vCabSauv08_v1.1_Primary000163F.ver1.0.g543490.t02___TM	13
VITVvi_vCabSauv08_v1.1_Haplotig000052F_010.ver1.0.g161060.t01___TM	15
VITVvi_vCabSauv08_v1.1_Primary000002F.ver1.0.g281350.t01___SP_TM	15
VITVvi_vCabSauv08_v1.1_Primary000037F.ver1.0.g403360.t01___TM	18
VITVvi_vCabSauv08_v1.1_Haplotig000067F_012.ver1.0.g178830.t01___SP_TM	20
VITVvi_vCabSauv08_v1.1_Primary000025F.ver1.0.g373870.t01___SP_TM	20
VITVvi_vCabSauv08_v1.1_Primary000103F.ver1.0.g492740.t01___TM	20
VITVvi_vCabSauv08_v1.1_Haplotig000001F_030.ver1.0.g014790.t01___SP_TM	21
VITVvi_vCabSauv08_v1.1_Haplotig000005F_054.ver1.0.g059880.t01___SP_TM	21
VITVvi_vCabSauv08_v1.1_Primary000044F.ver1.0.g416570.t01___SP_TM	21
VITVvi_vCabSauv08_v1.1_Primary000067F.ver1.0.g450010.t01___SP_TM	21
VITVvi_vCabSauv08_v1.1_Haplotig000001F_030.ver1.0.g014780.t01___SP_TM	22
VITVvi_vCabSauv08_v1.1_Haplotig000001F_030.ver1.0.g014780.t02___SP_TM	22
VITVvi_vCabSauv08_v1.1_Haplotig000005F_054.ver1.0.g059890.t01___TM	22
VITVvi_vCabSauv08_v1.1_Haplotig000005F_054.ver1.0.g059920.t01___SP_TM	22
VITVvi_vCabSauv08_v1.1_Haplotig000052F_017.ver1.0.g161620.t01___SP_TM	22
VITVvi_vCabSauv08_v1.1_Haplotig000130F_007.ver1.0.g224180.t01___SP_TM	22
VITVvi_vCabSauv08_v1.1_Primary000003F.ver1.0.g287800.t02___SP_TM	22
VITVvi_vCabSauv08_v1.1_Primary000005F.ver1.0.g302190.t01___SP_TM	22
VITVvi_vCabSauv08_v1.1_Primary000044F.ver1.0.g416780.t01___TM	22
VITVvi_vCabSauv08_v1.1_Primary000067F.ver1.0.g450030.t01___SP_TM	22
VITVvi_vCabSauv08_v1.1_Primary000078F.ver1.0.g459710.t01___SP_TM	22
VITVvi_vCabSauv08_v1.1_Primary000107F.ver1.0.g497860.t01___SP_TM	22
VITVvi_vCabSauv08_v1.1_Primary000130F.ver1.0.g521070.t01___SP_TM	22
VITVvi_vCabSauv08_v1.1_Haplotig000044F_005.ver1.0.g151690.t01___TM	23
VITVvi_vCabSauv08_v1.1_Haplotig000052F_017.ver1.0.g161640.t01___SP_TM	23
VITVvi_vCabSauv08_v1.1_Primary000009F.ver1.0.g319970.t01___SP_TM	23
VITVvi_vCabSauv08_v1.1_Primary000018F.ver1.0.g351410.t02___SP_TM	23
VITVvi_vCabSauv08_v1.1_Primary000044F.ver1.0.g416790.t01___SP_TM	23
VITVvi_vCabSauv08_v1.1_Primary000052F.ver1.0.g428570.t01___SP_TM	23
VITVvi_vCabSauv08_v1.1_Haplotig000003F_039.ver1.0.g040450.t01___SP_TM	24
VITVvi_vCabSauv08_v1.1_Haplotig000003F_039.ver1.0.g040450.t02___SP_TM	24
VITVvi_vCabSauv08_v1.1_Haplotig000018F_038.ver1.0.g099770.t01___SP_TM	24
VITVvi_vCabSauv08_v1.1_Haplotig000018F_038.ver1.0.g099770.t02___SP_TM	24
VITVvi_vCabSauv08_v1.1_Haplotig000044F_015.ver1.0.g152700.t01___SP_TM	24
VITVvi_vCabSauv08_v1.1_Haplotig000065F_003.ver1.0.g175540.t01___SP_TM	24
VITVvi_vCabSauv08_v1.1_Haplotig000065F_003.ver1.0.g175540.t02___SP_TM	24
VITVvi_vCabSauv08_v1.1_Haplotig000107F_010.ver1.0.g208720.t01___SP_TM	24
VITVvi_vCabSauv08_v1.1_Primary000009F.ver1.0.g319920.t01___SP_TM	24
VITVvi_vCabSauv08_v1.1_Primary000018F.ver1.0.g351460.t01___TM	24
VITVvi_vCabSauv08_v1.1_Primary000065F.ver1.0.g446300.t02___SP_TM	24
VITVvi_vCabSauv08_v1.1_Haplotig000018F_013.ver1.0.g096470.t01___SP_TM	25
VITVvi_vCabSauv08_v1.1_Haplotig000028F_020.ver1.0.g125390.t01___SP_TM	25
VITVvi_vCabSauv08_v1.1_Primary000003F.ver1.0.g287800.t01___SP_TM	25
VITVvi_vCabSauv08_v1.1_Primary000018F.ver1.0.g351410.t01___SP_TM	25
VITVvi_vCabSauv08_v1.1_Primary000018F.ver1.0.g351460.t02___SP_TM	25
VITVvi_vCabSauv08_v1.1_Haplotig000052F_004.ver1.0.g160930.t01___TM	26
VITVvi_vCabSauv08_v1.1_Primary000065F.ver1.0.g446300.t01___SP_TM	26
VITVvi_vCabSauv08_v1.1_Primary000009F.ver1.0.g320120.t01___SP_TM	27
VITVvi_vCabSauv08_v1.1_Primary000037F.ver1.0.g403350.t01___TM	27
VITVvi_vCabSauv08_v1.1_Primary000144F.ver1.0.g530000.t01___SP_TM	27
VITVvi_vCabSauv08_v1.1_Primary000051F.ver1.0.g425980.t01___TM	28
VITVvi_vCabSauv08_v1.1_Primary000051F.ver1.0.g426170.t01___TM	28
VITVvi_vCabSauv08_v1.1_Primary000133F.ver1.0.g522520.t01___SP_TM	28
VITVvi_vCabSauv08_v1.1_Primary000475F.ver1.0.g612460.t01___SP_TM	28
VITVvi_vCabSauv08_v1.1_Haplotig000051F_016.ver1.0.g160440.t01___TM	29
VITVvi_vCabSauv08_v1.1_Haplotig000051F_007.ver1.0.g159730.t01___TM	30
VITVvi_vCabSauv08_v1.1_Haplotig000107F_010.ver1.0.g208810.t01___TM	30
VITVvi_vCabSauv08_v1.1_Primary000051F.ver1.0.g425970.t01___TM	30
VITVvi_vCabSauv08_v1.1_Primary000051F.ver1.0.g426110.t01___SP_TM	30
VITVvi_vCabSauv08_v1.1_Haplotig000051F_007.ver1.0.g159710.t01___TM	31
VITVvi_vCabSauv08_v1.1_Haplotig000107F_010.ver1.0.g208880.t01___SP_TM	31
VITVvi_vCabSauv08_v1.1_Primary000051F.ver1.0.g426070.t01___SP_TM	31
VITVvi_vCabSauv08_v1.1_Haplotig000051F_016.ver1.0.g160340.t01___SP_TM	32
VITVvi_vCabSauv08_v1.1_Haplotig000051F_016.ver1.0.g160380.t01___SP_TM	32
VITVvi_vCabSauv08_v1.1_Primary000051F.ver1.0.g426040.t01___TM	32
VITVvi_vCabSauv08_v1.1_Haplotig000044F_005.ver1.0.g151570.t01___TM	33
VITVvi_vCabSauv08_v1.1_Haplotig000107F_010.ver1.0.g208870.t01___SP_TM	33
VITVvi_vCabSauv08_v1.1_Primary000037F.ver1.0.g403320.t01___TM	33
VITVvi_vCabSauv08_v1.1_Primary000107F.ver1.0.g497910.t01___TM	33
VITVvi_vCabSauv08_v1.1_Haplotig000107F_010.ver1.0.g208780.t01___TM	35
VITVvi_vCabSauv08_v1.1_Primary000051F.ver1.0.g426180.t01___TM	38
VITVvi_vCabSauv08_v1.1_Primary000051F.ver1.0.g425940.t01___SP_TM	39
VITVvi_vCabSauv08_v1.1_Primary000107F.ver1.0.g497870.t01___SP_TM	43
VITVvi_vCabSauv08_v1.1_Haplotig000018F_013.ver1.0.g096360.t01___SP_TM	46
VITVvi_vCabSauv08_v1.1_Haplotig000018F_013.ver1.0.g096500.t01___TM	62
VITVvi_vCabSauv08_v1.1_Primary000052F.ver1.0.g428390.t01___TM	68
