#                                                                                             --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name                                      accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#                              ------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
VITVvi_vZin03_v1.1_P151.ver1.0.g270680.p01         -          LRRNT_2              PF08263.17   1.4e-17   62.7   9.4   3.1e-10   39.2   1.0   3.0   2   0   0   2   2   2   2 | SP+TM
VITVvi_vZin03_v1.1_P40.ver1.0.g411680.p01          -          LRRNT_2              PF08263.17   1.3e-13   50.1   0.5     4e-13   48.4   0.5   2.0   1   0   0   1   1   1   1 | SP+TM
VITVvi_vZin03_v1.1_H000232F_006.ver1.0.g175810.p01 -          LRRNT_2              PF08263.17   1.4e-13   50.0   0.1   5.7e-13   48.0   0.1   2.2   1   0   0   1   1   1   1 | SP+TM
VITVvi_vZin03_v1.1_P188.ver1.0.g302390.p01         -          LRRNT_2              PF08263.17   1.4e-13   50.0   0.1   5.7e-13   48.0   0.1   2.2   1   0   0   1   1   1   1 | SP+TM
VITVvi_vZin03_v1.1_P572.ver1.0.g463500.p01         -          LRRNT_2              PF08263.17   1.4e-13   49.9   0.5   4.8e-13   48.2   0.5   2.0   1   0   0   1   1   1   1 | SP+TM
VITVvi_vZin03_v1.1_H000196F_003.ver1.0.g166120.p01 -          LRRNT_2              PF08263.17   1.5e-13   49.8   0.5   4.2e-13   48.4   0.5   1.8   1   0   0   1   1   1   1 | SP
VITVvi_vZin03_v1.1_P286.ver1.0.g360560.p01         -          LRRNT_2              PF08263.17   1.6e-13   49.7   1.5   3.4e-13   48.7   0.7   2.1   2   0   0   2   2   1   1 | SP
VITVvi_vZin03_v1.1_P572.ver1.0.g463520.p01         -          LRRNT_2              PF08263.17   1.7e-13   49.6   0.3   5.7e-13   48.0   0.3   2.0   1   0   0   1   1   1   1 | SP+TM
VITVvi_vZin03_v1.1_P273.ver1.0.g354240.p01         -          LRRNT_2              PF08263.17   1.8e-13   49.6   0.2   5.5e-13   48.0   0.2   2.0   1   0   0   1   1   1   1 | SP+TM
VITVvi_vZin03_v1.1_H000152F_005.ver1.0.g151210.p01 -          LRRNT_2              PF08263.17   1.8e-13   49.6   5.3   1.8e-13   49.6   5.3   2.0   2   0   0   2   2   1   1 | SP
VITVvi_vZin03_v1.1_P123.ver1.0.g239750.p01         -          LRRNT_2              PF08263.17     2e-13   49.4   0.6     5e-13   48.1   0.6   1.7   1   0   0   1   1   1   1 | SP
VITVvi_vZin03_v1.1_P366.ver1.0.g392730.p01         -          LRRNT_2              PF08263.17   2.4e-13   49.1   0.2   5.6e-13   48.0   0.2   1.7   1   0   0   1   1   1   1 | SP
VITVvi_vZin03_v1.1_P71.ver1.0.g491620.p01          -          LRRNT_2              PF08263.17   2.7e-13   49.0   0.5   2.7e-13   49.0   0.5   2.4   2   0   0   2   2   1   1 | SP+TM
VITVvi_vZin03_v1.1_P423.ver1.0.g421190.p01         -          LRRNT_2              PF08263.17   2.7e-13   49.0   0.1   1.3e-12   46.8   0.1   2.3   1   0   0   1   1   1   1 | SP+TM
VITVvi_vZin03_v1.1_P645.ver1.0.g480640.p01         -          LRRNT_2              PF08263.17   2.9e-13   48.9   1.0   9.3e-13   47.3   1.0   1.9   1   0   0   1   1   1   1 | SP+TM
VITVvi_vZin03_v1.1_P193.ver1.0.g306890.p01         -          LRRNT_2              PF08263.17   3.2e-13   48.7   1.7   8.5e-13   47.4   1.7   1.8   1   0   0   1   1   1   1 | SP
VITVvi_vZin03_v1.1_P88.ver1.0.g518720.p01          -          LRRNT_2              PF08263.17   3.3e-13   48.7   1.7   8.5e-13   47.4   1.7   1.8   1   0   0   1   1   1   1 | SP
VITVvi_vZin03_v1.1_P123.ver1.0.g239770.p01         -          LRRNT_2              PF08263.17   3.4e-13   48.7   0.6   1.2e-12   46.9   0.6   2.1   1   0   0   1   1   1   1 | SP+TM
VITVvi_vZin03_v1.1_H000182F_002.ver1.0.g162460.p01 -          LRRNT_2              PF08263.17   3.5e-13   48.6   1.2     8e-13   47.5   1.2   1.7   1   0   0   1   1   1   1 | SP
VITVvi_vZin03_v1.1_P368.ver1.0.g393040.p01         -          LRRNT_2              PF08263.17   3.6e-13   48.6   0.3   3.6e-13   48.6   0.3   2.9   2   0   0   2   2   1   1 | SP+TM
VITVvi_vZin03_v1.1_P40.ver1.0.g411700.p01          -          LRRNT_2              PF08263.17   3.6e-13   48.6   0.3   3.6e-13   48.6   0.3   3.0   2   0   0   2   2   1   1 | SP+TM
VITVvi_vZin03_v1.1_H000816F_002.ver1.0.g198590.p01 -          LRRNT_2              PF08263.17   3.9e-13   48.5   0.4   3.9e-13   48.5   0.4   2.4   3   0   0   3   3   1   1 | SP+TM
VITVvi_vZin03_v1.1_P87.ver1.0.g516360.p01          -          LRRNT_2              PF08263.17   4.1e-13   48.4   0.1   1.4e-12   46.7   0.1   2.0   1   0   0   1   1   1   1 | SP+TM
VITVvi_vZin03_v1.1_P139.ver1.0.g252290.p01         -          LRRNT_2              PF08263.17   4.1e-13   48.4   0.7   1.1e-12   47.0   0.7   1.8   1   0   0   1   1   1   1 | SP+TM
VITVvi_vZin03_v1.1_P151.ver1.0.g270660.p01         -          LRRNT_2              PF08263.17   4.3e-13   48.4   0.6   9.5e-13   47.2   0.6   1.6   1   0   0   1   1   1   1 | SP+TM
VITVvi_vZin03_v1.1_P138.ver1.0.g251680.p01         -          LRRNT_2              PF08263.17   4.3e-13   48.3   0.1   1.3e-12   46.8   0.1   1.9   1   0   0   1   1   1   1 | SP
VITVvi_vZin03_v1.1_H000104F_007.ver1.0.g129840.p01 -          LRRNT_2              PF08263.17   4.3e-13   48.3   0.2   1.1e-12   47.0   0.2   1.8   1   0   0   1   1   1   1 | SP+TM
VITVvi_vZin03_v1.1_P88.ver1.0.g518490.p01          -          LRRNT_2              PF08263.17   4.4e-13   48.3   0.2   1.1e-12   47.0   0.2   1.8   1   0   0   1   1   1   1 | SP+TM
VITVvi_vZin03_v1.1_P53.ver1.0.g456580.p01          -          LRRNT_2              PF08263.17   4.4e-13   48.3   0.2   1.6e-12   46.5   0.2   2.1   1   0   0   1   1   1   1 | SP+TM
VITVvi_vZin03_v1.1_H000152F_005.ver1.0.g151200.p01 -          LRRNT_2              PF08263.17   4.6e-13   48.3   2.1   4.6e-13   48.3   2.1   2.2   3   0   0   3   3   1   1 | SP
VITVvi_vZin03_v1.1_P138.ver1.0.g251660.p01         -          LRRNT_2              PF08263.17   4.7e-13   48.2   0.1   1.2e-12   47.0   0.1   1.7   1   0   0   1   1   1   1 | SP
VITVvi_vZin03_v1.1_P71.ver1.0.g491670.p01          -          LRRNT_2              PF08263.17   4.8e-13   48.2   0.3   1.3e-12   46.8   0.3   1.8   1   0   0   1   1   1   1 | SP+TM
VITVvi_vZin03_v1.1_H000286F_002.ver1.0.g184270.p01 -          LRRNT_2              PF08263.17     5e-13   48.1   4.1     5e-13   48.1   4.1   2.3   2   0   0   2   2   1   1 | SP+TM
VITVvi_vZin03_v1.1_H000182F_002.ver1.0.g162360.p01 -          LRRNT_2              PF08263.17   5.3e-13   48.1   1.0   1.3e-12   46.8   1.0   1.8   1   0   0   1   1   1   1 | SP+TM
VITVvi_vZin03_v1.1_P273.ver1.0.g354110.p01         -          LRRNT_2              PF08263.17   5.3e-13   48.1   0.3   1.4e-12   46.7   0.3   1.8   1   0   0   1   1   1   1 | SP+TM
VITVvi_vZin03_v1.1_P273.ver1.0.g354220.p01         -          LRRNT_2              PF08263.17   5.3e-13   48.0   0.3   5.3e-13   48.0   0.3   2.4   2   0   0   2   2   1   1 | SP
VITVvi_vZin03_v1.1_P22.ver1.0.g327600.p01          -          LRRNT_2              PF08263.17   5.7e-13   47.9   0.2   2.2e-12   46.1   0.2   2.2   1   0   0   1   1   1   1 | SP+TM
VITVvi_vZin03_v1.1_H000019F_012.ver1.0.g053940.p01 -          LRRNT_2              PF08263.17   5.8e-13   47.9   0.2   2.2e-12   46.1   0.2   2.2   1   0   0   1   1   1   1 | SP+TM
VITVvi_vZin03_v1.1_P188.ver1.0.g302650.p01         -          LRRNT_2              PF08263.17   5.8e-13   47.9  12.7   5.7e-07   28.7   3.6   2.9   2   0   0   2   2   2   2 | SP+TM
VITVvi_vZin03_v1.1_H000182F_002.ver1.0.g162420.p01 -          LRRNT_2              PF08263.17   5.9e-13   47.9   1.0   1.4e-12   46.7   1.0   1.7   1   0   0   1   1   1   1 | SP+TM
VITVvi_vZin03_v1.1_P165.ver1.0.g284160.p01         -          LRRNT_2              PF08263.17   5.9e-13   47.9   1.3   1.3e-12   46.8   1.3   1.7   1   0   0   1   1   1   1 | SP
VITVvi_vZin03_v1.1_H000232F_006.ver1.0.g176080.p01 -          LRRNT_2              PF08263.17   5.9e-13   47.9  12.7   5.7e-07   28.7   3.6   2.9   2   0   0   2   2   2   2 | SP+TM
VITVvi_vZin03_v1.1_P138.ver1.0.g251760.p01         -          LRRNT_2              PF08263.17     6e-13   47.9   0.1   1.6e-12   46.6   0.1   1.8   1   0   0   1   1   1   1 | SP
VITVvi_vZin03_v1.1_P171.ver1.0.g289350.p01         -          LRRNT_2              PF08263.17   6.5e-13   47.8   0.1   1.7e-12   46.4   0.1   1.8   1   0   0   1   1   1   1 | SP
VITVvi_vZin03_v1.1_H000020F_010.ver1.0.g054480.p01 -          LRRNT_2              PF08263.17   6.9e-13   47.7   1.4   2.3e-12   46.0   1.4   2.0   1   0   0   1   1   1   1 | SP
VITVvi_vZin03_v1.1_P138.ver1.0.g251800.p01         -          LRRNT_2              PF08263.17   7.1e-13   47.7   0.1   2.1e-12   46.2   0.1   1.9   1   0   0   1   1   1   1 | SP+TM
VITVvi_vZin03_v1.1_P182.ver1.0.g297940.p01         -          LRRNT_2              PF08263.17   7.7e-13   47.5   2.9   1.3e-12   46.8   2.9   1.4   1   0   0   1   1   1   1 | SP+TM
VITVvi_vZin03_v1.1_P138.ver1.0.g251740.p01         -          LRRNT_2              PF08263.17     8e-13   47.5   0.1   2.2e-12   46.1   0.1   1.9   1   0   0   1   1   1   1 | SP+TM
VITVvi_vZin03_v1.1_P273.ver1.0.g354180.p01         -          LRRNT_2              PF08263.17     8e-13   47.5   0.3   2.5e-12   45.9   0.3   2.0   1   0   0   1   1   1   1 | SP+TM
VITVvi_vZin03_v1.1_P40.ver1.0.g411720.p01          -          LRRNT_2              PF08263.17   8.2e-13   47.5   0.4   2.4e-12   46.0   0.4   1.9   1   0   0   1   1   1   1 | SP
VITVvi_vZin03_v1.1_H000183F_003.ver1.0.g162960.p01 -          LRRNT_2              PF08263.17   9.4e-13   47.3   0.4   2.4e-12   45.9   0.4   1.8   1   0   0   1   1   1   1 | SP+TM
VITVvi_vZin03_v1.1_H000000F_011.ver1.0.g000350.p01 -          LRRNT_2              PF08263.17   9.8e-13   47.2   0.2   2.1e-12   46.2   0.2   1.6   1   0   0   1   1   1   1 | SP
VITVvi_vZin03_v1.1_H000000F_019.ver1.0.g001680.p01 -          LRRNT_2              PF08263.17   9.8e-13   47.2   0.2   2.1e-12   46.2   0.2   1.6   1   0   0   1   1   1   1 | SP
VITVvi_vZin03_v1.1_H000182F_002.ver1.0.g162340.p01 -          LRRNT_2              PF08263.17     1e-12   47.2   0.8   3.4e-12   45.5   0.8   2.0   1   0   0   1   1   1   1 | SP
VITVvi_vZin03_v1.1_H000286F_001.ver1.0.g184240.p01 -          LRRNT_2              PF08263.17     1e-12   47.1   3.5   2.1e-12   46.2   3.5   1.5   1   0   0   1   1   1   1 | SP
VITVvi_vZin03_v1.1_H000183F_001.ver1.0.g162640.p01 -          LRRNT_2              PF08263.17   1.1e-12   47.0   0.7   2.9e-12   45.7   0.7   1.8   1   0   0   1   1   1   1 | SP+TM
VITVvi_vZin03_v1.1_P22.ver1.0.g327880.p01          -          LRRNT_2              PF08263.17   1.1e-12   47.0   0.1   1.1e-12   47.0   0.1   2.3   2   0   0   2   2   1   1 | SP
VITVvi_vZin03_v1.1_P74.ver1.0.g495780.p01          -          LRRNT_2              PF08263.17   1.1e-12   47.0   0.2   5.4e-12   44.8   0.2   2.3   1   0   0   1   1   1   1 | SP+TM
VITVvi_vZin03_v1.1_P400.ver1.0.g412340.p01         -          LRRNT_2              PF08263.17   1.2e-12   47.0   0.6   2.5e-12   45.9   0.1   1.9   2   0   0   2   2   1   1 | SP
VITVvi_vZin03_v1.1_P291.ver1.0.g362520.p01         -          LRRNT_2              PF08263.17   1.2e-12   46.9   0.3   1.2e-12   46.9   0.3   1.9   2   0   0   2   2   1   1 | SP
VITVvi_vZin03_v1.1_P22.ver1.0.g327730.p01          -          LRRNT_2              PF08263.17   1.3e-12   46.8   0.2   4.1e-12   45.2   0.2   2.0   1   0   0   1   1   1   1 | SP
VITVvi_vZin03_v1.1_H000152F_005.ver1.0.g151320.p01 -          LRRNT_2              PF08263.17   1.4e-12   46.7   1.3   1.4e-12   46.7   1.3   1.8   2   0   0   2   2   1   1 | SP
VITVvi_vZin03_v1.1_P128.ver1.0.g242160.p01         -          LRRNT_2              PF08263.17   1.4e-12   46.7   1.3   1.4e-12   46.7   1.3   1.8   2   0   0   2   2   1   1 | SP
VITVvi_vZin03_v1.1_P551.ver1.0.g461030.p01         -          LRRNT_2              PF08263.17   1.5e-12   46.6   0.4   1.5e-12   46.6   0.4   2.6   3   0   0   3   3   1   1 | SP
VITVvi_vZin03_v1.1_P151.ver1.0.g270760.p01         -          LRRNT_2              PF08263.17   1.6e-12   46.5   1.0   5.7e-12   44.8   1.0   2.1   1   0   0   1   1   1   1 | SP
VITVvi_vZin03_v1.1_P87.ver1.0.g517330.p01          -          LRRNT_2              PF08263.17   1.6e-12   46.5   0.4   1.6e-12   46.5   0.4   1.9   2   0   0   2   2   1   1 | SP
VITVvi_vZin03_v1.1_P18.ver1.0.g295150.p01          -          LRRNT_2              PF08263.17   1.7e-12   46.4   1.3     6e-12   44.7   1.3   2.0   1   0   0   1   1   1   1 | SP
VITVvi_vZin03_v1.1_H000233F_004.ver1.0.g176400.p01 -          LRRNT_2              PF08263.17   1.8e-12   46.4   1.0   1.8e-12   46.4   1.0   2.5   2   0   0   2   2   1   1 | SP+TM
VITVvi_vZin03_v1.1_P184.ver1.0.g298920.p01         -          LRRNT_2              PF08263.17   1.8e-12   46.4   1.0   1.8e-12   46.4   1.0   2.5   2   0   0   2   2   1   1 | SP+TM
VITVvi_vZin03_v1.1_P240.ver1.0.g338600.p01         -          LRRNT_2              PF08263.17   1.8e-12   46.4   0.9   8.8e-12   44.1   0.9   2.3   1   0   0   1   1   1   1 | SP+TM
VITVvi_vZin03_v1.1_P53.ver1.0.g456620.p01          -          LRRNT_2              PF08263.17   1.9e-12   46.3   1.3     5e-12   44.9   1.3   1.8   1   0   0   1   1   1   1 | SP+TM
VITVvi_vZin03_v1.1_P171.ver1.0.g289370.p01         -          LRRNT_2              PF08263.17   1.9e-12   46.3   0.1   3.9e-12   45.3   0.1   1.6   1   0   0   1   1   1   1 | SP
VITVvi_vZin03_v1.1_H000019F_008.ver1.0.g052710.p01 -          LRRNT_2              PF08263.17   2.1e-12   46.2   0.3   6.2e-12   44.6   0.3   1.9   1   0   0   1   1   1   1 | SP+TM
VITVvi_vZin03_v1.1_P240.ver1.0.g338620.p01         -          LRRNT_2              PF08263.17   2.2e-12   46.0   1.3   2.2e-12   46.0   1.3   2.8   2   0   0   2   2   1   1 | SP+TM
VITVvi_vZin03_v1.1_P135.ver1.0.g250040.p01         -          LRRNT_2              PF08263.17   2.5e-12   45.9   2.5   6.8e-12   44.5   2.5   1.8   1   0   0   1   1   1   1 | SP+TM
VITVvi_vZin03_v1.1_P240.ver1.0.g338670.p01         -          LRRNT_2              PF08263.17   2.6e-12   45.8   0.1   1.1e-11   43.8   0.1   2.2   1   0   0   1   1   1   1 | SP
VITVvi_vZin03_v1.1_P479.ver1.0.g436690.p01         -          LRRNT_2              PF08263.17     3e-12   45.6   1.6   7.1e-12   44.5   1.6   1.6   1   0   0   1   1   1   1 | SP
VITVvi_vZin03_v1.1_P108.ver1.0.g218000.p01         -          LRRNT_2              PF08263.17   3.1e-12   45.6   0.4   1.4e-11   43.5   0.4   2.3   1   0   0   1   1   1   1 | SP+TM
VITVvi_vZin03_v1.1_P127.ver1.0.g241810.p01         -          LRRNT_2              PF08263.17   3.1e-12   45.6   0.1   1.1e-11   43.8   0.1   2.1   1   0   0   1   1   1   1 | SP+TM
VITVvi_vZin03_v1.1_P157.ver1.0.g276070.p01         -          LRRNT_2              PF08263.17   3.2e-12   45.6   2.9   7.8e-12   44.3   2.9   1.7   1   0   0   1   1   1   1 | SP+TM
VITVvi_vZin03_v1.1_P645.ver1.0.g480630.p01         -          LRRNT_2              PF08263.17   3.4e-12   45.5   2.9   3.4e-12   45.5   2.9   1.9   2   0   0   2   2   1   1 | SP+TM
VITVvi_vZin03_v1.1_P71.ver1.0.g491860.p01          -          LRRNT_2              PF08263.17   3.4e-12   45.5   3.6   8.3e-12   44.2   3.6   1.7   1   0   0   1   1   1   1 | SP+TM
VITVvi_vZin03_v1.1_H000164F_003.ver1.0.g155770.p01 -          LRRNT_2              PF08263.17   3.4e-12   45.5   2.5   9.7e-12   44.0   2.5   1.9   1   0   0   1   1   1   1 | SP+TM
VITVvi_vZin03_v1.1_P368.ver1.0.g393020.p01         -          LRRNT_2              PF08263.17   4.5e-12   45.1   0.5   4.5e-12   45.1   0.5   2.1   2   0   0   2   2   1   1 | SP
VITVvi_vZin03_v1.1_P240.ver1.0.g338580.p01         -          LRRNT_2              PF08263.17     5e-12   44.9   0.2   1.6e-11   43.3   0.2   2.0   1   0   0   1   1   1   1 | TM
VITVvi_vZin03_v1.1_H000019F_012.ver1.0.g053780.p01 -          LRRNT_2              PF08263.17     5e-12   44.9   0.9   2.5e-11   42.7   0.0   2.8   2   0   0   2   2   1   1 | SP+TM
VITVvi_vZin03_v1.1_P22.ver1.0.g327470.p01          -          LRRNT_2              PF08263.17   5.1e-12   44.9   0.9   2.5e-11   42.7   0.0   2.8   2   0   0   2   2   1   1 | SP+TM
VITVvi_vZin03_v1.1_H000006F_006.ver1.0.g024690.p01 -          LRRNT_2              PF08263.17   5.2e-12   44.9   2.9   5.2e-12   44.9   2.9   2.3   2   0   0   2   2   1   1 | SP
VITVvi_vZin03_v1.1_P7.ver1.0.g490490.p01           -          LRRNT_2              PF08263.17   5.2e-12   44.9   2.9   5.2e-12   44.9   2.9   2.3   2   0   0   2   2   1   1 | SP
VITVvi_vZin03_v1.1_P53.ver1.0.g456570.p01          -          LRRNT_2              PF08263.17   5.3e-12   44.9   2.1   1.3e-11   43.6   0.5   2.5   2   0   0   2   2   1   1 | SP+TM
VITVvi_vZin03_v1.1_P22.ver1.0.g327520.p01          -          LRRNT_2              PF08263.17   5.4e-12   44.8   2.2   8.7e-12   44.2   0.1   2.5   2   0   0   2   2   1   1 | SP
VITVvi_vZin03_v1.1_H000001F_017.ver1.0.g003350.p01 -          LRRNT_2              PF08263.17   5.4e-12   44.8   1.1   1.1e-11   43.8   1.1   1.6   1   0   0   1   1   1   1 | SP
VITVvi_vZin03_v1.1_P53.ver1.0.g456720.p01          -          LRRNT_2              PF08263.17   5.5e-12   44.8   1.3   5.5e-12   44.8   1.3   2.5   2   0   0   2   2   1   1 | SP+TM
VITVvi_vZin03_v1.1_H000052F_011.ver1.0.g091920.p01 -          LRRNT_2              PF08263.17   5.7e-12   44.8   0.5   1.7e-11   43.2   0.5   1.9   1   0   0   1   1   1   1 | SP+TM
VITVvi_vZin03_v1.1_P368.ver1.0.g393000.p01         -          LRRNT_2              PF08263.17   5.8e-12   44.7   1.3   5.8e-12   44.7   1.3   2.4   2   0   0   2   2   1   1 | SP+TM
