#                                                                                             --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name                                      accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#                              ------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
VITVvi_vZin03_v1.1_P127.ver1.0.g241740.p01         -          LRR_4                PF12799.13   8.6e-78  253.7 194.6     4e-06   25.9   3.2  28.5  15   7  13  32  32  29  21 | TM
VITVvi_vZin03_v1.1_P152.ver1.0.g270980.p01         -          LRR_4                PF12799.13   6.6e-44  146.0  73.8   1.2e-06   27.6   0.6  13.4   9   3   4  14  14  13  11 | TM
VITVvi_vZin03_v1.1_H000010F_003.ver1.0.g034000.p01 -          LRR_4                PF12799.13   7.7e-44  145.8  96.4   1.9e-05   23.8   0.1  14.9   8   4   6  16  16  14  13 | SP+TM
VITVvi_vZin03_v1.1_H000086F_006.ver1.0.g120420.p01 -          LRR_4                PF12799.13   1.7e-43  144.7 120.6   1.3e-05   24.4   3.6  15.8   9   3   3  16  16  14  13 | SP+TM
VITVvi_vZin03_v1.1_P12.ver1.0.g233190.p01          -          LRR_4                PF12799.13     2e-43  144.4  96.0   2.1e-05   23.7   0.1  14.9   8   4   6  16  16  14  13 | SP+TM
VITVvi_vZin03_v1.1_P440.ver1.0.g426480.p01         -          LRR_4                PF12799.13   4.1e-43  143.5 112.1   6.6e-06   25.3   3.5  16.7  10   5   9  20  20  18  16 | TM
VITVvi_vZin03_v1.1_P25.ver1.0.g342180.p01          -          LRR_4                PF12799.13   5.1e-43  143.2 101.9   1.6e-05   24.1   2.3  17.3   7   5   8  18  18  17  14 | SP+TM
VITVvi_vZin03_v1.1_P128.ver1.0.g241870.p01         -          LRR_4                PF12799.13   5.4e-43  143.1 151.2   1.2e-05   24.5   0.9  18.1   9   4   8  19  19  18  15 | SP+TM
VITVvi_vZin03_v1.1_H000084F_004.ver1.0.g118310.p01 -          LRR_4                PF12799.13   1.6e-42  141.6  81.1   3.3e-06   26.2   4.4  14.0   7   3  12  19  19  15  13 | SP
VITVvi_vZin03_v1.1_P3.ver1.0.g364510.p01           -          LRR_4                PF12799.13   2.1e-42  141.2  73.9   1.6e-06   27.2   0.8  12.9   8   3   7  15  15  14  12 | SP+TM
VITVvi_vZin03_v1.1_P110.ver1.0.g224780.p01         -          LRR_4                PF12799.13   3.3e-42  140.6  67.1   1.8e-06   27.0   2.1  14.3   8   3   6  16  16  13  11 | SP+TM
VITVvi_vZin03_v1.1_H000412F_001.ver1.0.g192250.p01 -          LRR_4                PF12799.13   5.8e-42  139.8 123.4   1.8e-05   23.9   0.2  17.2  10   3   9  20  20  19  16 | SP+TM
VITVvi_vZin03_v1.1_P312.ver1.0.g376040.p01         -          LRR_4                PF12799.13   6.4e-42  139.7 123.2   1.8e-05   23.9   0.2  17.3  10   3   9  20  20  19  16 | SP+TM
VITVvi_vZin03_v1.1_H000125F_002.ver1.0.g138310.p01 -          LRR_4                PF12799.13   6.9e-42  139.6  67.8   3.5e-06   26.1   3.0  14.3   8   3   6  16  16  13  11 | SP+TM
VITVvi_vZin03_v1.1_P120.ver1.0.g237100.p01         -          LRR_4                PF12799.13     8e-42  139.4 157.4   9.7e-06   24.7   2.1  18.1  10   4   9  20  20  18  13 | SP+TM
VITVvi_vZin03_v1.1_P27.ver1.0.g352250.p01          -          LRR_4                PF12799.13   1.1e-41  138.9 109.1   2.4e-05   23.5   0.7  17.4  12   3   4  18  18  12  10 | SP+TM
VITVvi_vZin03_v1.1_P259.ver1.0.g346100.p01         -          LRR_4                PF12799.13   1.4e-41  138.6  85.8   9.9e-07   27.9   2.3  15.4   8   5   6  16  16  14  13 | SP+TM
VITVvi_vZin03_v1.1_H000286F_002.ver1.0.g184330.p01 -          LRR_4                PF12799.13   1.5e-41  138.5  63.4   0.00014   21.1   0.2  12.7  10   1   3  13  13  13  11 | SP+TM
VITVvi_vZin03_v1.1_P171.ver1.0.g289360.p01         -          LRR_4                PF12799.13   1.8e-41  138.3  80.3   7.6e-07   28.2   2.4  12.4   7   3   8  15  15  14  11 | TM
VITVvi_vZin03_v1.1_H000001F_033.ver1.0.g006390.p01 -          LRR_4                PF12799.13   2.3e-41  137.9  71.7   0.00013   21.2   1.4  12.4   6   2   6  14  14  14  12 | SP
VITVvi_vZin03_v1.1_P104.ver1.0.g215590.p01         -          LRR_4                PF12799.13   2.9e-41  137.6  79.2   5.6e-07   28.7   2.3  13.6   6   4  10  17  17  15  14 | TM
VITVvi_vZin03_v1.1_P398.ver1.0.g403080.p01         -          LRR_4                PF12799.13     3e-41  137.5  94.2   1.3e-06   27.5   0.6  16.0  10   3   3  16  16  14  11 | SP+TM
VITVvi_vZin03_v1.1_P5.ver1.0.g445190.p01           -          LRR_4                PF12799.13   4.6e-41  137.0 122.2   8.7e-05   21.7   0.1  17.1   9   2  12  23  23  21  16 | SP+TM
VITVvi_vZin03_v1.1_P22.ver1.0.g327470.p01          -          LRR_4                PF12799.13   4.7e-41  136.9  98.5   1.9e-05   23.8   0.2  15.4  11   1   8  19  19  17  14 | SP+TM
VITVvi_vZin03_v1.1_P120.ver1.0.g237110.p01         -          LRR_4                PF12799.13   4.9e-41  136.9 131.0   1.1e-06   27.7   2.2  16.6   7   4  12  21  21  18  14 | TM
VITVvi_vZin03_v1.1_P224.ver1.0.g329700.p01         -          LRR_4                PF12799.13   5.8e-41  136.6  62.6   0.00014   21.1   0.2  12.6  10   1   3  13  13  13  11 | SP+TM
VITVvi_vZin03_v1.1_P272.ver1.0.g353690.p01         -          LRR_4                PF12799.13   7.6e-41  136.3 106.2   2.1e-06   26.8   2.4  18.0  13   3   7  20  20  17  13 | SP+TM
VITVvi_vZin03_v1.1_P259.ver1.0.g346060.p01         -          LRR_4                PF12799.13   1.8e-40  135.1 107.5   8.6e-06   24.9   3.7  16.3   6   4  10  20  20  17  13 | SP+TM
VITVvi_vZin03_v1.1_P572.ver1.0.g463470.p01         -          LRR_4                PF12799.13   1.9e-40  135.0  81.3   3.3e-06   26.2   2.2  16.1   9   4   7  17  17  12   9 | SP+TM
VITVvi_vZin03_v1.1_P138.ver1.0.g251760.p01         -          LRR_4                PF12799.13   2.3e-40  134.7  76.2   3.2e-06   26.3   2.1  14.7   4   2   7  16  16  16  11 | SP
VITVvi_vZin03_v1.1_H000464F_001.ver1.0.g194300.p01 -          LRR_4                PF12799.13   3.3e-40  134.2 104.8   6.4e-06   25.3   3.7  15.7   3   3  16  21  21  19  17 | TM
VITVvi_vZin03_v1.1_P266.ver1.0.g350340.p01         -          LRR_4                PF12799.13   5.2e-40  133.6  75.1   0.00011   21.4   2.4  15.1   8   3   6  17  17  16  11 | SP+TM
VITVvi_vZin03_v1.1_P254.ver1.0.g345130.p01         -          LRR_4                PF12799.13   5.7e-40  133.5  86.0   1.5e-05   24.1   0.6  12.9   7   3   4  14  14  13  12 | SP+TM
VITVvi_vZin03_v1.1_P22.ver1.0.g325350.p01          -          LRR_4                PF12799.13   5.7e-40  133.5  78.9   3.5e-06   26.1   1.7  14.9  10   3   4  15  15  13   9 | SP+TM
VITVvi_vZin03_v1.1_P440.ver1.0.g426490.p01         -          LRR_4                PF12799.13   6.4e-40  133.3  79.9   1.6e-06   27.2   0.2  12.5   4   4   6  14  14  13  11 | TM
VITVvi_vZin03_v1.1_H000019F_012.ver1.0.g053780.p01 -          LRR_4                PF12799.13   8.1e-40  133.0  98.7   1.9e-05   23.8   0.2  15.0  11   1   7  18  18  16  14 | SP+TM
VITVvi_vZin03_v1.1_P19.ver1.0.g303860.p01          -          LRR_4                PF12799.13   8.1e-40  133.0 109.6   1.4e-05   24.2   5.2  14.2   7   4   8  16  16  16  14 | TM
VITVvi_vZin03_v1.1_P3.ver1.0.g364520.p01           -          LRR_4                PF12799.13   8.6e-40  132.9  86.5   1.5e-05   24.1   0.6  12.9   7   3   4  14  14  13  12 | SP+TM
VITVvi_vZin03_v1.1_P68.ver1.0.g485320.p01          -          LRR_4                PF12799.13     1e-39  132.7  48.7   5.1e-08   32.0   2.3   8.3   7   1   1   8   8   8   7 | SP
VITVvi_vZin03_v1.1_H000019F_008.ver1.0.g052080.p01 -          LRR_4                PF12799.13   1.2e-39  132.5  80.5   3.5e-06   26.1   1.7  15.0   9   3   8  17  17  15  10 | SP+TM
VITVvi_vZin03_v1.1_P677.ver1.0.g484610.p01         -          LRR_4                PF12799.13   2.1e-39  131.7  76.4   3.9e-06   26.0   1.4  12.3   5   3   7  14  14  12  12 | TM
VITVvi_vZin03_v1.1_H000027F_017.ver1.0.g064940.p01 -          LRR_4                PF12799.13   2.9e-39  131.3 108.1   3.6e-06   26.1   3.7  17.0   6   5  13  22  22  20  13 | SP+TM
VITVvi_vZin03_v1.1_P25.ver1.0.g342170.p01          -          LRR_4                PF12799.13   2.9e-39  131.3 108.1   3.6e-06   26.1   3.7  17.0   6   5  13  22  22  20  13 | SP+TM
VITVvi_vZin03_v1.1_P507.ver1.0.g448150.p01         -          LRR_4                PF12799.13   3.9e-39  130.8  74.3     0.001   18.3   1.7  15.2   8   3   6  17  17  16  11 | SP+TM
VITVvi_vZin03_v1.1_P22.ver1.0.g327730.p01          -          LRR_4                PF12799.13   4.2e-39  130.7  73.3   2.4e-05   23.5   0.0  13.6   9   3   5  14  14  12   8 | SP
VITVvi_vZin03_v1.1_H000237F_004.ver1.0.g177750.p01 -          LRR_4                PF12799.13   4.8e-39  130.5  82.1   0.00028   20.1   3.0  14.1   5   4  12  18  18  18  16 | TM
VITVvi_vZin03_v1.1_P339.ver1.0.g384130.p01         -          LRR_4                PF12799.13   4.8e-39  130.5  75.9   6.5e-05   22.1   0.0  13.3   7   5   3  13  13  13   9 | TM
VITVvi_vZin03_v1.1_H000079F_014.ver1.0.g113870.p01 -          LRR_4                PF12799.13   5.5e-39  130.4  58.5   1.6e-09   36.7   0.9  10.6   8   2   3  12  12   9   9 | SP+TM
VITVvi_vZin03_v1.1_P157.ver1.0.g276070.p01         -          LRR_4                PF12799.13   1.1e-38  129.4  84.8   4.7e-05   22.6   2.3  13.8   8   3   5  15  15  13  11 | SP+TM
VITVvi_vZin03_v1.1_P80.ver1.0.g503590.p01          -          LRR_4                PF12799.13   1.3e-38  129.2  82.6   0.00028   20.1   3.0  14.1   5   4  12  18  18  18  16 | TM
VITVvi_vZin03_v1.1_P87.ver1.0.g516360.p01          -          LRR_4                PF12799.13   1.4e-38  129.1 101.9   0.00056   19.1   0.2  18.4  11   5   6  20  20  15  11 | SP+TM
VITVvi_vZin03_v1.1_P87.ver1.0.g516400.p01          -          LRR_4                PF12799.13   3.1e-38  128.0  76.9   0.00024   20.3   0.6  14.5  10   2   5  16  16  15  11 | SP+TM
VITVvi_vZin03_v1.1_P2.ver1.0.g312350.p01           -          LRR_4                PF12799.13   3.6e-38  127.8  73.0   0.00022   20.4   1.5  12.8   7   2   5  14  14  13  11 | SP+TM
VITVvi_vZin03_v1.1_H000164F_003.ver1.0.g155800.p01 -          LRR_4                PF12799.13     4e-38  127.6 104.6   2.2e-06   26.8   0.8  17.3  12   5   7  20  20  13  10 | SP+TM
VITVvi_vZin03_v1.1_H000084F_004.ver1.0.g118300.p01 -          LRR_4                PF12799.13   5.4e-38  127.2  86.8   3.3e-07   29.4   4.9  12.1   9   2   2  12  12  10   9 | SP+TM
VITVvi_vZin03_v1.1_P73.ver1.0.g495410.p01          -          LRR_4                PF12799.13   6.8e-38  126.9 208.2   3.1e-05   23.1   0.2  21.4   9   3  10  24  24  22  18 | SP+TM
VITVvi_vZin03_v1.1_P138.ver1.0.g251660.p01         -          LRR_4                PF12799.13   7.2e-38  126.8  59.7   3.2e-05   23.1   0.0  13.3   3   2  12  17  17  16  11 | SP
VITVvi_vZin03_v1.1_P279.ver1.0.g355830.p01         -          LRR_4                PF12799.13   7.6e-38  126.7  93.9   3.5e-05   23.0   1.5  12.5   9   2   6  15  15  13  11 | SP+TM
VITVvi_vZin03_v1.1_P138.ver1.0.g251720.p01         -          LRR_4                PF12799.13   9.1e-38  126.5  72.3   3.4e-06   26.2   0.1  11.8   5   3   4  12  12  11   9 | TM
VITVvi_vZin03_v1.1_P272.ver1.0.g353670.p01         -          LRR_4                PF12799.13   9.3e-38  126.5 114.3   1.3e-05   24.3   4.1  18.5  10   4  12  23  23  21  13 | SP+TM
VITVvi_vZin03_v1.1_H000086F_006.ver1.0.g120450.p01 -          LRR_4                PF12799.13   1.5e-37  125.8 208.4   3.1e-05   23.1   0.2  21.8   9   3  11  25  25  23  21 | SP+TM
VITVvi_vZin03_v1.1_H001436F_001.ver1.0.g200220.p01 -          LRR_4                PF12799.13   1.9e-37  125.5  97.2   3.4e-05   23.0   1.7  16.7  13   3   3  18  18  14  11 | SP
VITVvi_vZin03_v1.1_P1.ver1.0.g200800.p01           -          LRR_4                PF12799.13   2.8e-37  124.9  88.0   3.3e-07   29.4   4.9  12.1   9   2   2  12  12  10   9 | SP+TM
VITVvi_vZin03_v1.1_P53.ver1.0.g452840.p01          -          LRR_4                PF12799.13   2.9e-37  124.9  83.9   1.2e-05   24.5   1.6  12.8   5   2   7  14  14  13  10 | SP+TM
VITVvi_vZin03_v1.1_P272.ver1.0.g353700.p01         -          LRR_4                PF12799.13     3e-37  124.9 113.1   4.9e-06   25.7   2.8  17.7  13   4   3  18  18  16  11 | SP+TM
VITVvi_vZin03_v1.1_P124.ver1.0.g240660.p01         -          LRR_4                PF12799.13   3.6e-37  124.6  88.5     7e-05   22.0   0.3  15.5   7   5  12  20  20  20  15 | SP+TM
VITVvi_vZin03_v1.1_H000027F_017.ver1.0.g064950.p01 -          LRR_4                PF12799.13   3.9e-37  124.5 106.9   2.2e-05   23.6   3.6  17.1   7   4  12  21  21  19  13 | SP+TM
VITVvi_vZin03_v1.1_H000089F_008.ver1.0.g121660.p01 -          LRR_4                PF12799.13   5.6e-37  124.0  56.7   2.4e-07   29.8   0.6   8.4   8   0   0   8   8   7   6 | SP
VITVvi_vZin03_v1.1_P301.ver1.0.g371810.p01         -          LRR_4                PF12799.13   5.7e-37  124.0  81.0    0.0004   19.6   0.2  14.5   8   2   3  15  15  14  11 | SP+TM
VITVvi_vZin03_v1.1_P279.ver1.0.g355790.p01         -          LRR_4                PF12799.13   6.3e-37  123.8 146.6   5.1e-06   25.6   2.3  17.0   6   3  13  21  21  21  16 | SP+TM
VITVvi_vZin03_v1.1_P15.ver1.0.g265280.p01          -          LRR_4                PF12799.13   6.8e-37  123.7  82.7   8.3e-05   21.8   2.8  14.0   7   2   5  14  14  12   9 | SP+TM
VITVvi_vZin03_v1.1_P112.ver1.0.g225350.p01         -          LRR_4                PF12799.13   8.2e-37  123.5  51.6   7.1e-08   31.5   1.4   9.1   4   2   5  10  10   9   8 | SP+TM
VITVvi_vZin03_v1.1_P368.ver1.0.g393040.p01         -          LRR_4                PF12799.13   1.4e-36  122.7 114.9   6.6e-05   22.1   1.1  17.4  11   4   6  19  19  12  11 | SP+TM
VITVvi_vZin03_v1.1_P135.ver1.0.g250090.p01         -          LRR_4                PF12799.13   1.6e-36  122.6 111.7   4.2e-06   25.9   0.4  17.6   9   5  10  21  21  15  11 | SP+TM
VITVvi_vZin03_v1.1_P140.ver1.0.g257830.p01         -          LRR_4                PF12799.13   1.6e-36  122.5 102.1   7.6e-06   25.1   2.2  16.3  10   5   5  17  17  15  12 | SP
VITVvi_vZin03_v1.1_P259.ver1.0.g346070.p01         -          LRR_4                PF12799.13   3.7e-36  121.4  97.0     1e-06   27.9   1.2  15.3   8   4   7  17  17  16  13 | SP+TM
VITVvi_vZin03_v1.1_P440.ver1.0.g426510.p01         -          LRR_4                PF12799.13   4.6e-36  121.1  58.9   2.9e-05   23.2   1.9  11.2   8   2   2  11  11  11   7 | SP
VITVvi_vZin03_v1.1_P53.ver1.0.g456560.p01          -          LRR_4                PF12799.13   4.7e-36  121.0  85.6   3.3e-06   26.2   2.2  15.7   7   4   6  17  17  10   8 | SP+TM
VITVvi_vZin03_v1.1_P3.ver1.0.g364440.p01           -          LRR_4                PF12799.13   5.2e-36  120.9  47.8   1.4e-05   24.2   0.7   9.5   8   2   1   9   9   8   7 | TM
