#                                                                                             --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name                                      accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#                              ------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
VITVvi_vZin03_v1.1_P22.ver1.0.g327520.p01          -          LRR_6                PF13516.12   6.1e-22   75.0  64.0      0.11   11.7   0.1  18.7  16   3   3  19  19  10   3 | SP
VITVvi_vZin03_v1.1_P261.ver1.0.g348000.p01         -          LRR_6                PF13516.12   9.5e-09   33.7   8.3     0.073   12.2   0.1   7.9   9   0   0   9   9   3   1 | TM
VITVvi_vZin03_v1.1_P85.ver1.0.g510490.p01          -          LRR_6                PF13516.12   1.1e-08   33.6  57.0     0.072   12.3   0.0  16.9  18   0   0  18  18   3   1 | SP
VITVvi_vZin03_v1.1_P272.ver1.0.g353530.p01         -          LRR_6                PF13516.12   1.4e-08   33.2  61.3       1.3    8.4   0.0  17.4  20   0   0  20  20   6   0 | SP
VITVvi_vZin03_v1.1_P677.ver1.0.g484610.p01         -          LRR_6                PF13516.12   1.5e-08   33.1  55.9     0.032   13.4   0.1  14.5  15   0   0  15  15   5   2 | TM
VITVvi_vZin03_v1.1_P104.ver1.0.g215550.p01         -          LRR_6                PF13516.12   1.7e-08   32.9 100.5      0.15   11.3   0.1  23.7  26   0   0  26  26   9   2 | SP+TM
VITVvi_vZin03_v1.1_P511.ver1.0.g449700.p01         -          LRR_6                PF13516.12   2.3e-08   32.6  47.3       1.2    8.5   0.0  15.0  16   0   0  16  16   5   0 | TM
VITVvi_vZin03_v1.1_H000139F_004.ver1.0.g144600.p01 -          LRR_6                PF13516.12   2.5e-08   32.5  21.3      0.23   10.7   0.1   8.4   8   0   0   8   8   4   1 | SP
VITVvi_vZin03_v1.1_P114.ver1.0.g228770.p01         -          LRR_6                PF13516.12   2.5e-08   32.4  90.5     0.056   12.6   0.1  21.1  23   0   0  23  23   9   1 | SP
VITVvi_vZin03_v1.1_H000164F_003.ver1.0.g155770.p01 -          LRR_6                PF13516.12   2.8e-08   32.3  54.6       2.9    7.2   0.1  16.9  18   0   0  18  18   5   0 | SP+TM
VITVvi_vZin03_v1.1_P61.ver1.0.g474720.p01          -          LRR_6                PF13516.12   2.8e-08   32.3  31.0      0.22   10.7   0.2   9.9  10   0   0  10  10   4   2 | TM
VITVvi_vZin03_v1.1_P74.ver1.0.g495780.p01          -          LRR_6                PF13516.12   2.9e-08   32.2  91.3       5.6    6.3   0.1  26.3  30   0   0  30  30   5   0 | SP+TM
VITVvi_vZin03_v1.1_P240.ver1.0.g338700.p01         -          LRR_6                PF13516.12   3.1e-08   32.1 103.3       1.4    8.2   0.3  24.5  28   0   0  28  28  10   0 | TM
VITVvi_vZin03_v1.1_P572.ver1.0.g463500.p01         -          LRR_6                PF13516.12   3.4e-08   32.0  86.7     0.035   13.2   0.0  19.5  22   0   0  22  22   8   3 | SP+TM
VITVvi_vZin03_v1.1_H000089F_008.ver1.0.g121660.p01 -          LRR_6                PF13516.12   3.6e-08   32.0  66.2      0.19   11.0   0.4  14.2  14   0   0  14  14   6   1 | SP
VITVvi_vZin03_v1.1_P272.ver1.0.g353570.p01         -          LRR_6                PF13516.12   3.6e-08   31.9  70.4      0.23   10.7   0.2  21.7  24   0   0  24  24   2   1 | SP+TM
VITVvi_vZin03_v1.1_P193.ver1.0.g306890.p01         -          LRR_6                PF13516.12   3.6e-08   31.9  12.3     0.027   13.6   0.0   6.8   7   1   0   7   7   2   2 | SP
VITVvi_vZin03_v1.1_P114.ver1.0.g228830.p01         -          LRR_6                PF13516.12     4e-08   31.8 101.5       0.7    9.2   0.1  23.4  26   0   0  26  26   7   0 | SP+TM
VITVvi_vZin03_v1.1_P40.ver1.0.g411700.p01          -          LRR_6                PF13516.12     4e-08   31.8  87.5      0.69    9.2   0.5  22.0  24   0   0  24  24   5   0 | SP+TM
VITVvi_vZin03_v1.1_P88.ver1.0.g518720.p01          -          LRR_6                PF13516.12   4.2e-08   31.7  11.5     0.027   13.6   0.0   6.7   7   1   0   7   7   2   2 | SP
VITVvi_vZin03_v1.1_P368.ver1.0.g393040.p01         -          LRR_6                PF13516.12   4.5e-08   31.6  85.5       1.2    8.4   0.1  21.9  24   0   0  24  24   6   0 | SP+TM
VITVvi_vZin03_v1.1_H000233F_004.ver1.0.g176400.p01 -          LRR_6                PF13516.12   5.4e-08   31.4  45.5       1.1    8.6   0.3  14.4  16   0   0  16  16   5   0 | SP+TM
VITVvi_vZin03_v1.1_P123.ver1.0.g239750.p01         -          LRR_6                PF13516.12   5.6e-08   31.3  13.7       0.8    9.0   0.1   7.6   7   0   0   7   7   3   0 | SP
VITVvi_vZin03_v1.1_P184.ver1.0.g298920.p01         -          LRR_6                PF13516.12     6e-08   31.2  45.5       1.1    8.6   0.3  14.3  16   0   0  16  16   5   0 | SP+TM
VITVvi_vZin03_v1.1_P40.ver1.0.g411680.p01          -          LRR_6                PF13516.12   6.4e-08   31.2  81.6      0.12   11.6   0.0  19.5  22   0   0  22  22   8   2 | SP+TM
VITVvi_vZin03_v1.1_P67.ver1.0.g484190.p01          -          LRR_6                PF13516.12     7e-08   31.0  23.9      0.18   11.0   0.6   9.8  10   0   0  10  10   3   1 | TM
VITVvi_vZin03_v1.1_P171.ver1.0.g289360.p01         -          LRR_6                PF13516.12   7.4e-08   31.0  65.1         2    7.7   0.2  17.7  19   0   0  19  19   6   0 | TM
VITVvi_vZin03_v1.1_P240.ver1.0.g338710.p01         -          LRR_6                PF13516.12   7.5e-08   30.9  66.5      0.35   10.1   0.0  16.2  18   0   0  18  18   7   1 | TM
VITVvi_vZin03_v1.1_P27.ver1.0.g352250.p01          -          LRR_6                PF13516.12   8.6e-08   30.8  85.9       1.3    8.3   0.1  22.6  25   0   0  25  25   5   0 | SP+TM
VITVvi_vZin03_v1.1_P125.ver1.0.g241040.p01         -          LRR_6                PF13516.12   8.6e-08   30.8  57.2      0.75    9.1   0.3  15.1  16   0   0  16  16   7   0 | SP+TM
VITVvi_vZin03_v1.1_P286.ver1.0.g360560.p01         -          LRR_6                PF13516.12   8.8e-08   30.7  45.2      0.48    9.7   0.0  12.8  13   0   0  13  13   5   1 | SP
VITVvi_vZin03_v1.1_H000182F_002.ver1.0.g162400.p01 -          LRR_6                PF13516.12   9.6e-08   30.6  56.5      0.27   10.4   0.0  16.9  21   0   0  21  21   4   1 | SP+TM
VITVvi_vZin03_v1.1_P272.ver1.0.g353690.p01         -          LRR_6                PF13516.12   1.1e-07   30.5  88.9      0.26   10.5   0.2  25.2  28   0   0  28  28   2   1 | SP+TM
VITVvi_vZin03_v1.1_P40.ver1.0.g410640.p01          -          LRR_6                PF13516.12   1.3e-07   30.2  39.5      0.57    9.4   0.2  12.2  12   0   0  12  12   5   1 | SP+TM
VITVvi_vZin03_v1.1_P298.ver1.0.g364000.p01         -          LRR_6                PF13516.12   1.4e-07   30.1  36.1         1    8.6   0.5  12.2  13   0   0  13  13   6   0 | SP+TM
VITVvi_vZin03_v1.1_P87.ver1.0.g517330.p01          -          LRR_6                PF13516.12   1.7e-07   29.9   7.5       2.3    7.5   0.3   6.0   5   0   0   5   5   2   0 | SP
VITVvi_vZin03_v1.1_P152.ver1.0.g271120.p01         -          LRR_6                PF13516.12   2.1e-07   29.6  68.7      0.44    9.8   0.0  17.6  19   0   0  19  19   5   1 | SP+TM
VITVvi_vZin03_v1.1_H000164F_003.ver1.0.g155800.p01 -          LRR_6                PF13516.12   2.2e-07   29.5  66.4      0.76    9.1   0.0  19.3  21   0   0  21  21   5   0 | SP+TM
VITVvi_vZin03_v1.1_P240.ver1.0.g338730.p01         -          LRR_6                PF13516.12   2.2e-07   29.5  42.2       2.8    7.3   0.2  11.8  12   0   0  12  12   5   0 | TM
VITVvi_vZin03_v1.1_H000000F_011.ver1.0.g000350.p01 -          LRR_6                PF13516.12   2.3e-07   29.4  17.4      0.04   13.1   0.2   8.0   8   0   0   8   8   2   1 | SP
VITVvi_vZin03_v1.1_H000000F_019.ver1.0.g001680.p01 -          LRR_6                PF13516.12   2.3e-07   29.4  17.4      0.04   13.1   0.2   8.0   8   0   0   8   8   2   1 | SP
VITVvi_vZin03_v1.1_P61.ver1.0.g474820.p01          -          LRR_6                PF13516.12   2.4e-07   29.4  55.5      0.22   10.7   0.1  13.2  15   0   0  15  15   5   2 | TM
VITVvi_vZin03_v1.1_P76.ver1.0.g497510.p01          -          LRR_6                PF13516.12   2.4e-07   29.4  56.5      0.14   11.4   0.4  12.3  12   0   0  12  12   6   1 | SP
VITVvi_vZin03_v1.1_H000043F_003.ver1.0.g079770.p01 -          LRR_6                PF13516.12   2.5e-07   29.3  39.5      0.61    9.4   0.2  12.1  12   0   0  12  12   5   1 | SP+TM
VITVvi_vZin03_v1.1_H000481F_001.ver1.0.g194610.p01 -          LRR_6                PF13516.12   2.7e-07   29.2  73.7       1.4    8.2   0.4  20.0  22   0   0  22  22   5   0 | TM
VITVvi_vZin03_v1.1_P237.ver1.0.g336770.p01         -          LRR_6                PF13516.12   2.8e-07   29.1  20.8      0.09   12.0   0.2   7.8   8   0   0   8   8   4   1 | SP
VITVvi_vZin03_v1.1_P365.ver1.0.g392600.p01         -          LRR_6                PF13516.12     3e-07   29.1  22.0     0.069   12.3   0.0   7.7   7   0   0   7   7   2   1 | SP+TM
VITVvi_vZin03_v1.1_H000086F_006.ver1.0.g120370.p01 -          LRR_6                PF13516.12   3.1e-07   29.0  35.6       0.4    9.9   0.7   8.9   9   0   0   9   9   6   1 | TM
VITVvi_vZin03_v1.1_P279.ver1.0.g355740.p01         -          LRR_6                PF13516.12   3.1e-07   29.0  21.4      0.28   10.4   0.2   8.0   8   0   0   8   8   4   1 | TM
VITVvi_vZin03_v1.1_P273.ver1.0.g354220.p01         -          LRR_6                PF13516.12   3.3e-07   28.9  74.1    0.0011   17.9   0.1  17.1  22   0   0  22  22   5   4 | SP
VITVvi_vZin03_v1.1_H000024F_012.ver1.0.g059030.p01 -          LRR_6                PF13516.12   3.4e-07   28.9  14.5       0.2   10.9   0.1   8.6   9   0   0   9   9   2   1 | SP
VITVvi_vZin03_v1.1_H000013F_002.ver1.0.g040860.p01 -          LRR_6                PF13516.12   3.4e-07   28.9   5.6     0.018   14.2   0.3   3.9   3   0   0   3   3   2   2 | TM
VITVvi_vZin03_v1.1_P272.ver1.0.g353490.p01         -          LRR_6                PF13516.12   4.1e-07   28.6  88.2       1.9    7.8   0.0  23.2  28   0   0  28  28   3   0 | SP+TM
VITVvi_vZin03_v1.1_P127.ver1.0.g241810.p01         -          LRR_6                PF13516.12   4.1e-07   28.6  91.5       1.3    8.4   0.4  23.6  27   0   0  27  27   5   0 | SP+TM
VITVvi_vZin03_v1.1_H000196F_003.ver1.0.g166120.p01 -          LRR_6                PF13516.12   4.2e-07   28.6  16.5      0.39   10.0   0.1   7.9   8   0   0   8   8   3   1 | SP
VITVvi_vZin03_v1.1_H000122F_003.ver1.0.g137770.p01 -          LRR_6                PF13516.12   4.5e-07   28.5  63.9      0.75    9.1   0.3  15.7  17   0   0  17  17   8   0 | SP+TM
VITVvi_vZin03_v1.1_P272.ver1.0.g353680.p01         -          LRR_6                PF13516.12   4.5e-07   28.5  95.3      0.32   10.2   0.1  23.2  26   0   0  26  26   6   1 | SP
VITVvi_vZin03_v1.1_P165.ver1.0.g284160.p01         -          LRR_6                PF13516.12   4.8e-07   28.4  21.3     0.036   13.2   0.0   7.4   8   0   0   8   8   3   1 | SP
