#                                                                                             --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name                                      accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#                              ------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
VITVvi_vZin03_v1.1_P127.ver1.0.g241740.p01         -          LRR_8                PF13855.12  7.5e-104  338.5 199.0     4e-09   35.1   5.0  26.2  18   8   7  26  26  25  21 | TM
VITVvi_vZin03_v1.1_H000155F_004.ver1.0.g153220.p01 -          LRR_8                PF13855.12     1e-55  184.4 116.6   2.9e-07   29.2   6.8  15.7   8   4   6  16  16  15  14 | SP+TM
VITVvi_vZin03_v1.1_P27.ver1.0.g351500.p01          -          LRR_8                PF13855.12     1e-55  184.4 116.6   2.9e-07   29.2   6.8  15.7   8   4   6  16  16  15  14 | SP+TM
VITVvi_vZin03_v1.1_H000019F_012.ver1.0.g053780.p01 -          LRR_8                PF13855.12   6.4e-55  181.8 104.5   5.5e-09   34.7   6.9  13.9   7   4   8  15  15  15  13 | SP+TM
VITVvi_vZin03_v1.1_P110.ver1.0.g224780.p01         -          LRR_8                PF13855.12   7.7e-55  181.6  80.3   9.5e-08   30.7   4.3  11.6   5   3   7  13  13  13  12 | SP+TM
VITVvi_vZin03_v1.1_P22.ver1.0.g327470.p01          -          LRR_8                PF13855.12   1.6e-54  180.5 106.4   5.5e-09   34.7   6.9  14.1   7   4   9  16  16  16  13 | SP+TM
VITVvi_vZin03_v1.1_H000125F_002.ver1.0.g138310.p01 -          LRR_8                PF13855.12   2.5e-54  179.9  82.3   9.5e-08   30.7   4.3  11.6   5   3   7  13  13  13  11 | SP+TM
VITVvi_vZin03_v1.1_P22.ver1.0.g327520.p01          -          LRR_8                PF13855.12   5.4e-54  178.8  70.6   4.2e-09   35.1   7.7   9.6   5   2   3  10  10  10   9 | SP
VITVvi_vZin03_v1.1_P1.ver1.0.g200830.p01           -          LRR_8                PF13855.12   8.2e-54  178.3  89.2   1.2e-09   36.9   2.6  11.2   7   3   3  11  11  11  11 | SP+TM
VITVvi_vZin03_v1.1_P272.ver1.0.g353690.p01         -          LRR_8                PF13855.12     9e-54  178.1 107.5   8.5e-09   34.1   2.3  16.0  10   5   6  17  17  14  14 | SP+TM
VITVvi_vZin03_v1.1_P117.ver1.0.g230880.p01         -          LRR_8                PF13855.12   1.2e-53  177.8 110.3   5.3e-08   31.6   2.3  15.3   8   4   7  15  15  15  13 | SP+TM
VITVvi_vZin03_v1.1_H000001F_033.ver1.0.g006390.p01 -          LRR_8                PF13855.12   1.3e-53  177.6  72.1   5.7e-12   44.3   4.6  10.2   6   3   4  10  10  10  10 | SP
VITVvi_vZin03_v1.1_H000086F_006.ver1.0.g120420.p01 -          LRR_8                PF13855.12     2e-53  177.0 136.4     6e-07   28.2   7.3  14.4   8   2   8  17  17  16  15 | SP+TM
VITVvi_vZin03_v1.1_P301.ver1.0.g371810.p01         -          LRR_8                PF13855.12   2.2e-53  176.9  93.7   1.8e-10   39.5   7.6  13.6   9   2   2  13  13  12  11 | SP+TM
VITVvi_vZin03_v1.1_P108.ver1.0.g218000.p01         -          LRR_8                PF13855.12   2.7e-53  176.6  92.0   5.2e-08   31.6   3.9  12.4   7   4   6  13  13  13  12 | SP+TM
VITVvi_vZin03_v1.1_P398.ver1.0.g403080.p01         -          LRR_8                PF13855.12   3.3e-53  176.3  92.0   1.1e-07   30.5   0.6  13.2   8   2   5  14  14  14  13 | SP+TM
VITVvi_vZin03_v1.1_P120.ver1.0.g237100.p01         -          LRR_8                PF13855.12     4e-53  176.1 158.9   5.5e-11   41.1   1.8  15.8   9   2   6  17  17  17  13 | SP+TM
VITVvi_vZin03_v1.1_P3.ver1.0.g364460.p01           -          LRR_8                PF13855.12   6.4e-53  175.4  74.5   8.7e-10   37.3   0.0  11.4   4   2   7  12  12  12  12 | SP+TM
VITVvi_vZin03_v1.1_P188.ver1.0.g302390.p01         -          LRR_8                PF13855.12   9.8e-53  174.8  76.6   1.9e-10   39.4   7.4  11.3   6   3   2  10  10   9   9 | SP+TM
VITVvi_vZin03_v1.1_H000232F_006.ver1.0.g175810.p01 -          LRR_8                PF13855.12   9.8e-53  174.8  76.6   1.9e-10   39.4   7.4  11.3   6   3   2  10  10   9   9 | SP+TM
VITVvi_vZin03_v1.1_H000028F_009.ver1.0.g066050.p01 -          LRR_8                PF13855.12   1.7e-52  174.0  49.2   5.7e-11   41.1   2.0   8.6   4   2   7  11  11  11  11 | SP
VITVvi_vZin03_v1.1_H000188F_003.ver1.0.g164510.p01 -          LRR_8                PF13855.12   2.7e-52  173.4  97.0   1.7e-10   39.5   7.6  14.0   8   4   2  13  13  12  10 | TM
VITVvi_vZin03_v1.1_P254.ver1.0.g345130.p01         -          LRR_8                PF13855.12   4.5e-52  172.7  83.6   3.5e-12   44.9   5.9  10.4   4   2   8  12  12  12  12 | SP+TM
VITVvi_vZin03_v1.1_P27.ver1.0.g352250.p01          -          LRR_8                PF13855.12   4.6e-52  172.7 110.0   4.3e-10   38.3   5.5  13.9   5   5   7  14  14  14  11 | SP+TM
VITVvi_vZin03_v1.1_P3.ver1.0.g364520.p01           -          LRR_8                PF13855.12   4.7e-52  172.6  83.6   3.4e-12   45.0   5.9  10.4   4   2   8  12  12  12  12 | SP+TM
VITVvi_vZin03_v1.1_P2.ver1.0.g312350.p01           -          LRR_8                PF13855.12   5.2e-52  172.5  71.0     1e-11   43.5   4.6  10.1   6   2   5  11  11  11  10 | SP+TM
VITVvi_vZin03_v1.1_P3.ver1.0.g364500.p01           -          LRR_8                PF13855.12   5.9e-52  172.3  74.2   4.6e-09   35.0   0.0  10.8   4   2   5  11  11  11  11 | SP+TM
VITVvi_vZin03_v1.1_P138.ver1.0.g251760.p01         -          LRR_8                PF13855.12   1.2e-51  171.3  81.2   3.8e-08   32.0   0.1  12.4   5   3   9  14  14  13  13 | SP
VITVvi_vZin03_v1.1_H000084F_004.ver1.0.g118300.p01 -          LRR_8                PF13855.12   1.4e-51  171.1  89.3   4.1e-09   35.1  10.4  11.1   6   4   5  12  12  12  12 | SP+TM
VITVvi_vZin03_v1.1_P272.ver1.0.g353580.p01         -          LRR_8                PF13855.12   1.6e-51  170.9 111.0   4.4e-08   31.8   1.4  15.2  10   4   5  16  16  13  13 | TM
VITVvi_vZin03_v1.1_P208.ver1.0.g319480.p01         -          LRR_8                PF13855.12   1.9e-51  170.7 142.0   3.6e-09   35.3  10.3  16.4   4   4  14  21  21  20  14 | SP+TM
VITVvi_vZin03_v1.1_P104.ver1.0.g215620.p01         -          LRR_8                PF13855.12     2e-51  170.6 107.4   1.8e-10   39.5   2.5  13.9   4   4  11  17  17  16  15 | SP+TM
VITVvi_vZin03_v1.1_P1.ver1.0.g200800.p01           -          LRR_8                PF13855.12   2.4e-51  170.4  89.2   3.6e-08   32.1   6.9  11.0   6   4   4  11  11  11  11 | SP+TM
VITVvi_vZin03_v1.1_P146.ver1.0.g262330.p01         -          LRR_8                PF13855.12   2.4e-51  170.4 103.1   1.3e-08   33.5   9.1  12.9   3   3  13  18  18  18  17 | SP+TM
VITVvi_vZin03_v1.1_P104.ver1.0.g215550.p01         -          LRR_8                PF13855.12   2.5e-51  170.3 117.2   1.6e-10   39.6   1.8  13.7   8   4   7  15  15  13  13 | SP+TM
VITVvi_vZin03_v1.1_P254.ver1.0.g345140.p01         -          LRR_8                PF13855.12   3.1e-51  170.0  79.0   5.8e-14   50.6   2.2  11.5   3   2   8  12  12  12  12 | SP+TM
VITVvi_vZin03_v1.1_P259.ver1.0.g346070.p01         -          LRR_8                PF13855.12   7.1e-51  168.9  86.4   2.6e-09   35.7   8.3  14.0   9   3   6  15  15  13  10 | SP+TM
VITVvi_vZin03_v1.1_P90.ver1.0.g526480.p01          -          LRR_8                PF13855.12     1e-50  168.3  70.5   4.7e-12   44.5   9.2  10.1   7   4   3  11  11   9   9 | SP
VITVvi_vZin03_v1.1_P254.ver1.0.g345150.p01         -          LRR_8                PF13855.12   1.1e-50  168.3  75.6     3e-09   35.6   0.0  11.6   5   2   5  11  11  11  11 | SP+TM
VITVvi_vZin03_v1.1_P272.ver1.0.g353680.p01         -          LRR_8                PF13855.12   1.1e-50  168.3 113.4   6.5e-09   34.5   3.6  15.2   7   2   7  16  16  14  14 | SP
VITVvi_vZin03_v1.1_P40.ver1.0.g411700.p01          -          LRR_8                PF13855.12   1.2e-50  168.2 106.6   2.5e-10   39.0  10.0  13.2   7   5   6  14  14  13  12 | SP+TM
VITVvi_vZin03_v1.1_P225.ver1.0.g329790.p01         -          LRR_8                PF13855.12   1.8e-50  167.6 118.4   3.3e-08   32.2   1.6  15.0  11   4   2  14  14  13  11 | SP+TM
VITVvi_vZin03_v1.1_H000010F_003.ver1.0.g034000.p01 -          LRR_8                PF13855.12   2.3e-50  167.2  97.2   1.3e-08   33.5   2.4  12.3   6   4   3  12  12  11  11 | SP+TM
VITVvi_vZin03_v1.1_P140.ver1.0.g257830.p01         -          LRR_8                PF13855.12   2.4e-50  167.2  92.6   5.4e-08   31.5   7.4  12.5   8   4   4  12  12  11  11 | SP
VITVvi_vZin03_v1.1_P138.ver1.0.g251800.p01         -          LRR_8                PF13855.12   4.6e-50  166.3 121.7   3.3e-09   35.4   1.6  14.6   4   3  17  21  21  18  16 | SP+TM
VITVvi_vZin03_v1.1_P12.ver1.0.g233190.p01          -          LRR_8                PF13855.12   6.6e-50  165.8  97.1   1.6e-08   33.2   2.5  12.3   6   4   3  12  12  11  11 | SP+TM
VITVvi_vZin03_v1.1_P25.ver1.0.g342250.p01          -          LRR_8                PF13855.12   1.4e-49  164.7 118.2   3.1e-08   32.3   5.5  13.0   7   5   4  13  13  13  11 | SP+TM
VITVvi_vZin03_v1.1_P272.ver1.0.g353490.p01         -          LRR_8                PF13855.12   1.4e-49  164.7 105.5   9.6e-09   33.9   2.8  15.1  10   6   5  16  16  13  12 | SP+TM
VITVvi_vZin03_v1.1_P339.ver1.0.g384130.p01         -          LRR_8                PF13855.12   1.8e-49  164.4  76.0   1.6e-08   33.2   5.7  11.1   4   4   3  10  10  10  10 | TM
VITVvi_vZin03_v1.1_H000027F_017.ver1.0.g065030.p01 -          LRR_8                PF13855.12     2e-49  164.2 120.2   1.4e-08   33.4   5.3  13.2   7   5   6  14  14  14  13 | SP+TM
VITVvi_vZin03_v1.1_P22.ver1.0.g327730.p01          -          LRR_8                PF13855.12   3.2e-49  163.6  81.9   4.7e-08   31.7   7.8  10.7   5   3   4  11  11  10   9 | SP
VITVvi_vZin03_v1.1_H000332F_002.ver1.0.g188040.p01 -          LRR_8                PF13855.12   3.3e-49  163.5  93.3     4e-09   35.1   4.2  13.8   6   3  11  17  17  15  14 | TM
VITVvi_vZin03_v1.1_P114.ver1.0.g228830.p01         -          LRR_8                PF13855.12   3.3e-49  163.5 118.9   3.2e-09   35.5   1.6  14.1   3   3  15  18  18  17  14 | SP+TM
VITVvi_vZin03_v1.1_P120.ver1.0.g237110.p01         -          LRR_8                PF13855.12   3.4e-49  163.5 124.3   2.7e-11   42.1   2.7  13.5   7   3  10  17  17  16  15 | TM
VITVvi_vZin03_v1.1_P73.ver1.0.g495380.p01          -          LRR_8                PF13855.12     5e-49  163.0 153.1   2.2e-06   26.4   6.6  14.4   6   4   3  14  14  12  11 | SP+TM
VITVvi_vZin03_v1.1_P124.ver1.0.g240660.p01         -          LRR_8                PF13855.12   6.8e-49  162.5 103.6   1.4e-10   39.8   4.5  13.7  11   4   3  15  15  12   9 | SP+TM
VITVvi_vZin03_v1.1_H000572F_001.ver1.0.g196630.p01 -          LRR_8                PF13855.12   7.4e-49  162.4  82.8   1.3e-05   23.9   1.9  12.4   7   3   5  12  12  11  10 | SP+TM
VITVvi_vZin03_v1.1_P368.ver1.0.g393040.p01         -          LRR_8                PF13855.12     1e-48  162.0 108.6   2.2e-10   39.2   9.8  13.4   6   6   8  15  15  14  12 | SP+TM
VITVvi_vZin03_v1.1_P19.ver1.0.g303860.p01          -          LRR_8                PF13855.12   1.1e-48  161.9 104.2   8.1e-09   34.2   6.8  12.2   4   4   5  12  12  11  11 | TM
VITVvi_vZin03_v1.1_P25.ver1.0.g342180.p01          -          LRR_8                PF13855.12   1.2e-48  161.8 108.3   4.4e-07   28.6   2.3  14.2   5   2  12  17  17  15  15 | SP+TM
VITVvi_vZin03_v1.1_P138.ver1.0.g251720.p01         -          LRR_8                PF13855.12   1.3e-48  161.6  72.9     4e-08   32.0   2.6  10.7   4   3   7  12  12  12  10 | TM
VITVvi_vZin03_v1.1_P22.ver1.0.g327500.p01          -          LRR_8                PF13855.12   1.4e-48  161.5  91.9     3e-10   38.8   3.1  11.8   7   4   5  12  12  12  12 | TM
VITVvi_vZin03_v1.1_P272.ver1.0.g353700.p01         -          LRR_8                PF13855.12     2e-48  161.0 108.8   8.5e-08   30.9   6.8  15.6  10   5   6  17  17  13  13 | SP+TM
VITVvi_vZin03_v1.1_P240.ver1.0.g338710.p01         -          LRR_8                PF13855.12   2.2e-48  160.9  71.1   2.3e-08   32.7   3.5   9.4   7   2   1   9   9   9   9 | TM
VITVvi_vZin03_v1.1_P279.ver1.0.g355790.p01         -          LRR_8                PF13855.12   5.1e-48  159.7 132.2   1.9e-08   33.0   3.7  14.0   1   1  17  19  19  18  17 | SP+TM
VITVvi_vZin03_v1.1_P272.ver1.0.g353560.p01         -          LRR_8                PF13855.12   5.2e-48  159.7 102.3   5.9e-09   34.6   3.6  14.7   7   3   7  17  17  14  14 | TM
VITVvi_vZin03_v1.1_P259.ver1.0.g346100.p01         -          LRR_8                PF13855.12   5.9e-48  159.5  90.7   1.2e-08   33.7   3.5  12.3   7   5   7  14  14  13  12 | SP+TM
VITVvi_vZin03_v1.1_P272.ver1.0.g353670.p01         -          LRR_8                PF13855.12   5.9e-48  159.5 115.2     1e-08   33.9   2.8  15.4   9   6   5  15  15  13  13 | SP+TM
VITVvi_vZin03_v1.1_P64.ver1.0.g480270.p01          -          LRR_8                PF13855.12   6.3e-48  159.4  82.9   1.2e-09   36.8   2.1  11.2   6   3   6  13  13  11  11 | SP+TM
VITVvi_vZin03_v1.1_P53.ver1.0.g452840.p01          -          LRR_8                PF13855.12   6.5e-48  159.4  72.9   1.6e-07   30.1   2.9  10.0   7   2   2  10  10  10  10 | SP+TM
VITVvi_vZin03_v1.1_H000019F_012.ver1.0.g053940.p01 -          LRR_8                PF13855.12   1.2e-47  158.6 102.3   3.1e-08   32.3   3.9  13.7   8   5   6  15  15  13  11 | SP+TM
VITVvi_vZin03_v1.1_H000027F_017.ver1.0.g064940.p01 -          LRR_8                PF13855.12   1.3e-47  158.5 108.4   3.4e-07   29.0   2.1  13.2   5   2  10  16  16  14  14 | SP+TM
VITVvi_vZin03_v1.1_P25.ver1.0.g342170.p01          -          LRR_8                PF13855.12   1.3e-47  158.5 108.4   3.4e-07   29.0   2.1  13.2   5   2  10  16  16  14  14 | SP+TM
VITVvi_vZin03_v1.1_P273.ver1.0.g354170.p01         -          LRR_8                PF13855.12   1.3e-47  158.4 103.5   8.6e-08   30.9   5.3  14.6   9   4   4  14  14  13   9 | SP+TM
VITVvi_vZin03_v1.1_P22.ver1.0.g327600.p01          -          LRR_8                PF13855.12   1.3e-47  158.4 102.5   3.1e-08   32.3   3.9  13.7   8   5   7  15  15  13  11 | SP+TM
VITVvi_vZin03_v1.1_P89.ver1.0.g519140.p01          -          LRR_8                PF13855.12   1.3e-47  158.4 115.7   1.3e-07   30.3   1.0  16.0   6   4  10  17  17  17  14 | SP+TM
VITVvi_vZin03_v1.1_P152.ver1.0.g270980.p01         -          LRR_8                PF13855.12   1.4e-47  158.3  77.7   6.3e-08   31.3   0.7  11.0   3   3   9  13  13  12  12 | TM
VITVvi_vZin03_v1.1_H000084F_004.ver1.0.g118310.p01 -          LRR_8                PF13855.12   1.5e-47  158.3  80.3   4.2e-07   28.7   1.7  11.9   5   3   8  15  15  15  13 | SP
VITVvi_vZin03_v1.1_P135.ver1.0.g250040.p01         -          LRR_8                PF13855.12   3.9e-47  156.9  57.9   7.5e-08   31.1   9.4  10.1   5   3   6  11  11  11  10 | SP+TM
VITVvi_vZin03_v1.1_H000019F_008.ver1.0.g052080.p01 -          LRR_8                PF13855.12   6.2e-47  156.2  91.3   1.2e-07   30.4   0.0  13.1   7   4   7  14  14  14  11 | SP+TM
VITVvi_vZin03_v1.1_P3.ver1.0.g364510.p01           -          LRR_8                PF13855.12   8.4e-47  155.8  82.7   1.1e-08   33.8   6.9  11.3   4   2   7  12  12  12  12 | SP+TM
VITVvi_vZin03_v1.1_P138.ver1.0.g251660.p01         -          LRR_8                PF13855.12     1e-46  155.6  69.0   3.9e-11   41.6   0.2  10.0   5   3   6  11  11  10   9 | SP
VITVvi_vZin03_v1.1_P22.ver1.0.g325350.p01          -          LRR_8                PF13855.12   1.3e-46  155.2  92.5   1.2e-07   30.4   0.0  13.0   7   4   8  15  15  15  12 | SP+TM
VITVvi_vZin03_v1.1_H000164F_003.ver1.0.g155800.p01 -          LRR_8                PF13855.12   1.9e-46  154.7 121.6   2.4e-08   32.6   4.3  14.2   4   3  11  17  17  16  15 | SP+TM
VITVvi_vZin03_v1.1_P124.ver1.0.g240640.p01         -          LRR_8                PF13855.12   1.9e-46  154.7  93.1   5.5e-11   41.1   1.8  12.4   9   3   2  12  12  12   9 | SP
VITVvi_vZin03_v1.1_P53.ver1.0.g456630.p01          -          LRR_8                PF13855.12     2e-46  154.6 110.8   4.7e-09   34.9   8.7  13.7   8   5   6  14  14  13  12 | SP+TM
VITVvi_vZin03_v1.1_P240.ver1.0.g338610.p01         -          LRR_8                PF13855.12   2.4e-46  154.3  97.4   1.2e-07   30.5   7.3  12.0   7   3   4  12  12  12  11 | TM
VITVvi_vZin03_v1.1_P40.ver1.0.g411810.p01          -          LRR_8                PF13855.12   3.5e-46  153.8 111.1   5.3e-09   34.7   8.6  13.7   8   5   6  14  14  13  12 | SP+TM
VITVvi_vZin03_v1.1_P112.ver1.0.g225350.p01         -          LRR_8                PF13855.12   3.6e-46  153.8  51.2     2e-09   36.1   4.6   7.3   5   1   1   7   7   7   6 | SP+TM
