Receptor                                                                                            Best Model     pLDDT     pTM
VITVvi_vZin03_v1.1_H000572F_001.ver1.0.g196630.p01___SP_TM                                          model_1        82.2      0.517
VITVvi_vZin03_v1.1_P122.ver1.0.g239370.p01___TM                                                     model_1        87.2      0.633
VITVvi_vZin03_v1.1_P127.ver1.0.g241480.p01___TM                                                     model_1        86.0      0.599
VITVvi_vZin03_v1.1_P146.ver1.0.g262330.p01___SP_TM                                                  model_1        87.1      0.616
VITVvi_vZin03_v1.1_P15.ver1.0.g265280.p01___SP_TM                                                   model_1        83.4      0.666
VITVvi_vZin03_v1.1_P15.ver1.0.g265320.p01___TM                                                      model_1        82.3      0.458
VITVvi_vZin03_v1.1_P15.ver1.0.g265470.p01___SP_TM                                                   model_1        85.3      0.625
VITVvi_vZin03_v1.1_P152.ver1.0.g270960.p01___TM                                                     model_1        89.3      0.609
VITVvi_vZin03_v1.1_P152.ver1.0.g270980.p01___TM                                                     model_1        89.2      0.625
VITVvi_vZin03_v1.1_P224.ver1.0.g329650.p01___SP_TM                                                  model_1        83.8      0.619
VITVvi_vZin03_v1.1_P26.ver1.0.g346540.p01___SP_TM                                                   model_1        83.6      0.609
VITVvi_vZin03_v1.1_P26.ver1.0.g347400.p01___SP_TM                                                   model_1        88.6      0.611
VITVvi_vZin03_v1.1_P26.ver1.0.g347440.p01___SP_TM                                                   model_1        85.6      0.671
VITVvi_vZin03_v1.1_P269.ver1.0.g350920.p01___TM                                                     model_1        77.2      0.567
VITVvi_vZin03_v1.1_P28.ver1.0.g356210.p01___SP_TM                                                   model_1        88.5      0.642
VITVvi_vZin03_v1.1_P28.ver1.0.g357670.p01___TM                                                      model_1        89.8      0.613
VITVvi_vZin03_v1.1_P28.ver1.0.g357680.p01___TM                                                      model_1        89.7      0.593
VITVvi_vZin03_v1.1_P28.ver1.0.g357690.p01___TM                                                      model_1        79.8      0.454
VITVvi_vZin03_v1.1_P30.ver1.0.g370750.p01___SP_TM                                                   model_1        77.2      0.534
VITVvi_vZin03_v1.1_P307.ver1.0.g372960.p01___SP_TM                                                  model_1        86.4      0.615
VITVvi_vZin03_v1.1_P32.ver1.0.g377360.p01___TM                                                      model_1        84.1      0.587
VITVvi_vZin03_v1.1_P34.ver1.0.g385100.p01___SP_TM                                                   model_1        79.4      0.516
VITVvi_vZin03_v1.1_P344.ver1.0.g386140.p01___SP_TM                                                  model_1        81.8      0.628
VITVvi_vZin03_v1.1_P365.ver1.0.g392600.p01___SP_TM                                                  model_1        88.9      0.621
VITVvi_vZin03_v1.1_P365.ver1.0.g392630.p01___SP_TM                                                  model_1        88.8      0.611
VITVvi_vZin03_v1.1_P398.ver1.0.g403150.p01___SP_TM                                                  model_1        86.1      0.498
VITVvi_vZin03_v1.1_P398.ver1.0.g403160.p01___TM                                                     model_1        88.8      0.572
VITVvi_vZin03_v1.1_P4.ver1.0.g408120.p01___SP_TM                                                    model_1        76.2      0.522
VITVvi_vZin03_v1.1_P407.ver1.0.g413230.p01___TM                                                     model_1        89.5      0.607
VITVvi_vZin03_v1.1_P407.ver1.0.g413240.p01___TM                                                     model_1        89.2      0.692
VITVvi_vZin03_v1.1_P440.ver1.0.g426480.p01___TM                                                     model_1        86.0      0.592
VITVvi_vZin03_v1.1_P440.ver1.0.g426490.p01___TM                                                     model_1        83.2      0.516
VITVvi_vZin03_v1.1_P440.ver1.0.g426500.p01___TM                                                     model_1        86.0      0.553
VITVvi_vZin03_v1.1_P516.ver1.0.g449990.p01___TM                                                     model_1        84.2      0.542
VITVvi_vZin03_v1.1_P53.ver1.0.g456450.p01___TM                                                      model_1        81.7      0.533
VITVvi_vZin03_v1.1_P574.ver1.0.g463780.p01___SP_TM                                                  model_1        86.1      0.618
VITVvi_vZin03_v1.1_P595.ver1.0.g468130.p01___TM                                                     model_1        87.6      0.705
VITVvi_vZin03_v1.1_P64.ver1.0.g480270.p01___SP_TM                                                   model_1        86.7      0.714
VITVvi_vZin03_v1.1_P658.ver1.0.g481470.p01___TM                                                     model_1        81.2      0.502
VITVvi_vZin03_v1.1_P658.ver1.0.g481500.p01___TM                                                     model_1        84.1      0.556
VITVvi_vZin03_v1.1_P677.ver1.0.g484510.p01___TM                                                     model_1        85.9      0.696
VITVvi_vZin03_v1.1_P677.ver1.0.g484580.p01___TM                                                     model_1        82.2      0.637
VITVvi_vZin03_v1.1_P85.ver1.0.g511310.p01___TM                                                      model_1        84.4      0.519
