#                                                                                                        --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name                                                 accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#                                         ------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
VITVvi_vCabSauv08_v1.1_Primary000026F.ver1.0.g379290.t01      -          LRRNT_2              PF08263.17   3.6e-49  164.4  18.5   4.9e-13   48.8   0.6   5.2   5   0   0   5   5   4   4 | SP+TM
VITVvi_vCabSauv08_v1.1_Haplotig000001F_030.ver1.0.g014780.t02 -          LRRNT_2              PF08263.17   3.2e-19   68.6   4.9     3e-12   46.3   0.2   3.4   3   0   0   3   3   2   2 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000224F.ver1.0.g572420.t01      -          LRRNT_2              PF08263.17     7e-19   67.5   7.5   4.8e-09   36.0   0.8   2.9   2   0   0   2   2   2   2 | TM
VITVvi_vCabSauv08_v1.1_Haplotig000107F_010.ver1.0.g208900.t01 -          LRRNT_2              PF08263.17   9.7e-18   63.8   2.8     2e-07   30.9   0.1   4.2   3   0   0   3   3   2   2 | TM
VITVvi_vCabSauv08_v1.1_Haplotig000014F_032.ver1.0.g088190.t01 -          LRRNT_2              PF08263.17   1.4e-17   63.3  20.6   8.1e-08   32.1   1.0   4.9   4   0   0   4   4   3   3 | TM
VITVvi_vCabSauv08_v1.1_Primary000107F.ver1.0.g497950.t01      -          LRRNT_2              PF08263.17     3e-17   62.3   2.9   1.1e-07   31.7   0.3   3.6   2   0   0   2   2   2   2 | TM
VITVvi_vCabSauv08_v1.1_Haplotig000044F_011.ver1.0.g152490.t01 -          LRRNT_2              PF08263.17   7.4e-17   61.0   8.2   2.1e-10   40.4   0.6   3.1   3   0   0   3   3   2   2 | SP+TM
VITVvi_vCabSauv08_v1.1_Haplotig000123F_011.ver1.0.g217250.t01 -          LRRNT_2              PF08263.17   1.7e-16   59.9  12.6   2.3e-08   33.8   2.6   3.0   2   0   0   2   2   2   2 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000190F.ver1.0.g558390.t01      -          LRRNT_2              PF08263.17   4.3e-16   58.6   8.2   1.4e-08   34.5   0.3   2.9   2   0   0   2   2   2   2 | SP
VITVvi_vCabSauv08_v1.1_Haplotig000051F_010.ver1.0.g160080.t01 -          LRRNT_2              PF08263.17   6.8e-16   57.9   2.3     4e-08   33.1   0.1   3.6   2   0   0   2   2   2   2 | TM
VITVvi_vCabSauv08_v1.1_Primary000044F.ver1.0.g416790.t01      -          LRRNT_2              PF08263.17   1.7e-15   56.7   2.8     8e-09   35.3   0.3   2.9   2   0   0   2   2   2   2 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000105F.ver1.0.g495970.t01      -          LRRNT_2              PF08263.17   3.3e-15   55.7   9.3   3.9e-07   29.9   1.8   2.8   2   0   0   2   2   2   2 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000178F.ver1.0.g552840.t01      -          LRRNT_2              PF08263.17   3.6e-15   55.6   8.2   2.6e-07   30.5   1.8   2.8   2   0   0   2   2   2   2 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000105F.ver1.0.g496070.t01      -          LRRNT_2              PF08263.17   3.7e-15   55.6   9.3   4.1e-07   29.8   1.8   2.8   2   0   0   2   2   2   2 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000078F.ver1.0.g460210.t01      -          LRRNT_2              PF08263.17     5e-15   55.2   0.2   1.5e-14   53.6   0.2   1.9   1   0   0   1   1   1   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000156F.ver1.0.g538690.t01      -          LRRNT_2              PF08263.17   6.4e-15   54.8  12.2   2.1e-07   30.8   2.8   2.9   2   0   0   2   2   2   2 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000003F.ver1.0.g287800.t02      -          LRRNT_2              PF08263.17   8.1e-15   54.5   4.7   1.8e-13   50.2   4.3   2.9   2   0   0   2   2   1   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000184F.ver1.0.g554800.t01      -          LRRNT_2              PF08263.17   8.3e-15   54.5  17.1   5.3e-08   32.7   1.4   3.1   4   0   0   4   4   2   2 | SP
VITVvi_vCabSauv08_v1.1_Primary000003F.ver1.0.g287800.t01      -          LRRNT_2              PF08263.17   8.8e-15   54.4   4.7   1.9e-13   50.1   4.3   2.9   2   0   0   2   2   1   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000028F.ver1.0.g385120.t01      -          LRRNT_2              PF08263.17     1e-14   54.2   0.4   2.7e-14   52.8   0.4   1.8   1   0   0   1   1   1   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Haplotig000044F_015.ver1.0.g152700.t01 -          LRRNT_2              PF08263.17   1.3e-14   53.9   8.9   3.7e-07   30.0   0.1   4.7   5   0   0   5   5   2   2 | SP+TM
VITVvi_vCabSauv08_v1.1_Haplotig000003F_039.ver1.0.g040450.t01 -          LRRNT_2              PF08263.17   1.3e-14   53.8   6.3   5.3e-14   51.9   3.4   3.2   3   0   0   3   3   1   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Haplotig000028F_020.ver1.0.g125390.t01 -          LRRNT_2              PF08263.17   1.3e-14   53.8   0.4   4.1e-14   52.2   0.4   1.9   1   0   0   1   1   1   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Haplotig000003F_039.ver1.0.g040450.t02 -          LRRNT_2              PF08263.17   1.4e-14   53.7   6.3   5.5e-14   51.8   3.4   3.2   3   0   0   3   3   1   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000000F.ver1.0.g262000.t01      -          LRRNT_2              PF08263.17   1.6e-14   53.5   1.2   3.4e-14   52.5   1.2   1.6   1   0   0   1   1   1   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000035F.ver1.0.g400170.t01      -          LRRNT_2              PF08263.17   1.7e-14   53.4   6.9   4.7e-14   52.0   6.9   1.8   1   0   0   1   1   1   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Haplotig000031F_004.ver1.0.g131970.t01 -          LRRNT_2              PF08263.17   2.6e-14   52.9   0.7   2.6e-14   52.9   0.7   2.7   2   0   0   2   2   1   1 | TM
VITVvi_vCabSauv08_v1.1_Haplotig000043F_014.ver1.0.g149160.t02 -          LRRNT_2              PF08263.17   3.5e-14   52.5   0.4   1.1e-13   50.9   0.4   1.9   1   0   0   1   1   1   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Haplotig000043F_024.ver1.0.g150270.t02 -          LRRNT_2              PF08263.17   3.5e-14   52.5   0.4   1.1e-13   50.9   0.4   1.9   1   0   0   1   1   1   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Haplotig000095F_006.ver1.0.g198770.t01 -          LRRNT_2              PF08263.17   4.2e-14   52.2   1.8   1.5e-13   50.5   1.8   2.1   1   0   0   1   1   1   1 | SP
VITVvi_vCabSauv08_v1.1_Haplotig000055F_030.ver1.0.g166810.t01 -          LRRNT_2              PF08263.17   6.1e-14   51.7   7.3   3.2e-06   27.0   1.7   3.0   2   0   0   2   2   2   2 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000055F.ver1.0.g433960.t01      -          LRRNT_2              PF08263.17   6.1e-14   51.7   7.3   3.2e-06   27.0   1.7   3.0   2   0   0   2   2   2   2 | SP+TM
VITVvi_vCabSauv08_v1.1_Haplotig000035F_027.ver1.0.g137670.t01 -          LRRNT_2              PF08263.17   6.2e-14   51.7   0.1   1.5e-13   50.4   0.1   1.7   1   0   0   1   1   1   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000035F.ver1.0.g401220.t01      -          LRRNT_2              PF08263.17   6.2e-14   51.7   0.1   1.5e-13   50.4   0.1   1.7   1   0   0   1   1   1   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000001F.ver1.0.g274120.t02      -          LRRNT_2              PF08263.17   6.3e-14   51.6   1.1   1.5e-13   50.4   1.1   1.7   1   0   0   1   1   1   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Haplotig000035F_027.ver1.0.g137670.t04 -          LRRNT_2              PF08263.17   6.3e-14   51.6   0.4   1.3e-13   50.7   0.1   1.7   2   0   0   2   2   1   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000035F.ver1.0.g401220.t04      -          LRRNT_2              PF08263.17   6.3e-14   51.6   0.4   1.3e-13   50.7   0.1   1.7   2   0   0   2   2   1   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000001F.ver1.0.g274120.t01      -          LRRNT_2              PF08263.17   6.8e-14   51.5   1.1   1.6e-13   50.3   1.1   1.7   1   0   0   1   1   1   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000169F.ver1.0.g547780.t01      -          LRRNT_2              PF08263.17     8e-14   51.3   0.4     8e-14   51.3   0.4   2.4   2   0   0   2   2   1   1 | TM
VITVvi_vCabSauv08_v1.1_Primary000023F.ver1.0.g366510.t02      -          LRRNT_2              PF08263.17     1e-13   51.0   4.0   3.2e-13   49.4   4.0   1.9   1   0   0   1   1   1   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000000F.ver1.0.g258230.t01      -          LRRNT_2              PF08263.17     1e-13   51.0   0.1   3.6e-13   49.2   0.1   2.0   1   0   0   1   1   1   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Haplotig000000F_009.ver1.0.g000260.t01 -          LRRNT_2              PF08263.17     1e-13   50.9   0.1   3.6e-13   49.2   0.1   2.0   1   0   0   1   1   1   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000304F.ver1.0.g591500.t02      -          LRRNT_2              PF08263.17   1.1e-13   50.9   4.0   3.5e-13   49.3   4.0   2.0   1   0   0   1   1   1   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Haplotig000206F_002.ver1.0.g241850.t01 -          LRRNT_2              PF08263.17   1.2e-13   50.8  42.4   7.9e-06   25.7   9.3   5.0   3   3   0   3   3   3   3 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000304F.ver1.0.g591500.t01      -          LRRNT_2              PF08263.17   1.2e-13   50.7   4.0   3.8e-13   49.2   4.0   1.9   1   0   0   1   1   1   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000023F.ver1.0.g366510.t01      -          LRRNT_2              PF08263.17   1.2e-13   50.7   4.0   3.8e-13   49.2   4.0   1.9   1   0   0   1   1   1   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000005F.ver1.0.g300510.t01      -          LRRNT_2              PF08263.17   1.2e-13   50.7   2.5   2.7e-13   49.6   2.5   1.6   1   0   0   1   1   1   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Haplotig000125F_007.ver1.0.g219700.t01 -          LRRNT_2              PF08263.17   1.2e-13   50.7   0.1   3.6e-13   49.2   0.1   1.9   1   0   0   1   1   1   1 | SP
VITVvi_vCabSauv08_v1.1_Primary000005F.ver1.0.g300510.t02      -          LRRNT_2              PF08263.17   1.3e-13   50.6   2.5   2.9e-13   49.5   2.5   1.6   1   0   0   1   1   1   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000065F.ver1.0.g446300.t02      -          LRRNT_2              PF08263.17   1.5e-13   50.5   0.3   4.4e-13   48.9   0.3   1.9   1   0   0   1   1   1   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Haplotig000065F_003.ver1.0.g175540.t02 -          LRRNT_2              PF08263.17   1.5e-13   50.5   0.3   4.4e-13   48.9   0.3   1.9   1   0   0   1   1   1   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000052F.ver1.0.g427540.t01      -          LRRNT_2              PF08263.17   1.6e-13   50.4   2.3   1.7e-13   50.3   0.2   2.3   2   0   0   2   2   1   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000065F.ver1.0.g446300.t01      -          LRRNT_2              PF08263.17   1.6e-13   50.3   0.3   4.8e-13   48.8   0.3   1.9   1   0   0   1   1   1   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Haplotig000065F_003.ver1.0.g175540.t01 -          LRRNT_2              PF08263.17   1.6e-13   50.3   0.3   4.8e-13   48.8   0.3   1.9   1   0   0   1   1   1   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000376F.ver1.0.g602580.t01      -          LRRNT_2              PF08263.17   1.6e-13   50.3   2.3   1.7e-13   50.3   0.2   2.3   2   0   0   2   2   1   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Haplotig000125F_004.ver1.0.g219060.t01 -          LRRNT_2              PF08263.17   1.8e-13   50.2   0.1   4.8e-13   48.8   0.1   1.8   1   0   0   1   1   1   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000031F.ver1.0.g393350.t01      -          LRRNT_2              PF08263.17   1.8e-13   50.2   0.4   1.8e-13   50.2   0.4   2.7   2   0   0   2   2   1   1 | TM
VITVvi_vCabSauv08_v1.1_Primary000125F.ver1.0.g515640.t01      -          LRRNT_2              PF08263.17   1.9e-13   50.1   0.1   6.5e-13   48.4   0.1   2.0   1   0   0   1   1   1   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000169F.ver1.0.g547390.t01      -          LRRNT_2              PF08263.17   1.9e-13   50.1   0.5   6.3e-13   48.5   0.5   2.0   1   0   0   1   1   1   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000169F.ver1.0.g547730.t01      -          LRRNT_2              PF08263.17   2.1e-13   50.0   0.3   7.8e-13   48.1   0.3   2.1   1   0   0   1   1   1   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000000F.ver1.0.g259770.t01      -          LRRNT_2              PF08263.17   2.1e-13   50.0   0.1   8.9e-13   48.0   0.1   2.2   1   0   0   1   1   1   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Haplotig000000F_021.ver1.0.g000770.t01 -          LRRNT_2              PF08263.17   2.1e-13   50.0   0.1   8.9e-13   48.0   0.1   2.2   1   0   0   1   1   1   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Haplotig000085F_005.ver1.0.g189150.t01 -          LRRNT_2              PF08263.17   2.2e-13   49.9  22.0   1.1e-06   28.4   6.8   3.2   2   2   0   2   2   2   2 | SP+TM
VITVvi_vCabSauv08_v1.1_Haplotig000020F_003.ver1.0.g101930.t01 -          LRRNT_2              PF08263.17   2.4e-13   49.8   0.9     1e-12   47.8   0.9   2.2   1   0   0   1   1   1   1 | TM
VITVvi_vCabSauv08_v1.1_Haplotig000098F_001.ver1.0.g200860.t01 -          LRRNT_2              PF08263.17   2.5e-13   49.7   0.2   7.3e-13   48.2   0.2   1.9   1   0   0   1   1   1   1 | SP
VITVvi_vCabSauv08_v1.1_Primary000020F.ver1.0.g355780.t01      -          LRRNT_2              PF08263.17   2.5e-13   49.7   0.5   2.5e-13   49.7   0.5   2.3   2   0   0   2   2   1   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000169F.ver1.0.g547720.t01      -          LRRNT_2              PF08263.17   2.8e-13   49.6   0.3   9.1e-13   47.9   0.3   2.0   1   0   0   1   1   1   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Haplotig000001F_030.ver1.0.g014790.t01 -          LRRNT_2              PF08263.17   3.2e-13   49.4   0.6     2e-12   46.8   0.2   2.5   2   0   0   2   2   1   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000085F.ver1.0.g471490.t01      -          LRRNT_2              PF08263.17   3.4e-13   49.3  20.6   2.4e-06   27.4   5.9   3.3   2   2   0   2   2   2   2 | SP+TM
VITVvi_vCabSauv08_v1.1_Haplotig000001F_030.ver1.0.g014780.t01 -          LRRNT_2              PF08263.17   3.5e-13   49.3   0.5   2.3e-12   46.6   0.2   2.5   2   0   0   2   2   1   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Haplotig000020F_003.ver1.0.g101950.t01 -          LRRNT_2              PF08263.17     4e-13   49.1   0.5     4e-13   49.1   0.5   2.4   2   0   0   2   2   1   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000001F.ver1.0.g267190.t01      -          LRRNT_2              PF08263.17   4.4e-13   48.9   1.5   1.1e-12   47.6   1.5   1.8   1   0   0   1   1   1   1 | SP
VITVvi_vCabSauv08_v1.1_Primary000098F.ver1.0.g486680.t01      -          LRRNT_2              PF08263.17   4.8e-13   48.8   0.1   1.2e-12   47.5   0.1   1.8   1   0   0   1   1   1   1 | SP
VITVvi_vCabSauv08_v1.1_Haplotig000095F_006.ver1.0.g198660.t01 -          LRRNT_2              PF08263.17   5.2e-13   48.7   0.9   1.4e-12   47.4   0.9   1.8   1   0   0   1   1   1   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000169F.ver1.0.g547410.t01      -          LRRNT_2              PF08263.17   5.3e-13   48.7   0.3   5.3e-13   48.7   0.3   2.9   2   0   0   2   2   1   1 | TM
VITVvi_vCabSauv08_v1.1_Haplotig000095F_005.ver1.0.g197880.t01 -          LRRNT_2              PF08263.17   5.3e-13   48.7   1.0     2e-12   46.8   1.0   2.1   1   0   0   1   1   1   1 | SP
VITVvi_vCabSauv08_v1.1_Haplotig000019F_052.ver1.0.g101830.t01 -          LRRNT_2              PF08263.17   5.4e-13   48.7   0.6     2e-12   46.9   0.6   2.1   1   0   0   1   1   1   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000019F.ver1.0.g353510.t01      -          LRRNT_2              PF08263.17   5.4e-13   48.7   0.6     2e-12   46.9   0.6   2.1   1   0   0   1   1   1   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000247F.ver1.0.g578410.t02      -          LRRNT_2              PF08263.17   5.6e-13   48.6   0.7   1.5e-12   47.2   0.7   1.8   1   0   0   1   1   1   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Haplotig000247F_002.ver1.0.g244760.t02 -          LRRNT_2              PF08263.17   5.6e-13   48.6   0.7   1.5e-12   47.2   0.7   1.8   1   0   0   1   1   1   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000020F.ver1.0.g355770.t01      -          LRRNT_2              PF08263.17   5.7e-13   48.6   0.2   2.7e-12   46.4   0.2   2.3   1   0   0   1   1   1   1 | SP
VITVvi_vCabSauv08_v1.1_Haplotig000316F_005.ver1.0.g247520.t01 -          LRRNT_2              PF08263.17   5.8e-13   48.6   0.2   2.3e-12   46.7   0.2   2.1   1   0   0   1   1   1   1 | SP
VITVvi_vCabSauv08_v1.1_Haplotig000019F_036.ver1.0.g101160.t01 -          LRRNT_2              PF08263.17   5.9e-13   48.5   2.2   9.6e-13   47.9   0.4   2.5   2   0   0   2   2   1   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000048F.ver1.0.g422490.t01      -          LRRNT_2              PF08263.17   5.9e-13   48.5  14.3   1.9e-06   27.7   3.6   3.0   2   0   0   2   2   2   2 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000019F.ver1.0.g353530.t01      -          LRRNT_2              PF08263.17   6.2e-13   48.5   2.2   9.6e-13   47.9   0.4   2.4   2   0   0   2   2   1   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000001F.ver1.0.g266980.t01      -          LRRNT_2              PF08263.17   6.3e-13   48.5   0.2   1.7e-12   47.1   0.2   1.8   1   0   0   1   1   1   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Haplotig000095F_006.ver1.0.g198430.t01 -          LRRNT_2              PF08263.17   6.4e-13   48.4   1.2   1.9e-12   46.9   1.2   1.9   1   0   0   1   1   1   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Haplotig000125F_004.ver1.0.g219050.t01 -          LRRNT_2              PF08263.17   6.5e-13   48.4   0.1   2.2e-12   46.7   0.1   2.0   1   0   0   1   1   1   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000247F.ver1.0.g578410.t01      -          LRRNT_2              PF08263.17   6.5e-13   48.4   0.7   1.8e-12   47.0   0.7   1.8   1   0   0   1   1   1   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Haplotig000247F_002.ver1.0.g244760.t01 -          LRRNT_2              PF08263.17   6.5e-13   48.4   0.7   1.8e-12   47.0   0.7   1.8   1   0   0   1   1   1   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000151F.ver1.0.g534950.t01      -          LRRNT_2              PF08263.17   7.4e-13   48.2   0.2   3.1e-12   46.2   0.2   2.2   1   0   0   1   1   1   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Haplotig000394F_001.ver1.0.g249870.t01 -          LRRNT_2              PF08263.17   7.4e-13   48.2   0.2     3e-12   46.3   0.2   2.2   1   0   0   1   1   1   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000005F.ver1.0.g302190.t02      -          LRRNT_2              PF08263.17   7.5e-13   48.2   1.3   1.8e-12   47.0   1.3   1.7   1   0   0   1   1   1   1 | SP
VITVvi_vCabSauv08_v1.1_Primary000302F.ver1.0.g590950.t01      -          LRRNT_2              PF08263.17   7.9e-13   48.1   0.2     3e-12   46.3   0.2   2.2   1   0   0   1   1   1   1 | SP
VITVvi_vCabSauv08_v1.1_Primary000020F.ver1.0.g355760.t01      -          LRRNT_2              PF08263.17     8e-13   48.1   0.3   2.1e-12   46.7   0.3   1.8   1   0   0   1   1   1   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000302F.ver1.0.g590950.t02      -          LRRNT_2              PF08263.17   8.5e-13   48.0   0.2   3.1e-12   46.2   0.2   2.1   1   0   0   1   1   1   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000125F.ver1.0.g515050.t01      -          LRRNT_2              PF08263.17     9e-13   47.9   0.2   3.5e-12   46.1   0.2   2.2   1   0   0   1   1   1   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000081F.ver1.0.g463680.t01      -          LRRNT_2              PF08263.17   9.1e-13   47.9   2.5   2.3e-12   46.6   2.5   1.8   1   0   0   1   1   1   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000000F.ver1.0.g260020.t01      -          LRRNT_2              PF08263.17   9.3e-13   47.9  12.7     9e-07   28.7   3.6   2.9   2   0   0   2   2   2   2 | SP+TM
VITVvi_vCabSauv08_v1.1_Haplotig000095F_006.ver1.0.g198640.t01 -          LRRNT_2              PF08263.17   9.4e-13   47.9   1.0   2.5e-12   46.5   1.0   1.8   1   0   0   1   1   1   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Haplotig000098F_001.ver1.0.g200980.t01 -          LRRNT_2              PF08263.17   9.9e-13   47.8   0.1   3.8e-12   45.9   0.1   2.2   1   0   0   1   1   1   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000218F.ver1.0.g570310.t01      -          LRRNT_2              PF08263.17     1e-12   47.8   0.1   4.6e-12   45.7   0.1   2.3   1   0   0   1   1   1   1 | TM
VITVvi_vCabSauv08_v1.1_Haplotig000316F_001.ver1.0.g247410.t01 -          LRRNT_2              PF08263.17   1.1e-12   47.7   0.2   3.6e-12   46.0   0.2   2.0   1   0   0   1   1   1   1 | SP
VITVvi_vCabSauv08_v1.1_Primary000316F.ver1.0.g593360.t01      -          LRRNT_2              PF08263.17   1.1e-12   47.7   0.2   3.6e-12   46.0   0.2   2.0   1   0   0   1   1   1   1 | SP
VITVvi_vCabSauv08_v1.1_Haplotig000098F_001.ver1.0.g200840.t01 -          LRRNT_2              PF08263.17   1.1e-12   47.7   0.1   2.7e-12   46.4   0.1   1.8   1   0   0   1   1   1   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000098F.ver1.0.g486660.t01      -          LRRNT_2              PF08263.17   1.1e-12   47.7   0.1   3.2e-12   46.2   0.1   1.9   1   0   0   1   1   1   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000015F.ver1.0.g341510.t01      -          LRRNT_2              PF08263.17   1.1e-12   47.7   1.1   1.1e-12   47.7   1.1   2.4   2   0   0   2   2   1   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000015F.ver1.0.g341510.t02      -          LRRNT_2              PF08263.17   1.1e-12   47.7   1.1   1.1e-12   47.7   1.1   2.4   2   0   0   2   2   1   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000125F.ver1.0.g515660.t01      -          LRRNT_2              PF08263.17   1.2e-12   47.6   0.6   4.3e-12   45.8   0.6   2.1   1   0   0   1   1   1   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000028F.ver1.0.g386150.t01      -          LRRNT_2              PF08263.17   1.2e-12   47.6   0.4   2.9e-12   46.3   0.4   1.7   1   0   0   1   1   1   1 | SP+TM
