#                                                                                                        --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name                                                 accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#                                         ------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
VITVvi_vCabSauv08_v1.1_Haplotig000049F_003.ver1.0.g158130.t01 -          LRR_2                PF07723.19   3.2e-06   27.2  31.5       4.2    7.9   0.1  15.1  14   0   0  14  14   6   2 | TM
VITVvi_vCabSauv08_v1.1_Primary000203F.ver1.0.g564560.t01      -          LRR_2                PF07723.19     0.043   14.1   5.2        15    6.1   0.3   4.3   4   0   0   4   4   3   0 | TM
VITVvi_vCabSauv08_v1.1_Primary000030F.ver1.0.g391090.t01      -          LRR_2                PF07723.19      0.05   14.0   0.3       1.4    9.4   0.0   3.2   3   0   0   3   3   1   0 | TM
VITVvi_vCabSauv08_v1.1_Primary000107F.ver1.0.g498370.t01      -          LRR_2                PF07723.19     0.051   13.9   1.6        54    4.4   0.1   5.2   6   0   0   6   6   1   0 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000120F.ver1.0.g510440.t01      -          LRR_2                PF07723.19     0.066   13.6  15.2        54    4.4   0.0  10.1  10   0   0  10  10   3   0 | TM
VITVvi_vCabSauv08_v1.1_Primary000023F.ver1.0.g365590.t01      -          LRR_2                PF07723.19      0.07   13.5   9.7        80    3.8   0.1   7.2   8   0   0   8   8   3   0 | TM
VITVvi_vCabSauv08_v1.1_Haplotig000046F_003.ver1.0.g153310.t01 -          LRR_2                PF07723.19     0.072   13.4   2.5        43    4.7   0.0   5.2   6   0   0   6   6   2   0 | SP+TM
VITVvi_vCabSauv08_v1.1_Haplotig000046F_003.ver1.0.g153310.t02 -          LRR_2                PF07723.19     0.072   13.4   2.5        43    4.7   0.0   5.2   6   0   0   6   6   2   0 | SP+TM
VITVvi_vCabSauv08_v1.1_Haplotig000046F_003.ver1.0.g153310.t03 -          LRR_2                PF07723.19     0.072   13.4   2.5        43    4.7   0.0   5.2   6   0   0   6   6   2   0 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000107F.ver1.0.g498370.t02      -          LRR_2                PF07723.19     0.073   13.4   1.6        60    4.2   0.1   5.2   6   0   0   6   6   1   0 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000024F.ver1.0.g371420.t01      -          LRR_2                PF07723.19     0.079   13.3   0.2        34    5.0   0.0   3.4   3   0   0   3   3   2   0 | SP+TM
VITVvi_vCabSauv08_v1.1_Haplotig000004F_044.ver1.0.g044820.t01 -          LRR_2                PF07723.19     0.087   13.2   5.5        56    4.3   0.1   7.0   8   0   0   8   8   1   0 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000014F.ver1.0.g337300.t01      -          LRR_2                PF07723.19     0.099   13.0   8.2        65    4.1   0.0   7.4   8   0   0   8   8   2   0 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000153F.ver1.0.g536540.t01      -          LRR_2                PF07723.19      0.11   12.9   0.2        29    5.2   0.0   3.9   4   0   0   4   4   1   0 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000636F.ver1.0.g619810.t01      -          LRR_2                PF07723.19      0.11   12.9   0.2        29    5.2   0.0   3.9   4   0   0   4   4   1   0 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000143F.ver1.0.g529540.t01      -          LRR_2                PF07723.19      0.16   12.3  12.7        23    5.5   0.0   8.2   9   0   0   9   9   1   0 | TM
VITVvi_vCabSauv08_v1.1_Primary000014F.ver1.0.g337130.t01      -          LRR_2                PF07723.19      0.19   12.1   7.8        37    4.9   0.1   7.0   8   0   0   8   8   2   0 | SP+TM
VITVvi_vCabSauv08_v1.1_Haplotig000229F_001.ver1.0.g243820.t01 -          LRR_2                PF07723.19       0.2   12.1   9.4       3.9    8.0   0.1   5.4   6   0   0   6   6   2   0 | SP
VITVvi_vCabSauv08_v1.1_Haplotig000009F_017.ver1.0.g075870.t01 -          LRR_2                PF07723.19      0.46   10.9  11.5        11    6.6   0.0   7.7   9   0   0   9   9   1   0 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000030F.ver1.0.g391180.t01      -          LRR_2                PF07723.19      0.57   10.6   2.4        45    4.6   0.0   3.3   3   0   0   3   3   2   0 | TM
VITVvi_vCabSauv08_v1.1_Primary000030F.ver1.0.g391150.t01      -          LRR_2                PF07723.19       0.6   10.5   3.0        14    6.2   0.3   3.3   3   0   0   3   3   2   0 | TM
VITVvi_vCabSauv08_v1.1_Primary000009F.ver1.0.g321910.t01      -          LRR_2                PF07723.19      0.65   10.4  12.0        11    6.6   0.0   7.7   9   0   0   9   9   1   0 | SP+TM
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      pfam_models/PF07723.hmm
# Target file:     filtered_tm_sp_proteins.fasta
# Option settings: hmmsearch -A LRR6_alignment.stk --tblout LRR6_domains.txt -E 1 --domE 1 --incE 0.01 --incdomE 0.04 --cpu 8 pfam_models/PF07723.hmm filtered_tm_sp_proteins.fasta 
# Current dir:     /Users/briansu/workspace/mamp_prediction_ml/11_grape_analysis
# Date:            Wed Jul 23 14:35:32 2025
# [ok]
