#                                                                                                        --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name                                                 accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#                                         ------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
VITVvi_vCabSauv08_v1.1_Haplotig000027F_031.ver1.0.g122650.t01 -          LRR_8                PF13855.12  1.1e-136  444.3 271.8   2.7e-10   39.5   5.3  33.4  19  11  14  35  35  34  31 | SP+TM
VITVvi_vCabSauv08_v1.1_Haplotig000018F_013.ver1.0.g096500.t01 -          LRR_8                PF13855.12   1.7e-75  248.3 170.3   2.4e-08   33.3   7.2  20.3   7   4  18  27  27  25  24 | TM
VITVvi_vCabSauv08_v1.1_Haplotig000151F_004.ver1.0.g231600.t01 -          LRR_8                PF13855.12   4.1e-75  247.1 124.2   1.4e-08   34.1   4.0  16.8   9   5   8  18  18  16  15 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000085F.ver1.0.g471490.t01      -          LRR_8                PF13855.12   9.5e-74  242.8 170.3   4.2e-09   35.7   0.0  21.1  13   4  12  26  26  23  22 | SP+TM
VITVvi_vCabSauv08_v1.1_Haplotig000014F_032.ver1.0.g088190.t01 -          LRR_8                PF13855.12   1.5e-73  242.1 239.0   3.8e-08   32.6   1.5  32.7  23   9  11  35  35  25  21 | TM
VITVvi_vCabSauv08_v1.1_Haplotig000098F_001.ver1.0.g200830.t01 -          LRR_8                PF13855.12   2.3e-73  241.5 126.5   1.3e-09   37.3   0.1  16.8   4   3  14  20  20  19  17 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000051F.ver1.0.g425940.t01      -          LRR_8                PF13855.12     5e-73  240.5 113.9   1.5e-08   33.9   3.2  15.4   8   3   8  16  16  16  15 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000151F.ver1.0.g534820.t01      -          LRR_8                PF13855.12   5.4e-73  240.3 126.3   1.8e-09   36.9   0.1  17.4   8   5   8  19  19  16  15 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000180F.ver1.0.g553150.t01      -          LRR_8                PF13855.12   2.8e-72  238.0 119.6   2.3e-13   49.4   3.5  15.7   5   4  13  19  19  18  16 | SP
VITVvi_vCabSauv08_v1.1_Primary000125F.ver1.0.g514980.t01      -          LRR_8                PF13855.12   1.3e-71  235.9 112.6     1e-08   34.4   6.7  14.6  10   3   4  15  15  14  13 | SP
VITVvi_vCabSauv08_v1.1_Primary000125F.ver1.0.g514980.t02      -          LRR_8                PF13855.12   1.3e-71  235.9 112.6     1e-08   34.4   6.7  14.6  10   3   4  15  15  14  13 | SP
VITVvi_vCabSauv08_v1.1_Primary000125F.ver1.0.g514980.t03      -          LRR_8                PF13855.12   1.3e-71  235.9 112.6     1e-08   34.4   6.7  14.6  10   3   4  15  15  14  13 | SP
VITVvi_vCabSauv08_v1.1_Primary000125F.ver1.0.g514980.t04      -          LRR_8                PF13855.12   1.3e-71  235.9 112.6     1e-08   34.4   6.7  14.6  10   3   4  15  15  14  13 | SP
VITVvi_vCabSauv08_v1.1_Primary000475F.ver1.0.g612460.t01      -          LRR_8                PF13855.12   3.4e-71  234.6  80.3   2.4e-10   39.7   2.0  12.6   6   4   9  15  15  15  15 | SP+TM
VITVvi_vCabSauv08_v1.1_Haplotig000107F_010.ver1.0.g208870.t01 -          LRR_8                PF13855.12   2.1e-70  232.1 125.1   5.7e-08   32.1   6.5  15.9   7   2   8  17  17  16  15 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000025F.ver1.0.g373940.t01      -          LRR_8                PF13855.12   3.3e-70  231.4 200.0   1.2e-10   40.6   5.2  18.5   8   6   7  18  18  17  15 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000218F.ver1.0.g570280.t01      -          LRR_8                PF13855.12     5e-70  230.8 111.2     2e-08   33.6   5.7  16.0  10   4   3  15  15  14  13 | SP+TM
VITVvi_vCabSauv08_v1.1_Haplotig000136F_009.ver1.0.g225650.t01 -          LRR_8                PF13855.12   6.6e-70  230.5 164.6   1.9e-07   30.4   1.1  25.3  21   6   3  24  24  19  18 | SP
VITVvi_vCabSauv08_v1.1_Primary000034F.ver1.0.g398600.t01      -          LRR_8                PF13855.12   9.4e-70  230.0 153.6   9.1e-09   34.6   6.6  18.0   8   5  13  22  22  21  21 | SP+TM
VITVvi_vCabSauv08_v1.1_Haplotig000098F_001.ver1.0.g200960.t01 -          LRR_8                PF13855.12   1.3e-69  229.5 130.2   2.9e-08   33.0   0.2  18.5   8   5  13  22  22  19  19 | SP+TM
VITVvi_vCabSauv08_v1.1_Haplotig000107F_010.ver1.0.g208780.t01 -          LRR_8                PF13855.12     2e-69  228.9 120.3   3.9e-08   32.6   6.7  15.5   4   3  16  21  21  20  19 | TM
VITVvi_vCabSauv08_v1.1_Primary000096F.ver1.0.g485570.t01      -          LRR_8                PF13855.12   2.4e-69  228.6 198.9   1.1e-09   37.6   4.4  18.3   6   4  14  21  21  21  20 | TM
VITVvi_vCabSauv08_v1.1_Primary000206F.ver1.0.g566400.t01      -          LRR_8                PF13855.12   4.3e-69  227.9 140.1     1e-11   44.1   5.7  19.5   7   4  15  23  23  19  17 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000037F.ver1.0.g403320.t01      -          LRR_8                PF13855.12   2.1e-68  225.7 103.4   6.8e-10   38.2   2.7  14.8   9   2   7  16  16  15  12 | TM
VITVvi_vCabSauv08_v1.1_Primary000136F.ver1.0.g524290.t02      -          LRR_8                PF13855.12   6.3e-68  224.1 137.3   1.5e-08   34.0   7.9  16.7   8   4   9  18  18  16  15 | SP
VITVvi_vCabSauv08_v1.1_Primary000316F.ver1.0.g593360.t01      -          LRR_8                PF13855.12   8.4e-68  223.7 134.7   1.5e-09   37.2   3.3  17.0  10   6   7  17  17  15  15 | SP
VITVvi_vCabSauv08_v1.1_Haplotig000316F_001.ver1.0.g247410.t01 -          LRR_8                PF13855.12   9.1e-68  223.6 134.6   1.5e-09   37.2   3.2  17.0  10   6   7  17  17  15  15 | SP
VITVvi_vCabSauv08_v1.1_Primary000120F.ver1.0.g510320.t01      -          LRR_8                PF13855.12   1.7e-67  222.7 118.8   1.6e-07   30.6   8.0  16.4  11   3   6  17  17  16  16 | TM
VITVvi_vCabSauv08_v1.1_Primary000078F.ver1.0.g459830.t01      -          LRR_8                PF13855.12   5.9e-67  221.0 178.9   9.5e-11   41.0   5.3  17.1   9   5   8  17  17  16  14 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000264F.ver1.0.g583050.t01      -          LRR_8                PF13855.12   7.9e-67  220.6 126.4   1.9e-07   30.4   6.4  17.2   8   3  12  21  21  19  18 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000026F.ver1.0.g376070.t01      -          LRR_8                PF13855.12   8.7e-67  220.5 100.6   1.5e-09   37.1   0.2  13.8   6   4   8  15  15  14  14 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000020F.ver1.0.g355740.t01      -          LRR_8                PF13855.12   2.3e-66  219.1 166.1   1.3e-06   27.7   7.2  23.2  17   4   6  24  24  21  17 | TM
VITVvi_vCabSauv08_v1.1_Primary000051F.ver1.0.g426110.t01      -          LRR_8                PF13855.12   2.4e-66  219.0 104.9   1.4e-08   34.0   3.2  13.8   7   2   4  14  14  14  14 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000264F.ver1.0.g583010.t01      -          LRR_8                PF13855.12   5.5e-66  217.9 109.4   5.7e-09   35.3   2.8  15.0   9   3   4  15  15  13  13 | SP+TM
VITVvi_vCabSauv08_v1.1_Haplotig000151F_004.ver1.0.g231630.t01 -          LRR_8                PF13855.12   7.3e-66  217.5  99.7   3.8e-09   35.9   0.5  14.3   7   4   3  13  13  12  12 | TM
VITVvi_vCabSauv08_v1.1_Haplotig000107F_010.ver1.0.g208880.t01 -          LRR_8                PF13855.12   8.3e-66  217.3 103.2   3.2e-10   39.3   2.6  13.7   7   2   8  16  16  16  14 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000051F.ver1.0.g426040.t01      -          LRR_8                PF13855.12   1.2e-65  216.8  99.4   1.4e-08   34.1   3.2  13.4   7   2   8  16  16  16  16 | TM
VITVvi_vCabSauv08_v1.1_Haplotig000125F_007.ver1.0.g219720.t01 -          LRR_8                PF13855.12   1.8e-65  216.3 112.3   1.4e-07   30.8   4.3  14.9  10   4   4  15  15  14  14 | TM
VITVvi_vCabSauv08_v1.1_Primary000052F.ver1.0.g427710.t01      -          LRR_8                PF13855.12   2.5e-65  215.8 121.3   1.1e-09   37.6   7.9  15.8   5   4  13  19  19  19  18 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000264F.ver1.0.g583000.t01      -          LRR_8                PF13855.12   2.8e-65  215.6  98.7   8.1e-08   31.6   7.0  15.7  10   1   7  17  17  15  13 | TM
VITVvi_vCabSauv08_v1.1_Primary000264F.ver1.0.g583080.t01      -          LRR_8                PF13855.12     6e-65  214.6 119.2   2.3e-07   30.2   3.0  16.5   9   4   7  17  17  17  15 | TM
VITVvi_vCabSauv08_v1.1_Primary000376F.ver1.0.g602580.t01      -          LRR_8                PF13855.12   1.2e-64  213.6 118.1   1.2e-08   34.2   5.2  15.1   8   4   7  15  15  15  14 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000151F.ver1.0.g534980.t01      -          LRR_8                PF13855.12   2.6e-64  212.5 121.9   5.3e-09   35.4   0.8  16.7   5   5  16  21  21  21  19 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000218F.ver1.0.g570350.t01      -          LRR_8                PF13855.12   1.5e-63  210.1 129.9   1.7e-07   30.6   7.9  17.4   8   4  11  20  20  18  16 | TM
VITVvi_vCabSauv08_v1.1_Primary000051F.ver1.0.g426070.t01      -          LRR_8                PF13855.12     3e-63  209.1  93.1   2.3e-08   33.4   3.0  13.6   8   2   8  16  16  15  14 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000051F.ver1.0.g425970.t01      -          LRR_8                PF13855.12   3.5e-63  208.9 112.5   3.5e-08   32.8   3.8  13.9   5   2   4  13  13  13  13 | TM
VITVvi_vCabSauv08_v1.1_Primary000031F.ver1.0.g394030.t01      -          LRR_8                PF13855.12   1.5e-62  206.9 133.4   8.8e-08   31.5   2.0  15.3   9   3   7  17  17  15  15 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000052F.ver1.0.g427400.t01      -          LRR_8                PF13855.12   1.6e-62  206.8 112.6   2.2e-07   30.2   0.9  15.8   8   5   9  17  17  17  15 | SP+TM
VITVvi_vCabSauv08_v1.1_Haplotig000044F_005.ver1.0.g151570.t01 -          LRR_8                PF13855.12     3e-62  205.9 126.1   5.5e-11   41.7   4.0  17.6  12   4   7  20  20  14  11 | TM
VITVvi_vCabSauv08_v1.1_Primary000052F.ver1.0.g427540.t01      -          LRR_8                PF13855.12   3.2e-62  205.8 122.1   1.4e-08   34.0   5.0  15.4   8   4   5  14  14  14  13 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000264F.ver1.0.g582980.t01      -          LRR_8                PF13855.12   3.2e-62  205.8 131.8     3e-08   33.0   8.1  17.7   7   2  13  21  21  18  17 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000302F.ver1.0.g590950.t02      -          LRR_8                PF13855.12   7.6e-62  204.6 137.3   9.2e-09   34.6   3.9  16.1   6   5  13  19  19  18  18 | SP+TM
VITVvi_vCabSauv08_v1.1_Haplotig000004F_044.ver1.0.g044820.t01 -          LRR_8                PF13855.12   7.8e-62  204.6  78.4   8.2e-10   38.0   8.1  12.2   7   4   4  12  12  11  11 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000302F.ver1.0.g590950.t01      -          LRR_8                PF13855.12   7.9e-62  204.6 134.6   1.3e-08   34.1   3.0  16.2   6   5  12  18  18  17  17 | SP
VITVvi_vCabSauv08_v1.1_Haplotig000051F_016.ver1.0.g160380.t01 -          LRR_8                PF13855.12   1.9e-61  203.4 106.3   1.2e-08   34.2   3.0  14.3   4   4   7  15  15  15  15 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000264F.ver1.0.g583030.t01      -          LRR_8                PF13855.12   1.4e-60  200.6 107.6   1.8e-08   33.7   8.1  14.9   9   2   9  18  18  16  15 | SP+TM
VITVvi_vCabSauv08_v1.1_Haplotig000051F_016.ver1.0.g160440.t01 -          LRR_8                PF13855.12   1.5e-60  200.5 107.3   3.1e-08   32.9   3.7  13.6   7   4   5  13  13  13  13 | TM
VITVvi_vCabSauv08_v1.1_Primary000051F.ver1.0.g426170.t01      -          LRR_8                PF13855.12   1.6e-60  200.4 107.5   3.1e-08   32.9   3.7  13.6   7   4   5  13  13  13  13 | TM
VITVvi_vCabSauv08_v1.1_Haplotig000044F_015.ver1.0.g152700.t01 -          LRR_8                PF13855.12   2.3e-60  199.9 125.4   6.5e-11   41.5   4.0  18.3  13   4   7  20  20  16  11 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000151F.ver1.0.g534950.t01      -          LRR_8                PF13855.12   3.4e-60  199.4 127.4   1.8e-09   36.9   1.4  16.1   7   6   8  17  17  15  14 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000302F.ver1.0.g590910.t01      -          LRR_8                PF13855.12     4e-60  199.1 123.3   1.1e-08   34.4   6.8  16.9   7   6  13  21  21  19  17 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000229F.ver1.0.g574090.t01      -          LRR_8                PF13855.12   4.9e-60  198.8 157.2   2.5e-09   36.4   7.2  16.8  10   4   6  17  17  16  13 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000218F.ver1.0.g570310.t01      -          LRR_8                PF13855.12   1.1e-59  197.7 109.8   4.2e-08   32.5   3.5  14.5   8   4   4  14  14  13  13 | TM
VITVvi_vCabSauv08_v1.1_Haplotig000051F_007.ver1.0.g159710.t01 -          LRR_8                PF13855.12   1.7e-59  197.1  95.0   1.3e-08   34.2   3.2  12.7   7   2   9  16  16  16  16 | TM
VITVvi_vCabSauv08_v1.1_Haplotig000316F_003.ver1.0.g247480.t01 -          LRR_8                PF13855.12   5.1e-59  195.6 133.1   9.4e-08   31.4   6.7  16.6   7   6  10  18  18  17  15 | SP+TM
VITVvi_vCabSauv08_v1.1_Haplotig000316F_006.ver1.0.g247540.t01 -          LRR_8                PF13855.12   5.1e-59  195.6 133.1   9.4e-08   31.4   6.7  16.6   7   6  10  18  18  17  15 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000078F.ver1.0.g459840.t01      -          LRR_8                PF13855.12   5.3e-59  195.5 207.2   4.3e-07   29.3   7.2  17.7   6   5  13  22  22  22  20 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000151F.ver1.0.g534410.t01      -          LRR_8                PF13855.12   5.3e-59  195.5 104.0   1.2e-11   43.8   4.6  15.4   6   5  12  18  18  18  17 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000049F.ver1.0.g424770.t01      -          LRR_8                PF13855.12   6.1e-59  195.3 122.4   3.4e-10   39.2   2.6  14.4   5   5  12  18  18  18  18 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000105F.ver1.0.g495900.t01      -          LRR_8                PF13855.12   6.3e-59  195.3 100.2     3e-09   36.2   0.7  14.1  11   4   2  13  13  12  12 | SP+TM
VITVvi_vCabSauv08_v1.1_Haplotig000095F_006.ver1.0.g198680.t01 -          LRR_8                PF13855.12   6.9e-59  195.2 114.9   1.2e-05   24.6   0.1  22.8  19   5   1  23  23  15  13 | TM
VITVvi_vCabSauv08_v1.1_Primary000376F.ver1.0.g602610.t01      -          LRR_8                PF13855.12   7.1e-59  195.1 120.0   2.1e-07   30.2   0.8  16.6   9   5   9  19  19  18  16 | SP+TM
VITVvi_vCabSauv08_v1.1_Haplotig000394F_001.ver1.0.g249870.t01 -          LRR_8                PF13855.12   7.8e-59  195.0 115.3   3.3e-09   36.0   0.5  15.1   6   5   9  16  16  15  13 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000052F.ver1.0.g427510.t01      -          LRR_8                PF13855.12     9e-59  194.8 113.7   1.3e-07   30.9   8.3  15.9   9   4   7  16  16  15  14 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000302F.ver1.0.g590990.t01      -          LRR_8                PF13855.12   1.6e-58  194.0 116.5   3.8e-07   29.4   7.2  16.1   7   4  12  19  19  17  16 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000025F.ver1.0.g373950.t01      -          LRR_8                PF13855.12   1.8e-58  193.8 205.4   4.3e-07   29.3   7.2  17.6   6   4  13  23  23  23  21 | SP+TM
VITVvi_vCabSauv08_v1.1_Haplotig000010F_029.ver1.0.g080360.t01 -          LRR_8                PF13855.12   2.1e-58  193.6 113.3   2.2e-09   36.6   1.6  16.2   5   5  11  19  19  17  15 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000125F.ver1.0.g515210.t02      -          LRR_8                PF13855.12   2.7e-58  193.3 105.2     1e-08   34.4   0.1  14.1   6   4  11  17  17  15  15 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000052F.ver1.0.g427430.t01      -          LRR_8                PF13855.12     3e-58  193.1 115.5   2.4e-07   30.1   2.9  15.9  10   5   5  16  16  14  13 | SP+TM
VITVvi_vCabSauv08_v1.1_Haplotig000051F_007.ver1.0.g159730.t01 -          LRR_8                PF13855.12     9e-58  191.6 117.5   3.9e-08   32.6   3.9  14.8   6   4   7  15  15  14  12 | TM
VITVvi_vCabSauv08_v1.1_Primary000218F.ver1.0.g570420.t01      -          LRR_8                PF13855.12   9.7e-58  191.5 124.0   4.4e-09   35.6   8.1  16.2   6   5  11  19  19  15  14 | SP+TM
