#                                                                                             --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name                                      accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#                              ------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
VITVvi_vZin03_v1.1_P14.ver1.0.g255970.p01          -          Pkinase              PF00069.31  3.9e-135  444.9   0.0   5.2e-45  149.5   0.0   3.3   3   0   0   3   3   3   3 | SP+TM
VITVvi_vZin03_v1.1_H000232F_006.ver1.0.g176080.p01 -          Pkinase              PF00069.31   4.5e-49  162.8   0.0   6.3e-49  162.3   0.0   1.1   1   0   0   1   1   1   1 | SP+TM
VITVvi_vZin03_v1.1_P1.ver1.0.g208460.p01           -          Pkinase              PF00069.31   5.4e-49  162.6   0.0   7.5e-49  162.1   0.0   1.2   1   0   0   1   1   1   1 | SP+TM
VITVvi_vZin03_v1.1_P453.ver1.0.g429260.p01         -          Pkinase              PF00069.31   6.2e-49  162.3   0.0   9.4e-49  161.7   0.0   1.2   1   0   0   1   1   1   1 | TM
VITVvi_vZin03_v1.1_H000057F_001.ver1.0.g098330.p01 -          Pkinase              PF00069.31     7e-49  162.2   0.0   1.5e-48  161.1   0.0   1.5   2   0   0   2   2   1   1 | SP+TM
VITVvi_vZin03_v1.1_P279.ver1.0.g355750.p01         -          Pkinase              PF00069.31   8.5e-49  161.9   0.0   1.3e-48  161.3   0.0   1.2   1   0   0   1   1   1   1 | TM
VITVvi_vZin03_v1.1_P165.ver1.0.g283890.p01         -          Pkinase              PF00069.31   9.2e-49  161.8   0.0   1.4e-48  161.2   0.0   1.2   1   0   0   1   1   1   1 | SP+TM
VITVvi_vZin03_v1.1_P76.ver1.0.g497560.p01          -          Pkinase              PF00069.31   9.4e-49  161.8   0.1   1.4e-48  161.2   0.1   1.2   1   0   0   1   1   1   1 | SP+TM
VITVvi_vZin03_v1.1_H000192F_007.ver1.0.g165270.p01 -          Pkinase              PF00069.31   9.5e-49  161.7   0.0   1.4e-48  161.2   0.0   1.2   1   0   0   1   1   1   1 | SP+TM
VITVvi_vZin03_v1.1_P49.ver1.0.g439500.p01          -          Pkinase              PF00069.31   9.6e-49  161.7   0.0   2.3e-48  160.5   0.0   1.6   2   0   0   2   2   1   1 | TM
VITVvi_vZin03_v1.1_H000057F_001.ver1.0.g098260.p01 -          Pkinase              PF00069.31   1.3e-48  161.3   0.0   1.9e-48  160.8   0.0   1.2   1   0   0   1   1   1   1 | SP+TM
VITVvi_vZin03_v1.1_H000075F_002.ver1.0.g111860.p01 -          Pkinase              PF00069.31   1.3e-48  161.3   0.0   1.9e-48  160.8   0.0   1.1   1   0   0   1   1   1   1 | SP+TM
VITVvi_vZin03_v1.1_P69.ver1.0.g486630.p01          -          Pkinase              PF00069.31   1.3e-48  161.3   0.0   1.9e-48  160.8   0.0   1.1   1   0   0   1   1   1   1 | SP+TM
VITVvi_vZin03_v1.1_P260.ver1.0.g347760.p01         -          Pkinase              PF00069.31   1.4e-48  161.2   0.0     2e-48  160.7   0.0   1.2   1   0   0   1   1   1   1 | SP+TM
VITVvi_vZin03_v1.1_P298.ver1.0.g364110.p01         -          Pkinase              PF00069.31   1.7e-48  160.9   0.0   2.8e-48  160.2   0.0   1.3   1   0   0   1   1   1   1 | TM
VITVvi_vZin03_v1.1_P209.ver1.0.g319520.p01         -          Pkinase              PF00069.31   1.8e-48  160.9   0.0   2.5e-48  160.4   0.0   1.2   1   0   0   1   1   1   1 | SP+TM
VITVvi_vZin03_v1.1_H000057F_001.ver1.0.g098320.p01 -          Pkinase              PF00069.31   1.8e-48  160.8   0.0   8.1e-48  158.7   0.0   1.9   2   0   0   2   2   1   1 | SP+TM
VITVvi_vZin03_v1.1_P49.ver1.0.g439400.p01          -          Pkinase              PF00069.31   1.9e-48  160.8   0.0   2.7e-48  160.2   0.0   1.2   1   0   0   1   1   1   1 | SP+TM
VITVvi_vZin03_v1.1_P139.ver1.0.g252290.p01         -          Pkinase              PF00069.31   2.5e-48  160.3   0.0   3.4e-48  159.9   0.0   1.2   1   0   0   1   1   1   1 | SP+TM
VITVvi_vZin03_v1.1_H000057F_001.ver1.0.g098310.p01 -          Pkinase              PF00069.31   2.7e-48  160.2   0.0   5.1e-48  159.3   0.0   1.4   1   0   0   1   1   1   1 | TM
VITVvi_vZin03_v1.1_P56.ver1.0.g461560.p01          -          Pkinase              PF00069.31   2.8e-48  160.2   0.0   4.2e-48  159.6   0.0   1.2   1   0   0   1   1   1   1 | SP+TM
VITVvi_vZin03_v1.1_P73.ver1.0.g495430.p01          -          Pkinase              PF00069.31   2.9e-48  160.2   0.0   4.6e-48  159.5   0.0   1.3   1   0   0   1   1   1   1 | SP+TM
VITVvi_vZin03_v1.1_P3.ver1.0.g364470.p01           -          Pkinase              PF00069.31   3.3e-48  160.0   0.0   4.5e-48  159.5   0.0   1.1   1   0   0   1   1   1   1 | TM
VITVvi_vZin03_v1.1_H000028F_008.ver1.0.g065970.p01 -          Pkinase              PF00069.31   3.3e-48  160.0   0.0   7.7e-48  158.8   0.0   1.6   2   0   0   2   2   1   1 | SP+TM
VITVvi_vZin03_v1.1_P28.ver1.0.g357250.p01          -          Pkinase              PF00069.31   3.4e-48  159.9   0.0     5e-48  159.4   0.0   1.2   1   0   0   1   1   1   1 | SP+TM
VITVvi_vZin03_v1.1_P779.ver1.0.g498650.p01         -          Pkinase              PF00069.31   3.9e-48  159.7   0.0   5.9e-48  159.2   0.0   1.2   1   0   0   1   1   1   1 | TM
VITVvi_vZin03_v1.1_P38.ver1.0.g398050.p01          -          Pkinase              PF00069.31   4.5e-48  159.5   0.0   6.4e-48  159.0   0.0   1.2   1   0   0   1   1   1   1 | SP+TM
VITVvi_vZin03_v1.1_P118.ver1.0.g232100.p01         -          Pkinase              PF00069.31   5.9e-48  159.2   0.0   8.6e-48  158.6   0.0   1.2   1   0   0   1   1   1   1 | SP+TM
VITVvi_vZin03_v1.1_P165.ver1.0.g283850.p01         -          Pkinase              PF00069.31   6.7e-48  159.0   0.0   9.5e-48  158.5   0.0   1.1   1   0   0   1   1   1   1 | SP+TM
VITVvi_vZin03_v1.1_H000057F_001.ver1.0.g098100.p01 -          Pkinase              PF00069.31   6.8e-48  158.9   0.0   9.9e-48  158.4   0.0   1.2   1   0   0   1   1   1   1 | SP+TM
VITVvi_vZin03_v1.1_P3.ver1.0.g364500.p01           -          Pkinase              PF00069.31   7.1e-48  158.9   0.0     1e-47  158.3   0.0   1.2   1   0   0   1   1   1   1 | SP+TM
VITVvi_vZin03_v1.1_P73.ver1.0.g495420.p01          -          Pkinase              PF00069.31   7.9e-48  158.7   0.0   1.2e-47  158.1   0.0   1.2   1   0   0   1   1   1   1 | SP+TM
VITVvi_vZin03_v1.1_P405.ver1.0.g413060.p01         -          Pkinase              PF00069.31   7.9e-48  158.7   0.0   1.3e-47  158.0   0.0   1.3   1   0   0   1   1   1   1 | SP+TM
VITVvi_vZin03_v1.1_P254.ver1.0.g345130.p01         -          Pkinase              PF00069.31   8.8e-48  158.6   0.0   1.4e-47  157.9   0.0   1.3   1   0   0   1   1   1   1 | SP+TM
VITVvi_vZin03_v1.1_H000192F_007.ver1.0.g165260.p01 -          Pkinase              PF00069.31   9.3e-48  158.5   0.0   1.5e-47  157.8   0.0   1.3   1   0   0   1   1   1   1 | SP+TM
VITVvi_vZin03_v1.1_H000012F_018.ver1.0.g039950.p01 -          Pkinase              PF00069.31     1e-47  158.3   0.0   1.4e-47  157.9   0.0   1.2   1   0   0   1   1   1   1 | TM
VITVvi_vZin03_v1.1_P129.ver1.0.g242950.p01         -          Pkinase              PF00069.31   1.1e-47  158.3   0.0   1.6e-47  157.7   0.0   1.2   1   0   0   1   1   1   1 | SP+TM
VITVvi_vZin03_v1.1_H000162F_003.ver1.0.g155310.p01 -          Pkinase              PF00069.31   1.1e-47  158.3   0.0   1.6e-47  157.7   0.0   1.2   1   0   0   1   1   1   1 | SP+TM
VITVvi_vZin03_v1.1_H000086F_006.ver1.0.g120450.p01 -          Pkinase              PF00069.31   1.2e-47  158.1   0.0   1.9e-47  157.5   0.0   1.3   1   0   0   1   1   1   1 | SP+TM
VITVvi_vZin03_v1.1_P73.ver1.0.g495410.p01          -          Pkinase              PF00069.31   1.2e-47  158.1   0.0   1.9e-47  157.5   0.0   1.2   1   0   0   1   1   1   1 | SP+TM
VITVvi_vZin03_v1.1_P3.ver1.0.g364520.p01           -          Pkinase              PF00069.31   1.2e-47  158.1   0.0     2e-47  157.4   0.0   1.3   1   0   0   1   1   1   1 | SP+TM
VITVvi_vZin03_v1.1_H000027F_008.ver1.0.g063870.p01 -          Pkinase              PF00069.31   1.3e-47  158.0   0.0     2e-47  157.4   0.0   1.2   1   0   0   1   1   1   1 | TM
VITVvi_vZin03_v1.1_P312.ver1.0.g376060.p01         -          Pkinase              PF00069.31   1.4e-47  157.9   0.0   2.1e-47  157.3   0.0   1.2   1   0   0   1   1   1   1 | SP+TM
VITVvi_vZin03_v1.1_P49.ver1.0.g439490.p01          -          Pkinase              PF00069.31   1.8e-47  157.6   0.0   2.9e-47  156.9   0.0   1.3   1   0   0   1   1   1   1 | TM
VITVvi_vZin03_v1.1_P53.ver1.0.g453140.p01          -          Pkinase              PF00069.31   1.9e-47  157.5   0.0   2.7e-47  157.0   0.0   1.2   1   0   0   1   1   1   1 | SP+TM
VITVvi_vZin03_v1.1_H000086F_006.ver1.0.g120420.p01 -          Pkinase              PF00069.31     2e-47  157.4   0.0     3e-47  156.8   0.0   1.2   1   0   0   1   1   1   1 | SP+TM
VITVvi_vZin03_v1.1_P155.ver1.0.g274350.p01         -          Pkinase              PF00069.31     2e-47  157.4   0.0   3.4e-47  156.7   0.0   1.3   1   0   0   1   1   1   1 | SP+TM
VITVvi_vZin03_v1.1_H000204F_002.ver1.0.g168080.p01 -          Pkinase              PF00069.31     2e-47  157.4   0.0   2.8e-47  156.9   0.0   1.1   1   0   0   1   1   1   1 | SP+TM
VITVvi_vZin03_v1.1_P5.ver1.0.g445190.p01           -          Pkinase              PF00069.31   2.1e-47  157.3   0.0   3.1e-47  156.8   0.0   1.2   1   0   0   1   1   1   1 | SP+TM
VITVvi_vZin03_v1.1_P279.ver1.0.g355820.p01         -          Pkinase              PF00069.31   2.2e-47  157.3   0.0   3.3e-47  156.7   0.0   1.2   1   0   0   1   1   1   1 | SP+TM
VITVvi_vZin03_v1.1_P28.ver1.0.g357690.p01          -          Pkinase              PF00069.31   2.3e-47  157.2   0.1   3.4e-47  156.7   0.1   1.2   1   0   0   1   1   1   1 | TM
VITVvi_vZin03_v1.1_P14.ver1.0.g256140.p01          -          Pkinase              PF00069.31   2.6e-47  157.0   0.0   3.8e-47  156.5   0.0   1.2   1   0   0   1   1   1   1 | SP+TM
VITVvi_vZin03_v1.1_P49.ver1.0.g439440.p01          -          Pkinase              PF00069.31   2.6e-47  157.0   0.0   4.3e-47  156.3   0.0   1.3   1   0   0   1   1   1   1 | SP+TM
VITVvi_vZin03_v1.1_P61.ver1.0.g474820.p01          -          Pkinase              PF00069.31   2.9e-47  156.9   0.0   4.1e-47  156.4   0.0   1.1   1   0   0   1   1   1   1 | TM
VITVvi_vZin03_v1.1_H000013F_002.ver1.0.g040770.p01 -          Pkinase              PF00069.31   2.9e-47  156.9   0.0     4e-47  156.4   0.0   1.1   1   0   0   1   1   1   1 | TM
VITVvi_vZin03_v1.1_P14.ver1.0.g255860.p01          -          Pkinase              PF00069.31   3.7e-47  156.5   0.0   5.6e-47  155.9   0.0   1.2   1   0   0   1   1   1   1 | SP+TM
VITVvi_vZin03_v1.1_P34.ver1.0.g384230.p01          -          Pkinase              PF00069.31   4.1e-47  156.4   0.0   5.8e-47  155.9   0.0   1.2   1   0   0   1   1   1   1 | SP+TM
VITVvi_vZin03_v1.1_H000299F_003.ver1.0.g186330.p01 -          Pkinase              PF00069.31   4.3e-47  156.3   0.0   6.1e-47  155.8   0.0   1.2   1   0   0   1   1   1   1 | SP+TM
VITVvi_vZin03_v1.1_H000057F_001.ver1.0.g098300.p01 -          Pkinase              PF00069.31   4.7e-47  156.2   0.0   7.6e-47  155.5   0.0   1.3   1   0   0   1   1   1   1 | SP+TM
VITVvi_vZin03_v1.1_P46.ver1.0.g432560.p01          -          Pkinase              PF00069.31   4.8e-47  156.2   0.0     7e-47  155.6   0.0   1.2   1   0   0   1   1   1   1 | SP+TM
VITVvi_vZin03_v1.1_P25.ver1.0.g342450.p01          -          Pkinase              PF00069.31   4.9e-47  156.1   0.0     9e-47  155.3   0.0   1.4   1   0   0   1   1   1   1 | TM
VITVvi_vZin03_v1.1_H000136F_002.ver1.0.g143740.p01 -          Pkinase              PF00069.31   4.9e-47  156.1   0.0   7.4e-47  155.5   0.0   1.2   1   0   0   1   1   1   1 | SP+TM
VITVvi_vZin03_v1.1_P409.ver1.0.g413680.p01         -          Pkinase              PF00069.31     5e-47  156.1   0.0   6.4e-47  155.7   0.0   1.1   1   0   0   1   1   1   1 | TM
VITVvi_vZin03_v1.1_H000318F_005.ver1.0.g187610.p01 -          Pkinase              PF00069.31   5.6e-47  155.9   0.0     8e-47  155.4   0.0   1.1   1   0   0   1   1   1   1 | SP+TM
VITVvi_vZin03_v1.1_H000013F_003.ver1.0.g041060.p01 -          Pkinase              PF00069.31   5.7e-47  155.9   0.0   8.7e-47  155.3   0.0   1.2   1   0   0   1   1   1   1 | SP+TM
VITVvi_vZin03_v1.1_P50.ver1.0.g446890.p01          -          Pkinase              PF00069.31   6.1e-47  155.8   0.0   8.7e-47  155.3   0.0   1.2   1   0   0   1   1   1   1 | SP+TM
VITVvi_vZin03_v1.1_H000060F_006.ver1.0.g101630.p01 -          Pkinase              PF00069.31   6.1e-47  155.8   0.0   8.8e-47  155.3   0.0   1.2   1   0   0   1   1   1   1 | SP+TM
VITVvi_vZin03_v1.1_P13.ver1.0.g245140.p01          -          Pkinase              PF00069.31   6.3e-47  155.8   0.0   8.6e-47  155.3   0.0   1.1   1   0   0   1   1   1   1 | TM
VITVvi_vZin03_v1.1_P177.ver1.0.g292570.p01         -          Pkinase              PF00069.31   6.5e-47  155.7   0.0   8.9e-47  155.3   0.0   1.1   1   0   0   1   1   1   1 | SP+TM
VITVvi_vZin03_v1.1_P2.ver1.0.g311130.p01           -          Pkinase              PF00069.31   7.4e-47  155.5   0.1   1.1e-46  155.0   0.1   1.2   1   0   0   1   1   1   1 | SP+TM
VITVvi_vZin03_v1.1_H000057F_001.ver1.0.g098340.p01 -          Pkinase              PF00069.31   7.7e-47  155.5   0.0   1.2e-46  154.8   0.0   1.3   1   0   0   1   1   1   1 | TM
VITVvi_vZin03_v1.1_H000013F_002.ver1.0.g040760.p01 -          Pkinase              PF00069.31   8.5e-47  155.3   0.0   1.4e-46  154.6   0.0   1.2   1   0   0   1   1   1   1 | SP+TM
VITVvi_vZin03_v1.1_H000013F_003.ver1.0.g040970.p01 -          Pkinase              PF00069.31     9e-47  155.3   0.0   1.4e-46  154.6   0.0   1.2   1   0   0   1   1   1   1 | SP+TM
VITVvi_vZin03_v1.1_P654.ver1.0.g481410.p01         -          Pkinase              PF00069.31     1e-46  155.1   0.0   1.4e-46  154.6   0.0   1.2   1   0   0   1   1   1   1 | SP+TM
VITVvi_vZin03_v1.1_P288.ver1.0.g360900.p01         -          Pkinase              PF00069.31   1.1e-46  155.0   0.0   1.8e-46  154.3   0.0   1.3   1   0   0   1   1   1   1 | TM
VITVvi_vZin03_v1.1_H000136F_002.ver1.0.g143730.p01 -          Pkinase              PF00069.31   1.1e-46  155.0   0.0   1.8e-46  154.2   0.0   1.3   1   0   0   1   1   1   1 | SP+TM
VITVvi_vZin03_v1.1_P118.ver1.0.g232090.p01         -          Pkinase              PF00069.31   1.1e-46  155.0   0.0   1.8e-46  154.2   0.0   1.3   1   0   0   1   1   1   1 | SP+TM
VITVvi_vZin03_v1.1_P128.ver1.0.g241860.p01         -          Pkinase              PF00069.31   1.1e-46  154.9   0.0   1.9e-46  154.2   0.0   1.2   1   0   0   1   1   1   1 | SP+TM
VITVvi_vZin03_v1.1_P2.ver1.0.g309590.p01           -          Pkinase              PF00069.31   1.2e-46  154.8   0.1   1.7e-46  154.4   0.1   1.1   1   0   0   1   1   1   1 | TM
VITVvi_vZin03_v1.1_H000373F_003.ver1.0.g190780.p01 -          Pkinase              PF00069.31   1.2e-46  154.8   0.0   2.1e-46  154.1   0.0   1.3   1   0   0   1   1   1   1 | TM
VITVvi_vZin03_v1.1_H000041F_010.ver1.0.g076670.p01 -          Pkinase              PF00069.31   1.3e-46  154.7   0.0   1.8e-46  154.2   0.0   1.1   1   0   0   1   1   1   1 | SP+TM
VITVvi_vZin03_v1.1_P36.ver1.0.g390310.p01          -          Pkinase              PF00069.31   1.3e-46  154.7   0.0   1.8e-46  154.2   0.0   1.1   1   0   0   1   1   1   1 | SP+TM
VITVvi_vZin03_v1.1_P254.ver1.0.g345150.p01         -          Pkinase              PF00069.31   1.4e-46  154.6   0.0   2.1e-46  154.1   0.0   1.2   1   0   0   1   1   1   1 | SP+TM
VITVvi_vZin03_v1.1_P409.ver1.0.g413660.p01         -          Pkinase              PF00069.31   1.7e-46  154.3   0.0     3e-46  153.6   0.0   1.3   1   0   0   1   1   1   1 | SP+TM
VITVvi_vZin03_v1.1_H000013F_003.ver1.0.g041020.p01 -          Pkinase              PF00069.31   1.7e-46  154.3   0.0   2.8e-46  153.7   0.0   1.3   1   0   0   1   1   1   1 | TM
VITVvi_vZin03_v1.1_P14.ver1.0.g256110.p01          -          Pkinase              PF00069.31   1.7e-46  154.3   0.0   2.8e-46  153.7   0.0   1.3   1   0   0   1   1   1   1 | TM
VITVvi_vZin03_v1.1_H000464F_001.ver1.0.g194380.p01 -          Pkinase              PF00069.31   1.8e-46  154.3   0.0   2.6e-46  153.7   0.0   1.2   1   0   0   1   1   1   1 | TM
VITVvi_vZin03_v1.1_P44.ver1.0.g426360.p01          -          Pkinase              PF00069.31   1.8e-46  154.3   0.0   2.7e-46  153.7   0.0   1.3   1   0   0   1   1   1   1 | TM
VITVvi_vZin03_v1.1_P152.ver1.0.g270980.p01         -          Pkinase              PF00069.31   1.8e-46  154.3   0.1   2.5e-46  153.8   0.1   1.2   1   0   0   1   1   1   1 | TM
VITVvi_vZin03_v1.1_P44.ver1.0.g426390.p01          -          Pkinase              PF00069.31   1.9e-46  154.2   0.0   2.8e-46  153.6   0.0   1.2   1   0   0   1   1   1   1 | SP+TM
VITVvi_vZin03_v1.1_H000079F_010.ver1.0.g113650.p01 -          Pkinase              PF00069.31     2e-46  154.2   0.0   2.7e-46  153.7   0.0   1.2   1   0   0   1   1   1   1 | SP+TM
VITVvi_vZin03_v1.1_H000079F_014.ver1.0.g114300.p01 -          Pkinase              PF00069.31     2e-46  154.2   0.0   2.7e-46  153.7   0.0   1.2   1   0   0   1   1   1   1 | SP+TM
VITVvi_vZin03_v1.1_P50.ver1.0.g446880.p01          -          Pkinase              PF00069.31     2e-46  154.1   0.0   3.1e-46  153.5   0.0   1.2   1   0   0   1   1   1   1 | SP+TM
VITVvi_vZin03_v1.1_H000060F_006.ver1.0.g101620.p01 -          Pkinase              PF00069.31   2.1e-46  154.1   0.0   3.2e-46  153.5   0.0   1.2   1   0   0   1   1   1   1 | SP+TM
VITVvi_vZin03_v1.1_P122.ver1.0.g239370.p01         -          Pkinase              PF00069.31   2.1e-46  154.1   0.0   2.9e-46  153.6   0.0   1.1   1   0   0   1   1   1   1 | TM
VITVvi_vZin03_v1.1_P36.ver1.0.g390290.p01          -          Pkinase              PF00069.31   2.2e-46  154.0   0.0     3e-46  153.5   0.0   1.2   1   0   0   1   1   1   1 | SP+TM
VITVvi_vZin03_v1.1_H000041F_010.ver1.0.g076650.p01 -          Pkinase              PF00069.31   2.2e-46  154.0   0.0     3e-46  153.5   0.0   1.2   1   0   0   1   1   1   1 | SP+TM
VITVvi_vZin03_v1.1_H000013F_003.ver1.0.g040980.p01 -          Pkinase              PF00069.31   2.5e-46  153.8   0.0   4.3e-46  153.0   0.0   1.3   1   0   0   1   1   1   1 | SP+TM
VITVvi_vZin03_v1.1_H000230F_001.ver1.0.g175090.p01 -          Pkinase              PF00069.31   2.6e-46  153.7   0.0   3.6e-46  153.3   0.0   1.2   1   0   0   1   1   1   1 | SP+TM
VITVvi_vZin03_v1.1_P28.ver1.0.g357670.p01          -          Pkinase              PF00069.31   3.5e-46  153.3   0.1   5.3e-46  152.7   0.1   1.2   1   0   0   1   1   1   1 | TM
VITVvi_vZin03_v1.1_P53.ver1.0.g452810.p01          -          Pkinase              PF00069.31     4e-46  153.1   0.0   5.4e-46  152.7   0.0   1.1   1   0   0   1   1   1   1 | TM
